"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1955","AMR","ATG","BTSX","184 [175-193]","184.00000","175.00000","193.00000","","",""
"CM_01","PUBLISHED","1956","AMR","ATG","BTSX","182 [173-191]","182.00000","173.00000","191.00000","","",""
"CM_01","PUBLISHED","1957","AMR","ATG","BTSX","179 [170-188]","179.00000","170.00000","188.00000","","",""
"CM_01","PUBLISHED","1958","AMR","ATG","BTSX","175 [167-184]","175.00000","167.00000","184.00000","","",""
"CM_01","PUBLISHED","1959","AMR","ATG","BTSX","170 [162-178]","170.00000","162.00000","178.00000","","",""
"CM_01","PUBLISHED","1960","AMR","ATG","BTSX","163 [155-171]","163.00000","155.00000","171.00000","","",""
"CM_01","PUBLISHED","1961","AMR","ATG","BTSX","154 [146-162]","154.00000","146.00000","162.00000","","",""
"CM_01","PUBLISHED","1962","AMR","ATG","BTSX","143 [136-151]","143.00000","136.00000","151.00000","","",""
"CM_01","PUBLISHED","1963","AMR","ATG","BTSX","132 [124-140]","132.00000","124.00000","140.00000","","",""
"CM_01","PUBLISHED","1964","AMR","ATG","BTSX","120 [112-128]","120.00000","112.00000","128.00000","","",""
"CM_01","PUBLISHED","1965","AMR","ATG","BTSX","107 [100-115]","107.00000","100.00000","115.00000","","",""
"CM_01","PUBLISHED","1966","AMR","ATG","BTSX","94 [88-102]","94.00000","88.00000","102.00000","","",""
"CM_01","PUBLISHED","1967","AMR","ATG","BTSX","83 [76-89]","83.00000","76.00000","89.00000","","",""
"CM_01","PUBLISHED","1968","AMR","ATG","BTSX","72 [66-78]","72.00000","66.00000","78.00000","","",""
"CM_01","PUBLISHED","1969","AMR","ATG","BTSX","63 [58-68]","63.00000","58.00000","68.00000","","",""
"CM_01","PUBLISHED","1970","AMR","ATG","BTSX","55 [50-60]","55.00000","50.00000","60.00000","","",""
"CM_01","PUBLISHED","1971","AMR","ATG","BTSX","49 [45-53]","49.00000","45.00000","53.00000","","",""
"CM_01","PUBLISHED","1972","AMR","ATG","BTSX","44 [40-48]","44.00000","40.00000","48.00000","","",""
"CM_01","PUBLISHED","1973","AMR","ATG","BTSX","40 [36-44]","40.00000","36.00000","44.00000","","",""
"CM_01","PUBLISHED","1974","AMR","ATG","BTSX","36 [33-40]","36.00000","33.00000","40.00000","","",""
"CM_01","PUBLISHED","1975","AMR","ATG","BTSX","33 [30-36]","33.00000","30.00000","36.00000","","",""
"CM_01","PUBLISHED","1976","AMR","ATG","BTSX","31 [28-34]","31.00000","28.00000","34.00000","","",""
"CM_01","PUBLISHED","1977","AMR","ATG","BTSX","30 [27-33]","30.00000","27.00000","33.00000","","",""
"CM_01","PUBLISHED","1978","AMR","ATG","BTSX","28 [25-31]","28.00000","25.00000","31.00000","","",""
"CM_01","PUBLISHED","1979","AMR","ATG","BTSX","26 [24-30]","26.00000","24.00000","30.00000","","",""
"CM_01","PUBLISHED","1980","AMR","ATG","BTSX","25 [22-28]","25.00000","22.00000","28.00000","","",""
"CM_01","PUBLISHED","1981","AMR","ATG","BTSX","22 [20-25]","22.00000","20.00000","25.00000","","",""
"CM_01","PUBLISHED","1982","AMR","ATG","BTSX","21 [19-24]","21.00000","19.00000","24.00000","","",""
"CM_01","PUBLISHED","1983","AMR","ATG","BTSX","20 [18-23]","20.00000","18.00000","23.00000","","",""
"CM_01","PUBLISHED","1984","AMR","ATG","BTSX","19 [17-22]","19.00000","17.00000","22.00000","","",""
"CM_01","PUBLISHED","1985","AMR","ATG","BTSX","19 [17-22]","19.00000","17.00000","22.00000","","",""
"CM_01","PUBLISHED","1986","AMR","ATG","BTSX","19 [17-22]","19.00000","17.00000","22.00000","","",""
"CM_01","PUBLISHED","1987","AMR","ATG","BTSX","18 [16-21]","18.00000","16.00000","21.00000","","",""
"CM_01","PUBLISHED","1988","AMR","ATG","BTSX","18 [16-21]","18.00000","16.00000","21.00000","","",""
"CM_01","PUBLISHED","1989","AMR","ATG","BTSX","19 [16-21]","19.00000","16.00000","21.00000","","",""
"CM_01","PUBLISHED","1990","AMR","ATG","BTSX","19 [17-21]","19.00000","17.00000","21.00000","","",""
"CM_01","PUBLISHED","1991","AMR","ATG","BTSX","18 [16-21]","18.00000","16.00000","21.00000","","",""
"CM_01","PUBLISHED","1992","AMR","ATG","BTSX","18 [16-20]","18.00000","16.00000","20.00000","","",""
"CM_01","PUBLISHED","1993","AMR","ATG","BTSX","19 [17-21]","19.00000","17.00000","21.00000","","",""
"CM_01","PUBLISHED","1994","AMR","ATG","BTSX","19 [17-21]","19.00000","17.00000","21.00000","","",""
"CM_01","PUBLISHED","1995","AMR","ATG","BTSX","20 [18-23]","20.00000","18.00000","23.00000","","",""
"CM_01","PUBLISHED","1996","AMR","ATG","BTSX","22 [20-24]","22.00000","20.00000","24.00000","","",""
"CM_01","PUBLISHED","1997","AMR","ATG","BTSX","23 [20-25]","23.00000","20.00000","25.00000","","",""
"CM_01","PUBLISHED","1998","AMR","ATG","BTSX","22 [20-24]","22.00000","20.00000","24.00000","","",""
"CM_01","PUBLISHED","1999","AMR","ATG","BTSX","21 [19-23]","21.00000","19.00000","23.00000","","",""
"CM_01","PUBLISHED","2000","AMR","ATG","BTSX","22 [20-24]","22.00000","20.00000","24.00000","","",""
"CM_01","PUBLISHED","2001","AMR","ATG","BTSX","21 [19-24]","21.00000","19.00000","24.00000","","",""
"CM_01","PUBLISHED","2002","AMR","ATG","BTSX","20 [18-22]","20.00000","18.00000","22.00000","","",""
"CM_01","PUBLISHED","2003","AMR","ATG","BTSX","19 [17-21]","19.00000","17.00000","21.00000","","",""
"CM_01","PUBLISHED","2004","AMR","ATG","BTSX","17 [16-20]","17.00000","16.00000","20.00000","","",""
"CM_01","PUBLISHED","2005","AMR","ATG","BTSX","16 [15-18]","16.00000","15.00000","18.00000","","",""
"CM_01","PUBLISHED","2006","AMR","ATG","BTSX","16 [14-18]","16.00000","14.00000","18.00000","","",""
"CM_01","PUBLISHED","2007","AMR","ATG","BTSX","15 [13-17]","15.00000","13.00000","17.00000","","",""
"CM_01","PUBLISHED","2008","AMR","ATG","BTSX","15 [13-17]","15.00000","13.00000","17.00000","","",""
"CM_01","PUBLISHED","2009","AMR","ATG","BTSX","15 [13-17]","15.00000","13.00000","17.00000","","",""
"CM_01","PUBLISHED","2010","AMR","ATG","BTSX","13 [12-15]","13.00000","12.00000","15.00000","","",""
"CM_01","PUBLISHED","2011","AMR","ATG","BTSX","12 [10-14]","12.00000","10.00000","14.00000","","",""
"CM_01","PUBLISHED","2012","AMR","ATG","BTSX","11 [10-13]","11.00000","10.00000","13.00000","","",""
"CM_01","PUBLISHED","2013","AMR","ATG","BTSX","10 [8-12]","10.00000","8.00000","12.00000","","",""
"CM_01","PUBLISHED","2014","AMR","ATG","BTSX","9 [8-11]","9.00000","8.00000","11.00000","","",""
"CM_01","PUBLISHED","2015","AMR","ATG","BTSX","9 [7-11]","9.00000","7.00000","11.00000","","",""
"CM_01","PUBLISHED","2016","AMR","ATG","BTSX","8 [6-10]","8.00000","6.00000","10.00000","","",""
"CM_01","PUBLISHED","2017","AMR","ATG","BTSX","8 [6-10]","8.00000","6.00000","10.00000","","",""
"CM_01","PUBLISHED","2018","AMR","ATG","BTSX","7 [5-10]","7.00000","5.00000","10.00000","","",""
"CM_01","PUBLISHED","2019","AMR","ATG","BTSX","7 [5-10]","7.00000","5.00000","10.00000","","",""
"CM_01","PUBLISHED","2020","AMR","ATG","BTSX","7 [5-10]","7.00000","5.00000","10.00000","","",""
"CM_01","PUBLISHED","2021","AMR","ATG","BTSX","7 [4-11]","7.00000","4.00000","11.00000","","",""
