"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1974","AMR","ARG","BTSX","40 135 [38 115-42 248]","40135.00000","38115.00000","42248.00000","","",""
"CM_01","PUBLISHED","1975","AMR","ARG","BTSX","39 702 [37 951-41 518]","39702.00000","37951.00000","41518.00000","","",""
"CM_01","PUBLISHED","1976","AMR","ARG","BTSX","38 595 [37 196-40 020]","38595.00000","37196.00000","40020.00000","","",""
"CM_01","PUBLISHED","1977","AMR","ARG","BTSX","36 737 [35 737-37 774]","36737.00000","35737.00000","37774.00000","","",""
"CM_01","PUBLISHED","1978","AMR","ARG","BTSX","34 370 [33 640-35 112]","34370.00000","33640.00000","35112.00000","","",""
"CM_01","PUBLISHED","1979","AMR","ARG","BTSX","31 790 [31 162-32 414]","31790.00000","31162.00000","32414.00000","","",""
"CM_01","PUBLISHED","1980","AMR","ARG","BTSX","29 240 [28 690-29 807]","29240.00000","28690.00000","29807.00000","","",""
"CM_01","PUBLISHED","1981","AMR","ARG","BTSX","26 883 [26 363-27 420]","26883.00000","26363.00000","27420.00000","","",""
"CM_01","PUBLISHED","1982","AMR","ARG","BTSX","24 835 [24 367-25 318]","24835.00000","24367.00000","25318.00000","","",""
"CM_01","PUBLISHED","1983","AMR","ARG","BTSX","23 142 [22 704-23 591]","23142.00000","22704.00000","23591.00000","","",""
"CM_01","PUBLISHED","1984","AMR","ARG","BTSX","21 805 [21 383-22 234]","21805.00000","21383.00000","22234.00000","","",""
"CM_01","PUBLISHED","1985","AMR","ARG","BTSX","20 812 [20 419-21 201]","20812.00000","20419.00000","21201.00000","","",""
"CM_01","PUBLISHED","1986","AMR","ARG","BTSX","20 201 [19 813-20 595]","20201.00000","19813.00000","20595.00000","","",""
"CM_01","PUBLISHED","1987","AMR","ARG","BTSX","19 996 [19 626-20 372]","19996.00000","19626.00000","20372.00000","","",""
"CM_01","PUBLISHED","1988","AMR","ARG","BTSX","20 061 [19 682-20 442]","20061.00000","19682.00000","20442.00000","","",""
"CM_01","PUBLISHED","1989","AMR","ARG","BTSX","20 189 [19 804-20 575]","20189.00000","19804.00000","20575.00000","","",""
"CM_01","PUBLISHED","1990","AMR","ARG","BTSX","20 325 [19 951-20 702]","20325.00000","19951.00000","20702.00000","","",""
"CM_01","PUBLISHED","1991","AMR","ARG","BTSX","20 274 [19 887-20 673]","20274.00000","19887.00000","20673.00000","","",""
