"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1973","AMR","BHS","BTSX","169 [159-179]","169.00000","159.00000","179.00000","","",""
"CM_01","PUBLISHED","1974","AMR","BHS","BTSX","167 [157-176]","167.00000","157.00000","176.00000","","",""
"CM_01","PUBLISHED","1975","AMR","BHS","BTSX","161 [152-170]","161.00000","152.00000","170.00000","","",""
"CM_01","PUBLISHED","1976","AMR","BHS","BTSX","158 [150-167]","158.00000","150.00000","167.00000","","",""
"CM_01","PUBLISHED","1977","AMR","BHS","BTSX","158 [150-167]","158.00000","150.00000","167.00000","","",""
"CM_01","PUBLISHED","1978","AMR","BHS","BTSX","157 [149-166]","157.00000","149.00000","166.00000","","",""
"CM_01","PUBLISHED","1979","AMR","BHS","BTSX","156 [148-164]","156.00000","148.00000","164.00000","","",""
"CM_01","PUBLISHED","1980","AMR","BHS","BTSX","155 [147-163]","155.00000","147.00000","163.00000","","",""
"CM_01","PUBLISHED","1981","AMR","BHS","BTSX","155 [147-163]","155.00000","147.00000","163.00000","","",""
"CM_01","PUBLISHED","1982","AMR","BHS","BTSX","156 [149-164]","156.00000","149.00000","164.00000","","",""
"CM_01","PUBLISHED","1983","AMR","BHS","BTSX","158 [150-166]","158.00000","150.00000","166.00000","","",""
"CM_01","PUBLISHED","1984","AMR","BHS","BTSX","159 [152-167]","159.00000","152.00000","167.00000","","",""
"CM_01","PUBLISHED","1985","AMR","BHS","BTSX","160 [153-168]","160.00000","153.00000","168.00000","","",""
"CM_01","PUBLISHED","1986","AMR","BHS","BTSX","160 [153-168]","160.00000","153.00000","168.00000","","",""
"CM_01","PUBLISHED","1987","AMR","BHS","BTSX","158 [151-166]","158.00000","151.00000","166.00000","","",""
"CM_01","PUBLISHED","1988","AMR","BHS","BTSX","154 [147-162]","154.00000","147.00000","162.00000","","",""
"CM_01","PUBLISHED","1989","AMR","BHS","BTSX","150 [143-158]","150.00000","143.00000","158.00000","","",""
"CM_01","PUBLISHED","1990","AMR","BHS","BTSX","148 [141-156]","148.00000","141.00000","156.00000","","",""
"CM_01","PUBLISHED","1991","AMR","BHS","BTSX","148 [140-155]","148.00000","140.00000","155.00000","","",""
"CM_01","PUBLISHED","1992","AMR","BHS","BTSX","150 [142-158]","150.00000","142.00000","158.00000","","",""
"CM_01","PUBLISHED","1993","AMR","BHS","BTSX","148 [140-156]","148.00000","140.00000","156.00000","","",""
"CM_01","PUBLISHED","1994","AMR","BHS","BTSX","136 [129-144]","136.00000","129.00000","144.00000","","",""
"CM_01","PUBLISHED","1995","AMR","BHS","BTSX","127 [120-134]","127.00000","120.00000","134.00000","","",""
"CM_01","PUBLISHED","1996","AMR","BHS","BTSX","120 [113-126]","120.00000","113.00000","126.00000","","",""
"CM_01","PUBLISHED","1997","AMR","BHS","BTSX","113 [107-120]","113.00000","107.00000","120.00000","","",""
"CM_01","PUBLISHED","1998","AMR","BHS","BTSX","110 [103-117]","110.00000","103.00000","117.00000","","",""
"CM_01","PUBLISHED","1999","AMR","BHS","BTSX","103 [97-110]","103.00000","97.00000","110.00000","","",""
"CM_01","PUBLISHED","2000","AMR","BHS","BTSX","98 [92-105]","98.00000","92.00000","105.00000","","",""
"CM_01","PUBLISHED","2001","AMR","BHS","BTSX","98 [92-104]","98.00000","92.00000","104.00000","","",""
"CM_01","PUBLISHED","2002","AMR","BHS","BTSX","97 [92-104]","97.00000","92.00000","104.00000","","",""
"CM_01","PUBLISHED","2003","AMR","BHS","BTSX","95 [90-101]","95.00000","90.00000","101.00000","","",""
"CM_01","PUBLISHED","2004","AMR","BHS","BTSX","95 [89-101]","95.00000","89.00000","101.00000","","",""
"CM_01","PUBLISHED","2005","AMR","BHS","BTSX","98 [92-104]","98.00000","92.00000","104.00000","","",""
"CM_01","PUBLISHED","2006","AMR","BHS","BTSX","94 [89-100]","94.00000","89.00000","100.00000","","",""
"CM_01","PUBLISHED","2007","AMR","BHS","BTSX","89 [84-95]","89.00000","84.00000","95.00000","","",""
"CM_01","PUBLISHED","2008","AMR","BHS","BTSX","92 [86-98]","92.00000","86.00000","98.00000","","",""
"CM_01","PUBLISHED","2009","AMR","BHS","BTSX","94 [88-99]","94.00000","88.00000","99.00000","","",""
"CM_01","PUBLISHED","2010","AMR","BHS","BTSX","89 [83-94]","89.00000","83.00000","94.00000","","",""
"CM_01","PUBLISHED","2011","AMR","BHS","BTSX","82 [77-87]","82.00000","77.00000","87.00000","","",""
"CM_01","PUBLISHED","2012","AMR","BHS","BTSX","79 [74-85]","79.00000","74.00000","85.00000","","",""
"CM_01","PUBLISHED","2013","AMR","BHS","BTSX","74 [69-79]","74.00000","69.00000","79.00000","","",""
"CM_01","PUBLISHED","2014","AMR","BHS","BTSX","71 [67-76]","71.00000","67.00000","76.00000","","",""
"CM_01","PUBLISHED","2015","AMR","BHS","BTSX","72 [67-77]","72.00000","67.00000","77.00000","","",""
"CM_01","PUBLISHED","2016","AMR","BHS","BTSX","68 [63-73]","68.00000","63.00000","73.00000","","",""
"CM_01","PUBLISHED","2017","AMR","BHS","BTSX","65 [60-70]","65.00000","60.00000","70.00000","","",""
"CM_01","PUBLISHED","2018","AMR","BHS","BTSX","63 [58-69]","63.00000","58.00000","69.00000","","",""
"CM_01","PUBLISHED","2019","AMR","BHS","BTSX","111 [100-122]","111.00000","100.00000","122.00000","","",""
"CM_01","PUBLISHED","2020","AMR","BHS","BTSX","62 [55-70]","62.00000","55.00000","70.00000","","",""
"CM_01","PUBLISHED","2021","AMR","BHS","BTSX","61 [53-72]","61.00000","53.00000","72.00000","","",""
