"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1955","AMR","BRB","BTSX","1 034 [1 010-1 058]","1034.00000","1010.00000","1058.00000","","",""
"CM_01","PUBLISHED","1956","AMR","BRB","BTSX","920 [898-943]","920.00000","898.00000","943.00000","","",""
"CM_01","PUBLISHED","1957","AMR","BRB","BTSX","815 [795-836]","815.00000","795.00000","836.00000","","",""
"CM_01","PUBLISHED","1958","AMR","BRB","BTSX","727 [707-746]","727.00000","707.00000","746.00000","","",""
"CM_01","PUBLISHED","1959","AMR","BRB","BTSX","657 [639-675]","657.00000","639.00000","675.00000","","",""
"CM_01","PUBLISHED","1960","AMR","BRB","BTSX","602 [585-619]","602.00000","585.00000","619.00000","","",""
"CM_01","PUBLISHED","1961","AMR","BRB","BTSX","555 [539-572]","555.00000","539.00000","572.00000","","",""
"CM_01","PUBLISHED","1962","AMR","BRB","BTSX","509 [494-524]","509.00000","494.00000","524.00000","","",""
"CM_01","PUBLISHED","1963","AMR","BRB","BTSX","463 [449-478]","463.00000","449.00000","478.00000","","",""
"CM_01","PUBLISHED","1964","AMR","BRB","BTSX","421 [408-435]","421.00000","408.00000","435.00000","","",""
"CM_01","PUBLISHED","1965","AMR","BRB","BTSX","382 [370-395]","382.00000","370.00000","395.00000","","",""
"CM_01","PUBLISHED","1966","AMR","BRB","BTSX","348 [336-360]","348.00000","336.00000","360.00000","","",""
"CM_01","PUBLISHED","1967","AMR","BRB","BTSX","317 [306-329]","317.00000","306.00000","329.00000","","",""
"CM_01","PUBLISHED","1968","AMR","BRB","BTSX","289 [279-300]","289.00000","279.00000","300.00000","","",""
"CM_01","PUBLISHED","1969","AMR","BRB","BTSX","265 [254-275]","265.00000","254.00000","275.00000","","",""
"CM_01","PUBLISHED","1970","AMR","BRB","BTSX","243 [233-253]","243.00000","233.00000","253.00000","","",""
"CM_01","PUBLISHED","1971","AMR","BRB","BTSX","223 [214-233]","223.00000","214.00000","233.00000","","",""
"CM_01","PUBLISHED","1972","AMR","BRB","BTSX","207 [198-216]","207.00000","198.00000","216.00000","","",""
"CM_01","PUBLISHED","1973","AMR","BRB","BTSX","193 [185-202]","193.00000","185.00000","202.00000","","",""
"CM_01","PUBLISHED","1974","AMR","BRB","BTSX","181 [173-189]","181.00000","173.00000","189.00000","","",""
"CM_01","PUBLISHED","1975","AMR","BRB","BTSX","169 [161-177]","169.00000","161.00000","177.00000","","",""
"CM_01","PUBLISHED","1976","AMR","BRB","BTSX","158 [150-165]","158.00000","150.00000","165.00000","","",""
"CM_01","PUBLISHED","1977","AMR","BRB","BTSX","147 [140-155]","147.00000","140.00000","155.00000","","",""
"CM_01","PUBLISHED","1978","AMR","BRB","BTSX","139 [132-147]","139.00000","132.00000","147.00000","","",""
"CM_01","PUBLISHED","1979","AMR","BRB","BTSX","132 [126-140]","132.00000","126.00000","140.00000","","",""
"CM_01","PUBLISHED","1980","AMR","BRB","BTSX","125 [119-132]","125.00000","119.00000","132.00000","","",""
"CM_01","PUBLISHED","1981","AMR","BRB","BTSX","119 [112-126]","119.00000","112.00000","126.00000","","",""
"CM_01","PUBLISHED","1982","AMR","BRB","BTSX","113 [107-120]","113.00000","107.00000","120.00000","","",""
"CM_01","PUBLISHED","1983","AMR","BRB","BTSX","108 [102-114]","108.00000","102.00000","114.00000","","",""
"CM_01","PUBLISHED","1984","AMR","BRB","BTSX","103 [97-109]","103.00000","97.00000","109.00000","","",""
"CM_01","PUBLISHED","1985","AMR","BRB","BTSX","98 [92-104]","98.00000","92.00000","104.00000","","",""
"CM_01","PUBLISHED","1986","AMR","BRB","BTSX","93 [88-98]","93.00000","88.00000","98.00000","","",""
"CM_01","PUBLISHED","1987","AMR","BRB","BTSX","88 [83-93]","88.00000","83.00000","93.00000","","",""
"CM_01","PUBLISHED","1988","AMR","BRB","BTSX","83 [78-88]","83.00000","78.00000","88.00000","","",""
"CM_01","PUBLISHED","1989","AMR","BRB","BTSX","79 [74-84]","79.00000","74.00000","84.00000","","",""
"CM_01","PUBLISHED","1990","AMR","BRB","BTSX","74 [70-79]","74.00000","70.00000","79.00000","","",""
"CM_01","PUBLISHED","1991","AMR","BRB","BTSX","70 [66-75]","70.00000","66.00000","75.00000","","",""
"CM_01","PUBLISHED","1992","AMR","BRB","BTSX","67 [62-71]","67.00000","62.00000","71.00000","","",""
"CM_01","PUBLISHED","1993","AMR","BRB","BTSX","64 [59-68]","64.00000","59.00000","68.00000","","",""
"CM_01","PUBLISHED","1994","AMR","BRB","BTSX","61 [57-65]","61.00000","57.00000","65.00000","","",""
"CM_01","PUBLISHED","1995","AMR","BRB","BTSX","59 [55-63]","59.00000","55.00000","63.00000","","",""
"CM_01","PUBLISHED","1996","AMR","BRB","BTSX","57 [53-62]","57.00000","53.00000","62.00000","","",""
"CM_01","PUBLISHED","1997","AMR","BRB","BTSX","56 [53-61]","56.00000","53.00000","61.00000","","",""
"CM_01","PUBLISHED","1998","AMR","BRB","BTSX","56 [52-60]","56.00000","52.00000","60.00000","","",""
"CM_01","PUBLISHED","1999","AMR","BRB","BTSX","56 [52-60]","56.00000","52.00000","60.00000","","",""
"CM_01","PUBLISHED","2000","AMR","BRB","BTSX","56 [52-60]","56.00000","52.00000","60.00000","","",""
"CM_01","PUBLISHED","2001","AMR","BRB","BTSX","57 [53-61]","57.00000","53.00000","61.00000","","",""
"CM_01","PUBLISHED","2002","AMR","BRB","BTSX","57 [53-61]","57.00000","53.00000","61.00000","","",""
"CM_01","PUBLISHED","2003","AMR","BRB","BTSX","58 [54-62]","58.00000","54.00000","62.00000","","",""
"CM_01","PUBLISHED","2004","AMR","BRB","BTSX","57 [53-62]","57.00000","53.00000","62.00000","","",""
"CM_01","PUBLISHED","2005","AMR","BRB","BTSX","57 [53-61]","57.00000","53.00000","61.00000","","",""
"CM_01","PUBLISHED","2006","AMR","BRB","BTSX","56 [52-60]","56.00000","52.00000","60.00000","","",""
"CM_01","PUBLISHED","2007","AMR","BRB","BTSX","55 [51-59]","55.00000","51.00000","59.00000","","",""
"CM_01","PUBLISHED","2008","AMR","BRB","BTSX","53 [49-58]","53.00000","49.00000","58.00000","","",""
"CM_01","PUBLISHED","2009","AMR","BRB","BTSX","52 [48-56]","52.00000","48.00000","56.00000","","",""
"CM_01","PUBLISHED","2010","AMR","BRB","BTSX","50 [46-55]","50.00000","46.00000","55.00000","","",""
"CM_01","PUBLISHED","2011","AMR","BRB","BTSX","49 [44-54]","49.00000","44.00000","54.00000","","",""
"CM_01","PUBLISHED","2012","AMR","BRB","BTSX","48 [42-53]","48.00000","42.00000","53.00000","","",""
"CM_01","PUBLISHED","2013","AMR","BRB","BTSX","46 [40-53]","46.00000","40.00000","53.00000","","",""
"CM_01","PUBLISHED","2014","AMR","BRB","BTSX","45 [38-53]","45.00000","38.00000","53.00000","","",""
"CM_01","PUBLISHED","2015","AMR","BRB","BTSX","44 [36-53]","44.00000","36.00000","53.00000","","",""
"CM_01","PUBLISHED","2016","AMR","BRB","BTSX","42 [33-53]","42.00000","33.00000","53.00000","","",""
"CM_01","PUBLISHED","2017","AMR","BRB","BTSX","41 [31-54]","41.00000","31.00000","54.00000","","",""
"CM_01","PUBLISHED","2018","AMR","BRB","BTSX","40 [29-54]","40.00000","29.00000","54.00000","","",""
"CM_01","PUBLISHED","2019","AMR","BRB","BTSX","39 [27-55]","39.00000","27.00000","55.00000","","",""
"CM_01","PUBLISHED","2020","AMR","BRB","BTSX","37 [26-55]","37.00000","26.00000","55.00000","","",""
"CM_01","PUBLISHED","2021","AMR","BRB","BTSX","36 [24-56]","36.00000","24.00000","56.00000","","",""
