"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1972","AMR","BLZ","BTSX","426 [335-545]","426.00000","335.00000","545.00000","","",""
"CM_01","PUBLISHED","1973","AMR","BLZ","BTSX","419 [333-529]","419.00000","333.00000","529.00000","","",""
"CM_01","PUBLISHED","1974","AMR","BLZ","BTSX","412 [331-514]","412.00000","331.00000","514.00000","","",""
"CM_01","PUBLISHED","1975","AMR","BLZ","BTSX","405 [329-502]","405.00000","329.00000","502.00000","","",""
"CM_01","PUBLISHED","1976","AMR","BLZ","BTSX","400 [326-491]","400.00000","326.00000","491.00000","","",""
"CM_01","PUBLISHED","1977","AMR","BLZ","BTSX","396 [326-482]","396.00000","326.00000","482.00000","","",""
"CM_01","PUBLISHED","1978","AMR","BLZ","BTSX","391 [325-473]","391.00000","325.00000","473.00000","","",""
"CM_01","PUBLISHED","1979","AMR","BLZ","BTSX","385 [321-462]","385.00000","321.00000","462.00000","","",""
"CM_01","PUBLISHED","1980","AMR","BLZ","BTSX","378 [317-451]","378.00000","317.00000","451.00000","","",""
"CM_01","PUBLISHED","1981","AMR","BLZ","BTSX","370 [313-439]","370.00000","313.00000","439.00000","","",""
"CM_01","PUBLISHED","1982","AMR","BLZ","BTSX","363 [309-429]","363.00000","309.00000","429.00000","","",""
"CM_01","PUBLISHED","1983","AMR","BLZ","BTSX","353 [302-415]","353.00000","302.00000","415.00000","","",""
"CM_01","PUBLISHED","1984","AMR","BLZ","BTSX","338 [290-395]","338.00000","290.00000","395.00000","","",""
"CM_01","PUBLISHED","1985","AMR","BLZ","BTSX","321 [276-373]","321.00000","276.00000","373.00000","","",""
"CM_01","PUBLISHED","1986","AMR","BLZ","BTSX","305 [263-354]","305.00000","263.00000","354.00000","","",""
"CM_01","PUBLISHED","1987","AMR","BLZ","BTSX","290 [251-334]","290.00000","251.00000","334.00000","","",""
"CM_01","PUBLISHED","1988","AMR","BLZ","BTSX","275 [240-316]","275.00000","240.00000","316.00000","","",""
"CM_01","PUBLISHED","1989","AMR","BLZ","BTSX","263 [231-301]","263.00000","231.00000","301.00000","","",""
"CM_01","PUBLISHED","1990","AMR","BLZ","BTSX","252 [222-288]","252.00000","222.00000","288.00000","","",""
"CM_01","PUBLISHED","1991","AMR","BLZ","BTSX","238 [210-270]","238.00000","210.00000","270.00000","","",""
"CM_01","PUBLISHED","1992","AMR","BLZ","BTSX","222 [197-252]","222.00000","197.00000","252.00000","","",""
"CM_01","PUBLISHED","1993","AMR","BLZ","BTSX","209 [186-236]","209.00000","186.00000","236.00000","","",""
"CM_01","PUBLISHED","1994","AMR","BLZ","BTSX","197 [175-222]","197.00000","175.00000","222.00000","","",""
"CM_01","PUBLISHED","1995","AMR","BLZ","BTSX","187 [168-210]","187.00000","168.00000","210.00000","","",""
"CM_01","PUBLISHED","1996","AMR","BLZ","BTSX","181 [163-201]","181.00000","163.00000","201.00000","","",""
"CM_01","PUBLISHED","1997","AMR","BLZ","BTSX","177 [161-195]","177.00000","161.00000","195.00000","","",""
"CM_01","PUBLISHED","1998","AMR","BLZ","BTSX","174 [160-190]","174.00000","160.00000","190.00000","","",""
"CM_01","PUBLISHED","1999","AMR","BLZ","BTSX","171 [159-185]","171.00000","159.00000","185.00000","","",""
"CM_01","PUBLISHED","2000","AMR","BLZ","BTSX","169 [158-180]","169.00000","158.00000","180.00000","","",""
