"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1965","AMR","BOL","BTSX","44 503 [40 704-48 706]","44503.00000","40704.00000","48706.00000","","",""
"CM_01","PUBLISHED","1966","AMR","BOL","BTSX","44 188 [40 661-48 039]","44188.00000","40661.00000","48039.00000","","",""
"CM_01","PUBLISHED","1967","AMR","BOL","BTSX","43 848 [40 521-47 450]","43848.00000","40521.00000","47450.00000","","",""
"CM_01","PUBLISHED","1968","AMR","BOL","BTSX","43 531 [40 358-46 883]","43531.00000","40358.00000","46883.00000","","",""
"CM_01","PUBLISHED","1969","AMR","BOL","BTSX","43 138 [40 111-46 348]","43138.00000","40111.00000","46348.00000","","",""
"CM_01","PUBLISHED","1970","AMR","BOL","BTSX","42 687 [39 847-45 768]","42687.00000","39847.00000","45768.00000","","",""
"CM_01","PUBLISHED","1971","AMR","BOL","BTSX","42 226 [39 507-45 211]","42226.00000","39507.00000","45211.00000","","",""
"CM_01","PUBLISHED","1972","AMR","BOL","BTSX","41 700 [39 097-44 541]","41700.00000","39097.00000","44541.00000","","",""
"CM_01","PUBLISHED","1973","AMR","BOL","BTSX","41 117 [38 622-43 828]","41117.00000","38622.00000","43828.00000","","",""
"CM_01","PUBLISHED","1974","AMR","BOL","BTSX","40 524 [38 145-43 120]","40524.00000","38145.00000","43120.00000","","",""
"CM_01","PUBLISHED","1975","AMR","BOL","BTSX","39 875 [37 589-42 365]","39875.00000","37589.00000","42365.00000","","",""
"CM_01","PUBLISHED","1976","AMR","BOL","BTSX","39 262 [37 030-41 613]","39262.00000","37030.00000","41613.00000","","",""
"CM_01","PUBLISHED","1977","AMR","BOL","BTSX","38 680 [36 508-40 961]","38680.00000","36508.00000","40961.00000","","",""
"CM_01","PUBLISHED","1978","AMR","BOL","BTSX","38 104 [36 010-40 307]","38104.00000","36010.00000","40307.00000","","",""
"CM_01","PUBLISHED","1979","AMR","BOL","BTSX","37 540 [35 497-39 677]","37540.00000","35497.00000","39677.00000","","",""
"CM_01","PUBLISHED","1980","AMR","BOL","BTSX","36 990 [35 027-39 082]","36990.00000","35027.00000","39082.00000","","",""
"CM_01","PUBLISHED","1981","AMR","BOL","BTSX","36 467 [34 546-38 532]","36467.00000","34546.00000","38532.00000","","",""
"CM_01","PUBLISHED","1982","AMR","BOL","BTSX","35 920 [34 056-37 932]","35920.00000","34056.00000","37932.00000","","",""
"CM_01","PUBLISHED","1983","AMR","BOL","BTSX","35 331 [33 488-37 297]","35331.00000","33488.00000","37297.00000","","",""
"CM_01","PUBLISHED","1984","AMR","BOL","BTSX","34 702 [32 875-36 653]","34702.00000","32875.00000","36653.00000","","",""
"CM_01","PUBLISHED","1985","AMR","BOL","BTSX","34 061 [32 278-35 959]","34061.00000","32278.00000","35959.00000","","",""
"CM_01","PUBLISHED","1986","AMR","BOL","BTSX","33 378 [31 646-35 205]","33378.00000","31646.00000","35205.00000","","",""
"CM_01","PUBLISHED","1987","AMR","BOL","BTSX","32 655 [30 961-34 459]","32655.00000","30961.00000","34459.00000","","",""
"CM_01","PUBLISHED","1988","AMR","BOL","BTSX","31 898 [30 227-33 656]","31898.00000","30227.00000","33656.00000","","",""
"CM_01","PUBLISHED","1989","AMR","BOL","BTSX","31 056 [29 425-32 756]","31056.00000","29425.00000","32756.00000","","",""
"CM_01","PUBLISHED","1990","AMR","BOL","BTSX","30 176 [28 584-31 873]","30176.00000","28584.00000","31873.00000","","",""
"CM_01","PUBLISHED","1991","AMR","BOL","BTSX","29 246 [27 702-30 872]","29246.00000","27702.00000","30872.00000","","",""
"CM_01","PUBLISHED","1992","AMR","BOL","BTSX","28 233 [26 729-29 822]","28233.00000","26729.00000","29822.00000","","",""
"CM_01","PUBLISHED","1993","AMR","BOL","BTSX","27 139 [25 691-28 711]","27139.00000","25691.00000","28711.00000","","",""
"CM_01","PUBLISHED","1994","AMR","BOL","BTSX","25 973 [24 537-27 516]","25973.00000","24537.00000","27516.00000","","",""
"CM_01","PUBLISHED","1995","AMR","BOL","BTSX","24 785 [23 382-26 286]","24785.00000","23382.00000","26286.00000","","",""
