"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1955","AMR","BRA","BTSX","524 600 [452 614-605 908]","524600.00000","452614.00000","605908.00000","","",""
"CM_01","PUBLISHED","1956","AMR","BRA","BTSX","525 029 [459 349-598 120]","525029.00000","459349.00000","598120.00000","","",""
"CM_01","PUBLISHED","1957","AMR","BRA","BTSX","524 718 [465 318-590 249]","524718.00000","465318.00000","590249.00000","","",""
"CM_01","PUBLISHED","1958","AMR","BRA","BTSX","524 374 [470 348-583 184]","524374.00000","470348.00000","583184.00000","","",""
"CM_01","PUBLISHED","1959","AMR","BRA","BTSX","523 037 [474 248-574 761]","523037.00000","474248.00000","574761.00000","","",""
"CM_01","PUBLISHED","1960","AMR","BRA","BTSX","521 067 [477 481-567 275]","521067.00000","477481.00000","567275.00000","","",""
"CM_01","PUBLISHED","1961","AMR","BRA","BTSX","518 688 [478 518-560 167]","518688.00000","478518.00000","560167.00000","","",""
"CM_01","PUBLISHED","1962","AMR","BRA","BTSX","515 019 [478 565-552 955]","515019.00000","478565.00000","552955.00000","","",""
"CM_01","PUBLISHED","1963","AMR","BRA","BTSX","510 192 [476 084-546 772]","510192.00000","476084.00000","546772.00000","","",""
"CM_01","PUBLISHED","1964","AMR","BRA","BTSX","503 789 [471 157-538 886]","503789.00000","471157.00000","538886.00000","","",""
"CM_01","PUBLISHED","1965","AMR","BRA","BTSX","495 225 [462 367-530 314]","495225.00000","462367.00000","530314.00000","","",""
"CM_01","PUBLISHED","1966","AMR","BRA","BTSX","485 599 [453 293-519 938]","485599.00000","453293.00000","519938.00000","","",""
"CM_01","PUBLISHED","1967","AMR","BRA","BTSX","475 294 [444 238-508 467]","475294.00000","444238.00000","508467.00000","","",""
"CM_01","PUBLISHED","1968","AMR","BRA","BTSX","464 074 [433 969-495 769]","464074.00000","433969.00000","495769.00000","","",""
"CM_01","PUBLISHED","1969","AMR","BRA","BTSX","453 700 [424 869-484 369]","453700.00000","424869.00000","484369.00000","","",""
