"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1955","AMR","CAN","BTSX","16 332 [16 029-16 620]","16332.00000","16029.00000","16620.00000","","",""
"CM_01","PUBLISHED","1956","AMR","CAN","BTSX","16 060 [15 780-16 342]","16060.00000","15780.00000","16342.00000","","",""
"CM_01","PUBLISHED","1957","AMR","CAN","BTSX","15 962 [15 690-16 237]","15962.00000","15690.00000","16237.00000","","",""
"CM_01","PUBLISHED","1958","AMR","CAN","BTSX","15 794 [15 525-16 073]","15794.00000","15525.00000","16073.00000","","",""
"CM_01","PUBLISHED","1959","AMR","CAN","BTSX","15 557 [15 295-15 833]","15557.00000","15295.00000","15833.00000","","",""
"CM_01","PUBLISHED","1960","AMR","CAN","BTSX","15 240 [14 987-15 509]","15240.00000","14987.00000","15509.00000","","",""
"CM_01","PUBLISHED","1961","AMR","CAN","BTSX","14 726 [14 484-14 991]","14726.00000","14484.00000","14991.00000","","",""
"CM_01","PUBLISHED","1962","AMR","CAN","BTSX","14 127 [13 894-14 379]","14127.00000","13894.00000","14379.00000","","",""
"CM_01","PUBLISHED","1963","AMR","CAN","BTSX","13 490 [13 267-13 724]","13490.00000","13267.00000","13724.00000","","",""
"CM_01","PUBLISHED","1964","AMR","CAN","BTSX","12 758 [12 544-12 979]","12758.00000","12544.00000","12979.00000","","",""
"CM_01","PUBLISHED","1965","AMR","CAN","BTSX","11 684 [11 491-11 882]","11684.00000","11491.00000","11882.00000","","",""
"CM_01","PUBLISHED","1966","AMR","CAN","BTSX","10 455 [10 278-10 633]","10455.00000","10278.00000","10633.00000","","",""
"CM_01","PUBLISHED","1967","AMR","CAN","BTSX","9 487 [9 329-9 649]","9487.00000","9329.00000","9649.00000","","",""
"CM_01","PUBLISHED","1968","AMR","CAN","BTSX","8 808 [8 662-8 959]","8808.00000","8662.00000","8959.00000","","",""
"CM_01","PUBLISHED","1969","AMR","CAN","BTSX","8 358 [8 216-8 500]","8358.00000","8216.00000","8500.00000","","",""
"CM_01","PUBLISHED","1970","AMR","CAN","BTSX","8 006 [7 870-8 144]","8006.00000","7870.00000","8144.00000","","",""
"CM_01","PUBLISHED","1971","AMR","CAN","BTSX","7 603 [7 474-7 735]","7603.00000","7474.00000","7735.00000","","",""
"CM_01","PUBLISHED","1972","AMR","CAN","BTSX","7 109 [6 987-7 231]","7109.00000","6987.00000","7231.00000","","",""
"CM_01","PUBLISHED","1973","AMR","CAN","BTSX","6 631 [6 517-6 748]","6631.00000","6517.00000","6748.00000","","",""
"CM_01","PUBLISHED","1974","AMR","CAN","BTSX","6 262 [6 154-6 374]","6262.00000","6154.00000","6374.00000","","",""
"CM_01","PUBLISHED","1975","AMR","CAN","BTSX","5 988 [5 885-6 094]","5988.00000","5885.00000","6094.00000","","",""
"CM_01","PUBLISHED","1976","AMR","CAN","BTSX","5 738 [5 640-5 841]","5738.00000","5640.00000","5841.00000","","",""
"CM_01","PUBLISHED","1977","AMR","CAN","BTSX","5 479 [5 386-5 576]","5479.00000","5386.00000","5576.00000","","",""
"CM_01","PUBLISHED","1978","AMR","CAN","BTSX","5 191 [5 102-5 282]","5191.00000","5102.00000","5282.00000","","",""
"CM_01","PUBLISHED","1979","AMR","CAN","BTSX","4 932 [4 846-5 017]","4932.00000","4846.00000","5017.00000","","",""
"CM_01","PUBLISHED","1980","AMR","CAN","BTSX","4 710 [4 629-4 789]","4710.00000","4629.00000","4789.00000","","",""
"CM_01","PUBLISHED","1981","AMR","CAN","BTSX","4 463 [4 384-4 540]","4463.00000","4384.00000","4540.00000","","",""
"CM_01","PUBLISHED","1982","AMR","CAN","BTSX","4 242 [4 165-4 316]","4242.00000","4165.00000","4316.00000","","",""
"CM_01","PUBLISHED","1983","AMR","CAN","BTSX","4 063 [3 989-4 136]","4063.00000","3989.00000","4136.00000","","",""
"CM_01","PUBLISHED","1984","AMR","CAN","BTSX","3 914 [3 841-3 983]","3914.00000","3841.00000","3983.00000","","",""
"CM_01","PUBLISHED","1985","AMR","CAN","BTSX","3 775 [3 710-3 840]","3775.00000","3710.00000","3840.00000","","",""
"CM_01","PUBLISHED","1986","AMR","CAN","BTSX","3 646 [3 583-3 708]","3646.00000","3583.00000","3708.00000","","",""
"CM_01","PUBLISHED","1987","AMR","CAN","BTSX","3 527 [3 467-3 588]","3527.00000","3467.00000","3588.00000","","",""
"CM_01","PUBLISHED","1988","AMR","CAN","BTSX","3 444 [3 384-3 505]","3444.00000","3384.00000","3505.00000","","",""
