"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1964","AMR","CHL","BTSX","36 342 [35 459-37 280]","36342.00000","35459.00000","37280.00000","","",""
"CM_01","PUBLISHED","1965","AMR","CHL","BTSX","33 071 [32 342-33 813]","33071.00000","32342.00000","33813.00000","","",""
"CM_01","PUBLISHED","1966","AMR","CHL","BTSX","29 709 [29 002-30 418]","29709.00000","29002.00000","30418.00000","","",""
"CM_01","PUBLISHED","1967","AMR","CHL","BTSX","26 837 [26 222-27 466]","26837.00000","26222.00000","27466.00000","","",""
"CM_01","PUBLISHED","1968","AMR","CHL","BTSX","24 692 [24 133-25 263]","24692.00000","24133.00000","25263.00000","","",""
"CM_01","PUBLISHED","1969","AMR","CHL","BTSX","23 297 [22 747-23 854]","23297.00000","22747.00000","23854.00000","","",""
"CM_01","PUBLISHED","1970","AMR","CHL","BTSX","22 512 [22 039-23 013]","22512.00000","22039.00000","23013.00000","","",""
"CM_01","PUBLISHED","1971","AMR","CHL","BTSX","22 041 [21 538-22 572]","22041.00000","21538.00000","22572.00000","","",""
"CM_01","PUBLISHED","1972","AMR","CHL","BTSX","21 595 [21 117-22 077]","21595.00000","21117.00000","22077.00000","","",""
"CM_01","PUBLISHED","1973","AMR","CHL","BTSX","20 827 [20 366-21 314]","20827.00000","20366.00000","21314.00000","","",""
"CM_01","PUBLISHED","1974","AMR","CHL","BTSX","19 424 [18 970-19 899]","19424.00000","18970.00000","19899.00000","","",""
"CM_01","PUBLISHED","1975","AMR","CHL","BTSX","17 423 [17 042-17 810]","17423.00000","17042.00000","17810.00000","","",""
"CM_01","PUBLISHED","1976","AMR","CHL","BTSX","15 201 [14 845-15 562]","15201.00000","14845.00000","15562.00000","","",""
"CM_01","PUBLISHED","1977","AMR","CHL","BTSX","13 044 [12 746-13 338]","13044.00000","12746.00000","13338.00000","","",""
"CM_01","PUBLISHED","1978","AMR","CHL","BTSX","11 196 [10 930-11 455]","11196.00000","10930.00000","11455.00000","","",""
"CM_01","PUBLISHED","1979","AMR","CHL","BTSX","9 787 [9 546-10 022]","9787.00000","9546.00000","10022.00000","","",""
"CM_01","PUBLISHED","1980","AMR","CHL","BTSX","8 776 [8 587-8 971]","8776.00000","8587.00000","8971.00000","","",""
"CM_01","PUBLISHED","1981","AMR","CHL","BTSX","7 970 [7 780-8 175]","7970.00000","7780.00000","8175.00000","","",""
"CM_01","PUBLISHED","1982","AMR","CHL","BTSX","7 225 [7 067-7 391]","7225.00000","7067.00000","7391.00000","","",""
"CM_01","PUBLISHED","1983","AMR","CHL","BTSX","6 611 [6 461-6 759]","6611.00000","6461.00000","6759.00000","","",""
"CM_01","PUBLISHED","1984","AMR","CHL","BTSX","6 253 [6 097-6 410]","6253.00000","6097.00000","6410.00000","","",""
"CM_01","PUBLISHED","1985","AMR","CHL","BTSX","6 153 [6 018-6 290]","6153.00000","6018.00000","6290.00000","","",""
"CM_01","PUBLISHED","1986","AMR","CHL","BTSX","6 173 [6 030-6 324]","6173.00000","6030.00000","6324.00000","","",""
"CM_01","PUBLISHED","1987","AMR","CHL","BTSX","6 184 [6 048-6 330]","6184.00000","6048.00000","6330.00000","","",""
"CM_01","PUBLISHED","1988","AMR","CHL","BTSX","6 108 [5 973-6 246]","6108.00000","5973.00000","6246.00000","","",""
"CM_01","PUBLISHED","1989","AMR","CHL","BTSX","5 910 [5 774-6 050]","5910.00000","5774.00000","6050.00000","","",""
"CM_01","PUBLISHED","1990","AMR","CHL","BTSX","5 591 [5 468-5 712]","5591.00000","5468.00000","5712.00000","","",""
"CM_01","PUBLISHED","1991","AMR","CHL","BTSX","5 198 [5 075-5 324]","5198.00000","5075.00000","5324.00000","","",""
"CM_01","PUBLISHED","1992","AMR","CHL","BTSX","4 749 [4 644-4 859]","4749.00000","4644.00000","4859.00000","","",""
"CM_01","PUBLISHED","1993","AMR","CHL","BTSX","4 323 [4 227-4 420]","4323.00000","4227.00000","4420.00000","","",""
"CM_01","PUBLISHED","1994","AMR","CHL","BTSX","3 977 [3 882-4 068]","3977.00000","3882.00000","4068.00000","","",""
"CM_01","PUBLISHED","1995","AMR","CHL","BTSX","3 678 [3 598-3 758]","3678.00000","3598.00000","3758.00000","","",""
"CM_01","PUBLISHED","1996","AMR","CHL","BTSX","3 446 [3 365-3 529]","3446.00000","3365.00000","3529.00000","","",""
"CM_01","PUBLISHED","1997","AMR","CHL","BTSX","3 283 [3 212-3 357]","3283.00000","3212.00000","3357.00000","","",""
"CM_01","PUBLISHED","1998","AMR","CHL","BTSX","3 137 [3 066-3 210]","3137.00000","3066.00000","3210.00000","","",""
"CM_01","PUBLISHED","1999","AMR","CHL","BTSX","2 951 [2 880-3 026]","2951.00000","2880.00000","3026.00000","","",""
"CM_01","PUBLISHED","2000","AMR","CHL","BTSX","2 722 [2 664-2 781]","2722.00000","2664.00000","2781.00000","","",""
"CM_01","PUBLISHED","2001","AMR","CHL","BTSX","2 522 [2 461-2 582]","2522.00000","2461.00000","2582.00000","","",""
"CM_01","PUBLISHED","2002","AMR","CHL","BTSX","2 385 [2 331-2 438]","2385.00000","2331.00000","2438.00000","","",""
"CM_01","PUBLISHED","2003","AMR","CHL","BTSX","2 271 [2 221-2 321]","2271.00000","2221.00000","2321.00000","","",""
"CM_01","PUBLISHED","2004","AMR","CHL","BTSX","2 170 [2 119-2 221]","2170.00000","2119.00000","2221.00000","","",""
"CM_01","PUBLISHED","2005","AMR","CHL","BTSX","2 099 [2 055-2 145]","2099.00000","2055.00000","2145.00000","","",""
"CM_01","PUBLISHED","2006","AMR","CHL","BTSX","2 066 [2 019-2 115]","2066.00000","2019.00000","2115.00000","","",""
"CM_01","PUBLISHED","2007","AMR","CHL","BTSX","2 075 [2 029-2 121]","2075.00000","2029.00000","2121.00000","","",""
"CM_01","PUBLISHED","2008","AMR","CHL","BTSX","2 105 [2 058-2 152]","2105.00000","2058.00000","2152.00000","","",""
"CM_01","PUBLISHED","2009","AMR","CHL","BTSX","2 122 [2 073-2 172]","2122.00000","2073.00000","2172.00000","","",""
"CM_01","PUBLISHED","2010","AMR","CHL","BTSX","2 106 [2 061-2 152]","2106.00000","2061.00000","2152.00000","","",""
"CM_01","PUBLISHED","2011","AMR","CHL","BTSX","2 067 [2 019-2 117]","2067.00000","2019.00000","2117.00000","","",""
"CM_01","PUBLISHED","2012","AMR","CHL","BTSX","2 022 [1 975-2 068]","2022.00000","1975.00000","2068.00000","","",""
"CM_01","PUBLISHED","2013","AMR","CHL","BTSX","1 979 [1 933-2 024]","1979.00000","1933.00000","2024.00000","","",""
"CM_01","PUBLISHED","2014","AMR","CHL","BTSX","1 941 [1 894-1 990]","1941.00000","1894.00000","1990.00000","","",""
"CM_01","PUBLISHED","2015","AMR","CHL","BTSX","1 892 [1 835-1 949]","1892.00000","1835.00000","1949.00000","","",""
"CM_01","PUBLISHED","2016","AMR","CHL","BTSX","1 816 [1 737-1 899]","1816.00000","1737.00000","1899.00000","","",""
"CM_01","PUBLISHED","2017","AMR","CHL","BTSX","1 724 [1 630-1 825]","1724.00000","1630.00000","1825.00000","","",""
"CM_01","PUBLISHED","2018","AMR","CHL","BTSX","1 651 [1 539-1 767]","1651.00000","1539.00000","1767.00000","","",""
"CM_01","PUBLISHED","2019","AMR","CHL","BTSX","1 599 [1 464-1 740]","1599.00000","1464.00000","1740.00000","","",""
"CM_01","PUBLISHED","2020","AMR","CHL","BTSX","1 548 [1 369-1 745]","1548.00000","1369.00000","1745.00000","","",""
"CM_01","PUBLISHED","2021","AMR","CHL","BTSX","1 492 [1 250-1 773]","1492.00000","1250.00000","1773.00000","","",""
