"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1957","AMR","COL","BTSX","95 432 [85 201-106 723]","95432.00000","85201.00000","106723.00000","","",""
"CM_01","PUBLISHED","1958","AMR","COL","BTSX","94 787 [85 319-105 425]","94787.00000","85319.00000","105425.00000","","",""
"CM_01","PUBLISHED","1959","AMR","COL","BTSX","94 062 [85 276-103 960]","94062.00000","85276.00000","103960.00000","","",""
"CM_01","PUBLISHED","1960","AMR","COL","BTSX","93 270 [85 044-102 428]","93270.00000","85044.00000","102428.00000","","",""
"CM_01","PUBLISHED","1961","AMR","COL","BTSX","92 394 [84 770-100 929]","92394.00000","84770.00000","100929.00000","","",""
"CM_01","PUBLISHED","1962","AMR","COL","BTSX","91 373 [84 286-99 272]","91373.00000","84286.00000","99272.00000","","",""
"CM_01","PUBLISHED","1963","AMR","COL","BTSX","90 189 [83 468-97 580]","90189.00000","83468.00000","97580.00000","","",""
"CM_01","PUBLISHED","1964","AMR","COL","BTSX","88 798 [82 433-95 689]","88798.00000","82433.00000","95689.00000","","",""
"CM_01","PUBLISHED","1965","AMR","COL","BTSX","87 129 [81 053-93 637]","87129.00000","81053.00000","93637.00000","","",""
"CM_01","PUBLISHED","1966","AMR","COL","BTSX","84 990 [79 250-91 255]","84990.00000","79250.00000","91255.00000","","",""
"CM_01","PUBLISHED","1967","AMR","COL","BTSX","82 562 [77 119-88 521]","82562.00000","77119.00000","88521.00000","","",""
"CM_01","PUBLISHED","1968","AMR","COL","BTSX","79 857 [74 660-85 514]","79857.00000","74660.00000","85514.00000","","",""
"CM_01","PUBLISHED","1969","AMR","COL","BTSX","76 794 [71 758-82 225]","76794.00000","71758.00000","82225.00000","","",""
"CM_01","PUBLISHED","1970","AMR","COL","BTSX","73 611 [68 720-78 791]","73611.00000","68720.00000","78791.00000","","",""
"CM_01","PUBLISHED","1971","AMR","COL","BTSX","70 383 [65 753-75 394]","70383.00000","65753.00000","75394.00000","","",""
"CM_01","PUBLISHED","1972","AMR","COL","BTSX","67 177 [62 774-72 026]","67177.00000","62774.00000","72026.00000","","",""
"CM_01","PUBLISHED","1973","AMR","COL","BTSX","64 099 [59 897-68 778]","64099.00000","59897.00000","68778.00000","","",""
"CM_01","PUBLISHED","1974","AMR","COL","BTSX","61 180 [57 200-65 658]","61180.00000","57200.00000","65658.00000","","",""
"CM_01","PUBLISHED","1975","AMR","COL","BTSX","58 470 [54 714-62 643]","58470.00000","54714.00000","62643.00000","","",""
"CM_01","PUBLISHED","1976","AMR","COL","BTSX","55 916 [52 384-59 847]","55916.00000","52384.00000","59847.00000","","",""
"CM_01","PUBLISHED","1977","AMR","COL","BTSX","53 487 [50 136-57 130]","53487.00000","50136.00000","57130.00000","","",""
"CM_01","PUBLISHED","1978","AMR","COL","BTSX","51 115 [47 963-54 569]","51115.00000","47963.00000","54569.00000","","",""
"CM_01","PUBLISHED","1979","AMR","COL","BTSX","48 902 [45 872-52 147]","48902.00000","45872.00000","52147.00000","","",""
"CM_01","PUBLISHED","1980","AMR","COL","BTSX","46 668 [43 788-49 767]","46668.00000","43788.00000","49767.00000","","",""
"CM_01","PUBLISHED","1981","AMR","COL","BTSX","44 449 [41 685-47 401]","44449.00000","41685.00000","47401.00000","","",""
"CM_01","PUBLISHED","1982","AMR","COL","BTSX","42 348 [39 683-45 158]","42348.00000","39683.00000","45158.00000","","",""
"CM_01","PUBLISHED","1983","AMR","COL","BTSX","40 282 [37 687-43 012]","40282.00000","37687.00000","43012.00000","","",""
"CM_01","PUBLISHED","1984","AMR","COL","BTSX","38 412 [35 831-41 056]","38412.00000","35831.00000","41056.00000","","",""
"CM_01","PUBLISHED","1985","AMR","COL","BTSX","36 757 [34 213-39 368]","36757.00000","34213.00000","39368.00000","","",""
"CM_01","PUBLISHED","1986","AMR","COL","BTSX","35 307 [32 828-37 855]","35307.00000","32828.00000","37855.00000","","",""
"CM_01","PUBLISHED","1987","AMR","COL","BTSX","34 066 [31 681-36 526]","34066.00000","31681.00000","36526.00000","","",""
"CM_01","PUBLISHED","1988","AMR","COL","BTSX","33 021 [30 741-35 399]","33021.00000","30741.00000","35399.00000","","",""
"CM_01","PUBLISHED","1989","AMR","COL","BTSX","32 127 [29 966-34 429]","32127.00000","29966.00000","34429.00000","","",""
"CM_01","PUBLISHED","1990","AMR","COL","BTSX","31 347 [29 260-33 592]","31347.00000","29260.00000","33592.00000","","",""
"CM_01","PUBLISHED","1991","AMR","COL","BTSX","30 567 [28 539-32 801]","30567.00000","28539.00000","32801.00000","","",""
"CM_01","PUBLISHED","1992","AMR","COL","BTSX","29 717 [27 717-31 895]","29717.00000","27717.00000","31895.00000","","",""
"CM_01","PUBLISHED","1993","AMR","COL","BTSX","28 800 [26 841-30 928]","28800.00000","26841.00000","30928.00000","","",""
"CM_01","PUBLISHED","1994","AMR","COL","BTSX","27 827 [25 909-29 848]","27827.00000","25909.00000","29848.00000","","",""
"CM_01","PUBLISHED","1995","AMR","COL","BTSX","26 779 [24 917-28 745]","26779.00000","24917.00000","28745.00000","","",""
