"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1955","AMR","CRI","BTSX","6 171 [6 054-6 292]","6171.00000","6054.00000","6292.00000","","",""
"CM_01","PUBLISHED","1956","AMR","CRI","BTSX","6 078 [5 959-6 199]","6078.00000","5959.00000","6199.00000","","",""
"CM_01","PUBLISHED","1957","AMR","CRI","BTSX","5 951 [5 837-6 066]","5951.00000","5837.00000","6066.00000","","",""
"CM_01","PUBLISHED","1958","AMR","CRI","BTSX","5 819 [5 705-5 929]","5819.00000","5705.00000","5929.00000","","",""
"CM_01","PUBLISHED","1959","AMR","CRI","BTSX","5 694 [5 583-5 806]","5694.00000","5583.00000","5806.00000","","",""
"CM_01","PUBLISHED","1960","AMR","CRI","BTSX","5 606 [5 500-5 710]","5606.00000","5500.00000","5710.00000","","",""
"CM_01","PUBLISHED","1961","AMR","CRI","BTSX","5 596 [5 490-5 706]","5596.00000","5490.00000","5706.00000","","",""
"CM_01","PUBLISHED","1962","AMR","CRI","BTSX","5 695 [5 588-5 806]","5695.00000","5588.00000","5806.00000","","",""
"CM_01","PUBLISHED","1963","AMR","CRI","BTSX","5 813 [5 707-5 924]","5813.00000","5707.00000","5924.00000","","",""
"CM_01","PUBLISHED","1964","AMR","CRI","BTSX","5 841 [5 732-5 951]","5841.00000","5732.00000","5951.00000","","",""
"CM_01","PUBLISHED","1965","AMR","CRI","BTSX","5 739 [5 637-5 844]","5739.00000","5637.00000","5844.00000","","",""
"CM_01","PUBLISHED","1966","AMR","CRI","BTSX","5 558 [5 453-5 663]","5558.00000","5453.00000","5663.00000","","",""
"CM_01","PUBLISHED","1967","AMR","CRI","BTSX","5 340 [5 241-5 440]","5340.00000","5241.00000","5440.00000","","",""
"CM_01","PUBLISHED","1968","AMR","CRI","BTSX","5 060 [4 969-5 153]","5060.00000","4969.00000","5153.00000","","",""
"CM_01","PUBLISHED","1969","AMR","CRI","BTSX","4 787 [4 699-4 880]","4787.00000","4699.00000","4880.00000","","",""
"CM_01","PUBLISHED","1970","AMR","CRI","BTSX","4 527 [4 444-4 613]","4527.00000","4444.00000","4613.00000","","",""
"CM_01","PUBLISHED","1971","AMR","CRI","BTSX","4 213 [4 131-4 295]","4213.00000","4131.00000","4295.00000","","",""
"CM_01","PUBLISHED","1972","AMR","CRI","BTSX","3 859 [3 785-3 930]","3859.00000","3785.00000","3930.00000","","",""
