"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1963","AMR","CUB","BTSX","12 542 [11 232-14 052]","12542.00000","11232.00000","14052.00000","","",""
"CM_01","PUBLISHED","1964","AMR","CUB","BTSX","12 412 [11 158-13 876]","12412.00000","11158.00000","13876.00000","","",""
"CM_01","PUBLISHED","1965","AMR","CUB","BTSX","12 061 [10 874-13 475]","12061.00000","10874.00000","13475.00000","","",""
"CM_01","PUBLISHED","1966","AMR","CUB","BTSX","11 632 [10 488-13 007]","11632.00000","10488.00000","13007.00000","","",""
"CM_01","PUBLISHED","1967","AMR","CUB","BTSX","11 172 [10 074-12 511]","11172.00000","10074.00000","12511.00000","","",""
"CM_01","PUBLISHED","1968","AMR","CUB","BTSX","10 689 [9 647-11 990]","10689.00000","9647.00000","11990.00000","","",""
"CM_01","PUBLISHED","1969","AMR","CUB","BTSX","10 190 [9 201-11 438]","10190.00000","9201.00000","11438.00000","","",""
"CM_01","PUBLISHED","1970","AMR","CUB","BTSX","9 670 [8 747-10 861]","9670.00000","8747.00000","10861.00000","","",""
"CM_01","PUBLISHED","1971","AMR","CUB","BTSX","9 132 [8 268-10 248]","9132.00000","8268.00000","10248.00000","","",""
"CM_01","PUBLISHED","1972","AMR","CUB","BTSX","8 577 [7 770-9 602]","8577.00000","7770.00000","9602.00000","","",""
"CM_01","PUBLISHED","1973","AMR","CUB","BTSX","7 944 [7 210-8 868]","7944.00000","7210.00000","8868.00000","","",""
"CM_01","PUBLISHED","1974","AMR","CUB","BTSX","7 207 [6 544-8 028]","7207.00000","6544.00000","8028.00000","","",""
"CM_01","PUBLISHED","1975","AMR","CUB","BTSX","6 398 [5 812-7 098]","6398.00000","5812.00000","7098.00000","","",""
"CM_01","PUBLISHED","1976","AMR","CUB","BTSX","5 574 [5 063-6 177]","5574.00000","5063.00000","6177.00000","","",""
"CM_01","PUBLISHED","1977","AMR","CUB","BTSX","4 805 [4 370-5 308]","4805.00000","4370.00000","5308.00000","","",""
"CM_01","PUBLISHED","1978","AMR","CUB","BTSX","4 077 [3 707-4 499]","4077.00000","3707.00000","4499.00000","","",""
"CM_01","PUBLISHED","1979","AMR","CUB","BTSX","3 540 [3 217-3 899]","3540.00000","3217.00000","3899.00000","","",""
"CM_01","PUBLISHED","1980","AMR","CUB","BTSX","3 175 [2 884-3 496]","3175.00000","2884.00000","3496.00000","","",""
"CM_01","PUBLISHED","1981","AMR","CUB","BTSX","2 900 [2 633-3 191]","2900.00000","2633.00000","3191.00000","","",""
"CM_01","PUBLISHED","1982","AMR","CUB","BTSX","2 891 [2 620-3 181]","2891.00000","2620.00000","3181.00000","","",""
"CM_01","PUBLISHED","1983","AMR","CUB","BTSX","2 958 [2 680-3 250]","2958.00000","2680.00000","3250.00000","","",""
"CM_01","PUBLISHED","1984","AMR","CUB","BTSX","2 899 [2 627-3 186]","2899.00000","2627.00000","3186.00000","","",""
"CM_01","PUBLISHED","1985","AMR","CUB","BTSX","2 817 [2 552-3 093]","2817.00000","2552.00000","3093.00000","","",""
"CM_01","PUBLISHED","1986","AMR","CUB","BTSX","2 750 [2 488-3 018]","2750.00000","2488.00000","3018.00000","","",""
"CM_01","PUBLISHED","1987","AMR","CUB","BTSX","2 706 [2 448-2 969]","2706.00000","2448.00000","2969.00000","","",""
"CM_01","PUBLISHED","1988","AMR","CUB","BTSX","2 684 [2 426-2 942]","2684.00000","2426.00000","2942.00000","","",""
"CM_01","PUBLISHED","1989","AMR","CUB","BTSX","2 615 [2 365-2 874]","2615.00000","2365.00000","2874.00000","","",""
"CM_01","PUBLISHED","1990","AMR","CUB","BTSX","2 501 [2 262-2 752]","2501.00000","2262.00000","2752.00000","","",""
"CM_01","PUBLISHED","1991","AMR","CUB","BTSX","2 317 [2 094-2 552]","2317.00000","2094.00000","2552.00000","","",""
"CM_01","PUBLISHED","1992","AMR","CUB","BTSX","2 097 [1 892-2 310]","2097.00000","1892.00000","2310.00000","","",""
"CM_01","PUBLISHED","1993","AMR","CUB","BTSX","1 908 [1 720-2 104]","1908.00000","1720.00000","2104.00000","","",""
"CM_01","PUBLISHED","1994","AMR","CUB","BTSX","1 747 [1 574-1 927]","1747.00000","1574.00000","1927.00000","","",""
"CM_01","PUBLISHED","1995","AMR","CUB","BTSX","1 623 [1 461-1 791]","1623.00000","1461.00000","1791.00000","","",""
