"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1965","AMR","DMA","BTSX","174 [166-182]","174.00000","166.00000","182.00000","","",""
"CM_01","PUBLISHED","1966","AMR","DMA","BTSX","166 [159-173]","166.00000","159.00000","173.00000","","",""
"CM_01","PUBLISHED","1967","AMR","DMA","BTSX","154 [148-160]","154.00000","148.00000","160.00000","","",""
"CM_01","PUBLISHED","1968","AMR","DMA","BTSX","134 [129-139]","134.00000","129.00000","139.00000","","",""
"CM_01","PUBLISHED","1969","AMR","DMA","BTSX","126 [121-131]","126.00000","121.00000","131.00000","","",""
"CM_01","PUBLISHED","1970","AMR","DMA","BTSX","118 [113-122]","118.00000","113.00000","122.00000","","",""
"CM_01","PUBLISHED","1971","AMR","DMA","BTSX","104 [100-109]","104.00000","100.00000","109.00000","","",""
"CM_01","PUBLISHED","1972","AMR","DMA","BTSX","93 [89-97]","93.00000","89.00000","97.00000","","",""
"CM_01","PUBLISHED","1973","AMR","DMA","BTSX","82 [79-86]","82.00000","79.00000","86.00000","","",""
"CM_01","PUBLISHED","1974","AMR","DMA","BTSX","73 [69-76]","73.00000","69.00000","76.00000","","",""
"CM_01","PUBLISHED","1975","AMR","DMA","BTSX","64 [61-67]","64.00000","61.00000","67.00000","","",""
"CM_01","PUBLISHED","1976","AMR","DMA","BTSX","56 [54-59]","56.00000","54.00000","59.00000","","",""
"CM_01","PUBLISHED","1977","AMR","DMA","BTSX","50 [48-53]","50.00000","48.00000","53.00000","","",""
"CM_01","PUBLISHED","1978","AMR","DMA","BTSX","45 [43-48]","45.00000","43.00000","48.00000","","",""
"CM_01","PUBLISHED","1979","AMR","DMA","BTSX","50 [47-53]","50.00000","47.00000","53.00000","","",""
"CM_01","PUBLISHED","1980","AMR","DMA","BTSX","39 [36-41]","39.00000","36.00000","41.00000","","",""
"CM_01","PUBLISHED","1981","AMR","DMA","BTSX","36 [34-38]","36.00000","34.00000","38.00000","","",""
"CM_01","PUBLISHED","1982","AMR","DMA","BTSX","35 [33-37]","35.00000","33.00000","37.00000","","",""
"CM_01","PUBLISHED","1983","AMR","DMA","BTSX","35 [33-37]","35.00000","33.00000","37.00000","","",""
"CM_01","PUBLISHED","1984","AMR","DMA","BTSX","34 [32-36]","34.00000","32.00000","36.00000","","",""
"CM_01","PUBLISHED","1985","AMR","DMA","BTSX","32 [30-34]","32.00000","30.00000","34.00000","","",""
"CM_01","PUBLISHED","1986","AMR","DMA","BTSX","31 [30-33]","31.00000","30.00000","33.00000","","",""
"CM_01","PUBLISHED","1987","AMR","DMA","BTSX","30 [28-32]","30.00000","28.00000","32.00000","","",""
"CM_01","PUBLISHED","1988","AMR","DMA","BTSX","30 [28-31]","30.00000","28.00000","31.00000","","",""
"CM_01","PUBLISHED","1989","AMR","DMA","BTSX","29 [27-31]","29.00000","27.00000","31.00000","","",""
"CM_01","PUBLISHED","1990","AMR","DMA","BTSX","28 [26-30]","28.00000","26.00000","30.00000","","",""
"CM_01","PUBLISHED","1991","AMR","DMA","BTSX","28 [26-29]","28.00000","26.00000","29.00000","","",""
"CM_01","PUBLISHED","1992","AMR","DMA","BTSX","28 [26-30]","28.00000","26.00000","30.00000","","",""
"CM_01","PUBLISHED","1993","AMR","DMA","BTSX","28 [26-30]","28.00000","26.00000","30.00000","","",""
"CM_01","PUBLISHED","1994","AMR","DMA","BTSX","27 [25-28]","27.00000","25.00000","28.00000","","",""
"CM_01","PUBLISHED","1995","AMR","DMA","BTSX","25 [23-27]","25.00000","23.00000","27.00000","","",""
"CM_01","PUBLISHED","1996","AMR","DMA","BTSX","24 [22-25]","24.00000","22.00000","25.00000","","",""
"CM_01","PUBLISHED","1997","AMR","DMA","BTSX","22 [21-24]","22.00000","21.00000","24.00000","","",""
"CM_01","PUBLISHED","1998","AMR","DMA","BTSX","21 [20-23]","21.00000","20.00000","23.00000","","",""
"CM_01","PUBLISHED","1999","AMR","DMA","BTSX","22 [20-23]","22.00000","20.00000","23.00000","","",""
"CM_01","PUBLISHED","2000","AMR","DMA","BTSX","22 [20-23]","22.00000","20.00000","23.00000","","",""
"CM_01","PUBLISHED","2001","AMR","DMA","BTSX","22 [20-23]","22.00000","20.00000","23.00000","","",""
"CM_01","PUBLISHED","2002","AMR","DMA","BTSX","22 [20-23]","22.00000","20.00000","23.00000","","",""
"CM_01","PUBLISHED","2003","AMR","DMA","BTSX","21 [20-23]","21.00000","20.00000","23.00000","","",""
"CM_01","PUBLISHED","2004","AMR","DMA","BTSX","21 [20-23]","21.00000","20.00000","23.00000","","",""
"CM_01","PUBLISHED","2005","AMR","DMA","BTSX","22 [20-23]","22.00000","20.00000","23.00000","","",""
"CM_01","PUBLISHED","2006","AMR","DMA","BTSX","22 [21-24]","22.00000","21.00000","24.00000","","",""
"CM_01","PUBLISHED","2007","AMR","DMA","BTSX","23 [21-25]","23.00000","21.00000","25.00000","","",""
"CM_01","PUBLISHED","2008","AMR","DMA","BTSX","23 [22-25]","23.00000","22.00000","25.00000","","",""
"CM_01","PUBLISHED","2009","AMR","DMA","BTSX","24 [22-26]","24.00000","22.00000","26.00000","","",""
"CM_01","PUBLISHED","2010","AMR","DMA","BTSX","24 [22-26]","24.00000","22.00000","26.00000","","",""
"CM_01","PUBLISHED","2011","AMR","DMA","BTSX","25 [23-27]","25.00000","23.00000","27.00000","","",""
"CM_01","PUBLISHED","2012","AMR","DMA","BTSX","26 [23-28]","26.00000","23.00000","28.00000","","",""
"CM_01","PUBLISHED","2013","AMR","DMA","BTSX","26 [24-29]","26.00000","24.00000","29.00000","","",""
"CM_01","PUBLISHED","2014","AMR","DMA","BTSX","27 [25-30]","27.00000","25.00000","30.00000","","",""
"CM_01","PUBLISHED","2015","AMR","DMA","BTSX","29 [26-32]","29.00000","26.00000","32.00000","","",""
"CM_01","PUBLISHED","2016","AMR","DMA","BTSX","30 [27-34]","30.00000","27.00000","34.00000","","",""
"CM_01","PUBLISHED","2017","AMR","DMA","BTSX","31 [27-35]","31.00000","27.00000","35.00000","","",""
"CM_01","PUBLISHED","2018","AMR","DMA","BTSX","32 [28-37]","32.00000","28.00000","37.00000","","",""
"CM_01","PUBLISHED","2019","AMR","DMA","BTSX","33 [28-38]","33.00000","28.00000","38.00000","","",""
"CM_01","PUBLISHED","2020","AMR","DMA","BTSX","34 [29-39]","34.00000","29.00000","39.00000","","",""
"CM_01","PUBLISHED","2021","AMR","DMA","BTSX","34 [29-40]","34.00000","29.00000","40.00000","","",""
