"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1955","AMR","DOM","BTSX","21 246 [18 974-23 703]","21246.00000","18974.00000","23703.00000","","",""
"CM_01","PUBLISHED","1956","AMR","DOM","BTSX","22 040 [19 934-24 358]","22040.00000","19934.00000","24358.00000","","",""
"CM_01","PUBLISHED","1957","AMR","DOM","BTSX","22 777 [20 761-24 976]","22777.00000","20761.00000","24976.00000","","",""
"CM_01","PUBLISHED","1958","AMR","DOM","BTSX","23 435 [21 514-25 575]","23435.00000","21514.00000","25575.00000","","",""
"CM_01","PUBLISHED","1959","AMR","DOM","BTSX","23 994 [22 124-26 058]","23994.00000","22124.00000","26058.00000","","",""
"CM_01","PUBLISHED","1960","AMR","DOM","BTSX","24 425 [22 585-26 440]","24425.00000","22585.00000","26440.00000","","",""
"CM_01","PUBLISHED","1961","AMR","DOM","BTSX","24 721 [22 961-26 687]","24721.00000","22961.00000","26687.00000","","",""
"CM_01","PUBLISHED","1962","AMR","DOM","BTSX","24 882 [23 181-26 764]","24882.00000","23181.00000","26764.00000","","",""
"CM_01","PUBLISHED","1963","AMR","DOM","BTSX","24 926 [23 260-26 721]","24926.00000","23260.00000","26721.00000","","",""
"CM_01","PUBLISHED","1964","AMR","DOM","BTSX","24 839 [23 217-26 552]","24839.00000","23217.00000","26552.00000","","",""
"CM_01","PUBLISHED","1965","AMR","DOM","BTSX","24 666 [23 101-26 314]","24666.00000","23101.00000","26314.00000","","",""
"CM_01","PUBLISHED","1966","AMR","DOM","BTSX","24 468 [22 956-26 058]","24468.00000","22956.00000","26058.00000","","",""
"CM_01","PUBLISHED","1967","AMR","DOM","BTSX","24 186 [22 694-25 736]","24186.00000","22694.00000","25736.00000","","",""
"CM_01","PUBLISHED","1968","AMR","DOM","BTSX","23 745 [22 295-25 255]","23745.00000","22295.00000","25255.00000","","",""
