"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1960","AMR","ECU","BTSX","33 842 [29 098-39 458]","33842.00000","29098.00000","39458.00000","","",""
"CM_01","PUBLISHED","1961","AMR","ECU","BTSX","33 722 [29 488-38 701]","33722.00000","29488.00000","38701.00000","","",""
"CM_01","PUBLISHED","1962","AMR","ECU","BTSX","33 667 [29 799-38 085]","33667.00000","29799.00000","38085.00000","","",""
"CM_01","PUBLISHED","1963","AMR","ECU","BTSX","33 600 [29 978-37 498]","33600.00000","29978.00000","37498.00000","","",""
"CM_01","PUBLISHED","1964","AMR","ECU","BTSX","33 569 [30 203-37 209]","33569.00000","30203.00000","37209.00000","","",""
"CM_01","PUBLISHED","1965","AMR","ECU","BTSX","33 589 [30 372-36 991]","33589.00000","30372.00000","36991.00000","","",""
"CM_01","PUBLISHED","1966","AMR","ECU","BTSX","33 529 [30 410-36 832]","33529.00000","30410.00000","36832.00000","","",""
"CM_01","PUBLISHED","1967","AMR","ECU","BTSX","33 550 [30 492-36 793]","33550.00000","30492.00000","36793.00000","","",""
"CM_01","PUBLISHED","1968","AMR","ECU","BTSX","33 587 [30 521-36 906]","33587.00000","30521.00000","36906.00000","","",""
"CM_01","PUBLISHED","1969","AMR","ECU","BTSX","33 614 [30 576-36 947]","33614.00000","30576.00000","36947.00000","","",""
"CM_01","PUBLISHED","1970","AMR","ECU","BTSX","33 504 [30 497-36 802]","33504.00000","30497.00000","36802.00000","","",""
"CM_01","PUBLISHED","1971","AMR","ECU","BTSX","33 165 [30 234-36 380]","33165.00000","30234.00000","36380.00000","","",""
"CM_01","PUBLISHED","1972","AMR","ECU","BTSX","32 676 [29 817-35 821]","32676.00000","29817.00000","35821.00000","","",""
"CM_01","PUBLISHED","1973","AMR","ECU","BTSX","31 998 [29 221-35 041]","31998.00000","29221.00000","35041.00000","","",""
"CM_01","PUBLISHED","1974","AMR","ECU","BTSX","31 089 [28 395-34 078]","31089.00000","28395.00000","34078.00000","","",""
"CM_01","PUBLISHED","1975","AMR","ECU","BTSX","30 069 [27 433-32 998]","30069.00000","27433.00000","32998.00000","","",""
"CM_01","PUBLISHED","1976","AMR","ECU","BTSX","29 015 [26 474-31 923]","29015.00000","26474.00000","31923.00000","","",""
"CM_01","PUBLISHED","1977","AMR","ECU","BTSX","28 061 [25 598-30 883]","28061.00000","25598.00000","30883.00000","","",""
"CM_01","PUBLISHED","1978","AMR","ECU","BTSX","27 152 [24 745-29 877]","27152.00000","24745.00000","29877.00000","","",""
"CM_01","PUBLISHED","1979","AMR","ECU","BTSX","26 257 [23 939-28 863]","26257.00000","23939.00000","28863.00000","","",""
"CM_01","PUBLISHED","1980","AMR","ECU","BTSX","25 371 [23 144-27 866]","25371.00000","23144.00000","27866.00000","","",""
"CM_01","PUBLISHED","1981","AMR","ECU","BTSX","24 447 [22 283-26 800]","24447.00000","22283.00000","26800.00000","","",""
"CM_01","PUBLISHED","1982","AMR","ECU","BTSX","23 454 [21 384-25 756]","23454.00000","21384.00000","25756.00000","","",""
"CM_01","PUBLISHED","1983","AMR","ECU","BTSX","22 450 [20 426-24 689]","22450.00000","20426.00000","24689.00000","","",""
"CM_01","PUBLISHED","1984","AMR","ECU","BTSX","21 461 [19 489-23 602]","21461.00000","19489.00000","23602.00000","","",""
"CM_01","PUBLISHED","1985","AMR","ECU","BTSX","20 504 [18 604-22 610]","20504.00000","18604.00000","22610.00000","","",""
"CM_01","PUBLISHED","1986","AMR","ECU","BTSX","19 647 [17 775-21 695]","19647.00000","17775.00000","21695.00000","","",""
"CM_01","PUBLISHED","1987","AMR","ECU","BTSX","18 859 [17 009-20 832]","18859.00000","17009.00000","20832.00000","","",""
"CM_01","PUBLISHED","1988","AMR","ECU","BTSX","18 108 [16 333-20 028]","18108.00000","16333.00000","20028.00000","","",""
"CM_01","PUBLISHED","1989","AMR","ECU","BTSX","17 406 [15 683-19 274]","17406.00000","15683.00000","19274.00000","","",""
"CM_01","PUBLISHED","1990","AMR","ECU","BTSX","16 711 [15 035-18 511]","16711.00000","15035.00000","18511.00000","","",""
"CM_01","PUBLISHED","1991","AMR","ECU","BTSX","16 003 [14 358-17 786]","16003.00000","14358.00000","17786.00000","","",""
"CM_01","PUBLISHED","1992","AMR","ECU","BTSX","15 279 [13 668-17 040]","15279.00000","13668.00000","17040.00000","","",""
"CM_01","PUBLISHED","1993","AMR","ECU","BTSX","14 514 [12 956-16 249]","14514.00000","12956.00000","16249.00000","","",""
"CM_01","PUBLISHED","1994","AMR","ECU","BTSX","13 748 [12 221-15 424]","13748.00000","12221.00000","15424.00000","","",""
"CM_01","PUBLISHED","1995","AMR","ECU","BTSX","12 957 [11 488-14 583]","12957.00000","11488.00000","14583.00000","","",""
"CM_01","PUBLISHED","1996","AMR","ECU","BTSX","12 167 [10 795-13 717]","12167.00000","10795.00000","13717.00000","","",""
