"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1960","AMR","SLV","BTSX","23 234 [20 623-25 980]","23234.00000","20623.00000","25980.00000","","",""
"CM_01","PUBLISHED","1961","AMR","SLV","BTSX","23 392 [20 997-25 941]","23392.00000","20997.00000","25941.00000","","",""
"CM_01","PUBLISHED","1962","AMR","SLV","BTSX","23 561 [21 292-25 994]","23561.00000","21292.00000","25994.00000","","",""
"CM_01","PUBLISHED","1963","AMR","SLV","BTSX","23 679 [21 472-26 075]","23679.00000","21472.00000","26075.00000","","",""
"CM_01","PUBLISHED","1964","AMR","SLV","BTSX","23 784 [21 539-26 169]","23784.00000","21539.00000","26169.00000","","",""
"CM_01","PUBLISHED","1965","AMR","SLV","BTSX","23 839 [21 585-26 246]","23839.00000","21585.00000","26246.00000","","",""
"CM_01","PUBLISHED","1966","AMR","SLV","BTSX","23 787 [21 487-26 286]","23787.00000","21487.00000","26286.00000","","",""
"CM_01","PUBLISHED","1967","AMR","SLV","BTSX","23 690 [21 383-26 277]","23690.00000","21383.00000","26277.00000","","",""
"CM_01","PUBLISHED","1968","AMR","SLV","BTSX","23 509 [21 176-26 216]","23509.00000","21176.00000","26216.00000","","",""
"CM_01","PUBLISHED","1969","AMR","SLV","BTSX","23 230 [20 885-26 041]","23230.00000","20885.00000","26041.00000","","",""
"CM_01","PUBLISHED","1970","AMR","SLV","BTSX","22 909 [20 534-25 880]","22909.00000","20534.00000","25880.00000","","",""
"CM_01","PUBLISHED","1971","AMR","SLV","BTSX","22 690 [20 289-25 759]","22690.00000","20289.00000","25759.00000","","",""
"CM_01","PUBLISHED","1972","AMR","SLV","BTSX","22 502 [20 067-25 640]","22502.00000","20067.00000","25640.00000","","",""
"CM_01","PUBLISHED","1973","AMR","SLV","BTSX","22 225 [19 825-25 430]","22225.00000","19825.00000","25430.00000","","",""
"CM_01","PUBLISHED","1974","AMR","SLV","BTSX","21 910 [19 535-25 082]","21910.00000","19535.00000","25082.00000","","",""
"CM_01","PUBLISHED","1975","AMR","SLV","BTSX","21 523 [19 160-24 598]","21523.00000","19160.00000","24598.00000","","",""
"CM_01","PUBLISHED","1976","AMR","SLV","BTSX","21 060 [18 751-24 023]","21060.00000","18751.00000","24023.00000","","",""
"CM_01","PUBLISHED","1977","AMR","SLV","BTSX","20 521 [18 298-23 344]","20521.00000","18298.00000","23344.00000","","",""
"CM_01","PUBLISHED","1978","AMR","SLV","BTSX","19 928 [17 796-22 564]","19928.00000","17796.00000","22564.00000","","",""
"CM_01","PUBLISHED","1979","AMR","SLV","BTSX","19 261 [17 258-21 698]","19261.00000","17258.00000","21698.00000","","",""
"CM_01","PUBLISHED","1980","AMR","SLV","BTSX","21 989 [19 746-24 656]","21989.00000","19746.00000","24656.00000","","",""
"CM_01","PUBLISHED","1981","AMR","SLV","BTSX","17 777 [16 037-19 781]","17777.00000","16037.00000","19781.00000","","",""
"CM_01","PUBLISHED","1982","AMR","SLV","BTSX","16 870 [15 294-18 690]","16870.00000","15294.00000","18690.00000","","",""
"CM_01","PUBLISHED","1983","AMR","SLV","BTSX","15 884 [14 457-17 495]","15884.00000","14457.00000","17495.00000","","",""
"CM_01","PUBLISHED","1984","AMR","SLV","BTSX","14 946 [13 636-16 380]","14946.00000","13636.00000","16380.00000","","",""
"CM_01","PUBLISHED","1985","AMR","SLV","BTSX","14 006 [12 804-15 324]","14006.00000","12804.00000","15324.00000","","",""
"CM_01","PUBLISHED","1986","AMR","SLV","BTSX","13 126 [11 993-14 337]","13126.00000","11993.00000","14337.00000","","",""
"CM_01","PUBLISHED","1987","AMR","SLV","BTSX","12 454 [11 377-13 590]","12454.00000","11377.00000","13590.00000","","",""
"CM_01","PUBLISHED","1988","AMR","SLV","BTSX","11 898 [10 866-12 969]","11898.00000","10866.00000","12969.00000","","",""
"CM_01","PUBLISHED","1989","AMR","SLV","BTSX","11 296 [10 327-12 320]","11296.00000","10327.00000","12320.00000","","",""
"CM_01","PUBLISHED","1990","AMR","SLV","BTSX","10 703 [9 777-11 677]","10703.00000","9777.00000","11677.00000","","",""
"CM_01","PUBLISHED","1991","AMR","SLV","BTSX","10 129 [9 255-11 068]","10129.00000","9255.00000","11068.00000","","",""
"CM_01","PUBLISHED","1992","AMR","SLV","BTSX","9 584 [8 745-10 486]","9584.00000","8745.00000","10486.00000","","",""
"CM_01","PUBLISHED","1993","AMR","SLV","BTSX","9 032 [8 238-9 892]","9032.00000","8238.00000","9892.00000","","",""
"CM_01","PUBLISHED","1994","AMR","SLV","BTSX","8 496 [7 742-9 326]","8496.00000","7742.00000","9326.00000","","",""
"CM_01","PUBLISHED","1995","AMR","SLV","BTSX","7 976 [7 255-8 759]","7976.00000","7255.00000","8759.00000","","",""
"CM_01","PUBLISHED","1996","AMR","SLV","BTSX","7 444 [6 771-8 178]","7444.00000","6771.00000","8178.00000","","",""
"CM_01","PUBLISHED","1997","AMR","SLV","BTSX","6 921 [6 282-7 616]","6921.00000","6282.00000","7616.00000","","",""
"CM_01","PUBLISHED","1998","AMR","SLV","BTSX","6 472 [5 860-7 136]","6472.00000","5860.00000","7136.00000","","",""
"CM_01","PUBLISHED","1999","AMR","SLV","BTSX","6 043 [5 451-6 675]","6043.00000","5451.00000","6675.00000","","",""
"CM_01","PUBLISHED","2000","AMR","SLV","BTSX","5 568 [5 005-6 166]","5568.00000","5005.00000","6166.00000","","",""
"CM_01","PUBLISHED","2001","AMR","SLV","BTSX","5 075 [4 542-5 648]","5075.00000","4542.00000","5648.00000","","",""
"CM_01","PUBLISHED","2002","AMR","SLV","BTSX","4 573 [4 078-5 125]","4573.00000","4078.00000","5125.00000","","",""
"CM_01","PUBLISHED","2003","AMR","SLV","BTSX","4 114 [3 654-4 634]","4114.00000","3654.00000","4634.00000","","",""
"CM_01","PUBLISHED","2004","AMR","SLV","BTSX","3 704 [3 269-4 200]","3704.00000","3269.00000","4200.00000","","",""
"CM_01","PUBLISHED","2005","AMR","SLV","BTSX","3 351 [2 935-3 837]","3351.00000","2935.00000","3837.00000","","",""
"CM_01","PUBLISHED","2006","AMR","SLV","BTSX","3 064 [2 660-3 540]","3064.00000","2660.00000","3540.00000","","",""
"CM_01","PUBLISHED","2007","AMR","SLV","BTSX","2 821 [2 416-3 295]","2821.00000","2416.00000","3295.00000","","",""
