"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1955","AMR","GRD","BTSX","463 [448-478]","463.00000","448.00000","478.00000","","",""
"CM_01","PUBLISHED","1956","AMR","GRD","BTSX","470 [455-485]","470.00000","455.00000","485.00000","","",""
"CM_01","PUBLISHED","1957","AMR","GRD","BTSX","471 [456-487]","471.00000","456.00000","487.00000","","",""
"CM_01","PUBLISHED","1958","AMR","GRD","BTSX","465 [450-480]","465.00000","450.00000","480.00000","","",""
"CM_01","PUBLISHED","1959","AMR","GRD","BTSX","449 [434-463]","449.00000","434.00000","463.00000","","",""
"CM_01","PUBLISHED","1960","AMR","GRD","BTSX","423 [410-438]","423.00000","410.00000","438.00000","","",""
"CM_01","PUBLISHED","1961","AMR","GRD","BTSX","389 [376-403]","389.00000","376.00000","403.00000","","",""
"CM_01","PUBLISHED","1962","AMR","GRD","BTSX","351 [339-365]","351.00000","339.00000","365.00000","","",""
"CM_01","PUBLISHED","1963","AMR","GRD","BTSX","314 [302-326]","314.00000","302.00000","326.00000","","",""
"CM_01","PUBLISHED","1964","AMR","GRD","BTSX","278 [267-290]","278.00000","267.00000","290.00000","","",""
"CM_01","PUBLISHED","1965","AMR","GRD","BTSX","248 [237-259]","248.00000","237.00000","259.00000","","",""
"CM_01","PUBLISHED","1966","AMR","GRD","BTSX","224 [213-234]","224.00000","213.00000","234.00000","","",""
"CM_01","PUBLISHED","1967","AMR","GRD","BTSX","203 [193-214]","203.00000","193.00000","214.00000","","",""
"CM_01","PUBLISHED","1968","AMR","GRD","BTSX","187 [177-198]","187.00000","177.00000","198.00000","","",""
"CM_01","PUBLISHED","1969","AMR","GRD","BTSX","174 [163-186]","174.00000","163.00000","186.00000","","",""
"CM_01","PUBLISHED","1970","AMR","GRD","BTSX","163 [151-176]","163.00000","151.00000","176.00000","","",""
"CM_01","PUBLISHED","1971","AMR","GRD","BTSX","155 [142-169]","155.00000","142.00000","169.00000","","",""
"CM_01","PUBLISHED","1972","AMR","GRD","BTSX","150 [136-166]","150.00000","136.00000","166.00000","","",""
"CM_01","PUBLISHED","1973","AMR","GRD","BTSX","145 [131-162]","145.00000","131.00000","162.00000","","",""
"CM_01","PUBLISHED","1974","AMR","GRD","BTSX","141 [126-158]","141.00000","126.00000","158.00000","","",""
"CM_01","PUBLISHED","1975","AMR","GRD","BTSX","136 [121-153]","136.00000","121.00000","153.00000","","",""
"CM_01","PUBLISHED","1976","AMR","GRD","BTSX","130 [115-145]","130.00000","115.00000","145.00000","","",""
"CM_01","PUBLISHED","1977","AMR","GRD","BTSX","122 [109-137]","122.00000","109.00000","137.00000","","",""
"CM_01","PUBLISHED","1978","AMR","GRD","BTSX","115 [103-129]","115.00000","103.00000","129.00000","","",""
"CM_01","PUBLISHED","1979","AMR","GRD","BTSX","109 [97-123]","109.00000","97.00000","123.00000","","",""
"CM_01","PUBLISHED","1980","AMR","GRD","BTSX","103 [92-116]","103.00000","92.00000","116.00000","","",""
"CM_01","PUBLISHED","1981","AMR","GRD","BTSX","94 [83-105]","94.00000","83.00000","105.00000","","",""
"CM_01","PUBLISHED","1982","AMR","GRD","BTSX","87 [77-97]","87.00000","77.00000","97.00000","","",""
"CM_01","PUBLISHED","1983","AMR","GRD","BTSX","86 [77-96]","86.00000","77.00000","96.00000","","",""
"CM_01","PUBLISHED","1984","AMR","GRD","BTSX","84 [75-93]","84.00000","75.00000","93.00000","","",""
"CM_01","PUBLISHED","1985","AMR","GRD","BTSX","82 [75-91]","82.00000","75.00000","91.00000","","",""
"CM_01","PUBLISHED","1986","AMR","GRD","BTSX","83 [76-90]","83.00000","76.00000","90.00000","","",""
"CM_01","PUBLISHED","1987","AMR","GRD","BTSX","81 [75-88]","81.00000","75.00000","88.00000","","",""
"CM_01","PUBLISHED","1988","AMR","GRD","BTSX","75 [69-81]","75.00000","69.00000","81.00000","","",""
"CM_01","PUBLISHED","1989","AMR","GRD","BTSX","69 [64-74]","69.00000","64.00000","74.00000","","",""
"CM_01","PUBLISHED","1990","AMR","GRD","BTSX","65 [60-69]","65.00000","60.00000","69.00000","","",""
"CM_01","PUBLISHED","1991","AMR","GRD","BTSX","60 [55-64]","60.00000","55.00000","64.00000","","",""
"CM_01","PUBLISHED","1992","AMR","GRD","BTSX","55 [51-59]","55.00000","51.00000","59.00000","","",""
"CM_01","PUBLISHED","1993","AMR","GRD","BTSX","49 [46-53]","49.00000","46.00000","53.00000","","",""
"CM_01","PUBLISHED","1994","AMR","GRD","BTSX","45 [42-49]","45.00000","42.00000","49.00000","","",""
"CM_01","PUBLISHED","1995","AMR","GRD","BTSX","42 [39-46]","42.00000","39.00000","46.00000","","",""
"CM_01","PUBLISHED","1996","AMR","GRD","BTSX","40 [36-43]","40.00000","36.00000","43.00000","","",""
"CM_01","PUBLISHED","1997","AMR","GRD","BTSX","38 [35-41]","38.00000","35.00000","41.00000","","",""
"CM_01","PUBLISHED","1998","AMR","GRD","BTSX","35 [32-38]","35.00000","32.00000","38.00000","","",""
"CM_01","PUBLISHED","1999","AMR","GRD","BTSX","32 [29-35]","32.00000","29.00000","35.00000","","",""
"CM_01","PUBLISHED","2000","AMR","GRD","BTSX","31 [28-33]","31.00000","28.00000","33.00000","","",""
"CM_01","PUBLISHED","2001","AMR","GRD","BTSX","30 [27-33]","30.00000","27.00000","33.00000","","",""
"CM_01","PUBLISHED","2002","AMR","GRD","BTSX","29 [27-32]","29.00000","27.00000","32.00000","","",""
"CM_01","PUBLISHED","2003","AMR","GRD","BTSX","29 [26-31]","29.00000","26.00000","31.00000","","",""
"CM_01","PUBLISHED","2004","AMR","GRD","BTSX","29 [26-31]","29.00000","26.00000","31.00000","","",""
