"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1962","AMR","GTM","BTSX","41 496 [37 637-46 001]","41496.00000","37637.00000","46001.00000","","",""
"CM_01","PUBLISHED","1963","AMR","GTM","BTSX","41 314 [37 796-45 407]","41314.00000","37796.00000","45407.00000","","",""
"CM_01","PUBLISHED","1964","AMR","GTM","BTSX","41 202 [37 942-44 988]","41202.00000","37942.00000","44988.00000","","",""
"CM_01","PUBLISHED","1965","AMR","GTM","BTSX","41 098 [38 034-44 654]","41098.00000","38034.00000","44654.00000","","",""
"CM_01","PUBLISHED","1966","AMR","GTM","BTSX","41 091 [38 105-44 433]","41091.00000","38105.00000","44433.00000","","",""
"CM_01","PUBLISHED","1967","AMR","GTM","BTSX","41 015 [38 115-44 207]","41015.00000","38115.00000","44207.00000","","",""
"CM_01","PUBLISHED","1968","AMR","GTM","BTSX","40 848 [38 018-43 962]","40848.00000","38018.00000","43962.00000","","",""
"CM_01","PUBLISHED","1969","AMR","GTM","BTSX","40 631 [37 874-43 664]","40631.00000","37874.00000","43664.00000","","",""
"CM_01","PUBLISHED","1970","AMR","GTM","BTSX","40 338 [37 674-43 317]","40338.00000","37674.00000","43317.00000","","",""
"CM_01","PUBLISHED","1971","AMR","GTM","BTSX","39 998 [37 391-42 919]","39998.00000","37391.00000","42919.00000","","",""
"CM_01","PUBLISHED","1972","AMR","GTM","BTSX","39 579 [37 034-42 480]","39579.00000","37034.00000","42480.00000","","",""
"CM_01","PUBLISHED","1973","AMR","GTM","BTSX","39 160 [36 657-41 989]","39160.00000","36657.00000","41989.00000","","",""
"CM_01","PUBLISHED","1974","AMR","GTM","BTSX","38 761 [36 288-41 542]","38761.00000","36288.00000","41542.00000","","",""
"CM_01","PUBLISHED","1975","AMR","GTM","BTSX","38 329 [35 881-41 091]","38329.00000","35881.00000","41091.00000","","",""
"CM_01","PUBLISHED","1976","AMR","GTM","BTSX","43 598 [40 793-46 771]","43598.00000","40793.00000","46771.00000","","",""
"CM_01","PUBLISHED","1977","AMR","GTM","BTSX","37 229 [34 856-39 907]","37229.00000","34856.00000","39907.00000","","",""
"CM_01","PUBLISHED","1978","AMR","GTM","BTSX","36 699 [34 363-39 316]","36699.00000","34363.00000","39316.00000","","",""
"CM_01","PUBLISHED","1979","AMR","GTM","BTSX","36 146 [33 840-38 685]","36146.00000","33840.00000","38685.00000","","",""
"CM_01","PUBLISHED","1980","AMR","GTM","BTSX","35 633 [33 351-38 120]","35633.00000","33351.00000","38120.00000","","",""
"CM_01","PUBLISHED","1981","AMR","GTM","BTSX","35 058 [32 834-37 478]","35058.00000","32834.00000","37478.00000","","",""
"CM_01","PUBLISHED","1982","AMR","GTM","BTSX","41 010 [38 414-43 879]","41010.00000","38414.00000","43879.00000","","",""
"CM_01","PUBLISHED","1983","AMR","GTM","BTSX","33 490 [31 391-35 769]","33490.00000","31391.00000","35769.00000","","",""
"CM_01","PUBLISHED","1984","AMR","GTM","BTSX","32 547 [30 520-34 724]","32547.00000","30520.00000","34724.00000","","",""
"CM_01","PUBLISHED","1985","AMR","GTM","BTSX","31 460 [29 517-33 544]","31460.00000","29517.00000","33544.00000","","",""
"CM_01","PUBLISHED","1986","AMR","GTM","BTSX","30 553 [28 689-32 557]","30553.00000","28689.00000","32557.00000","","",""
"CM_01","PUBLISHED","1987","AMR","GTM","BTSX","29 853 [28 013-31 772]","29853.00000","28013.00000","31772.00000","","",""
