"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1955","AMR","GUY","BTSX","2 440 [2 068-2 868]","2440.00000","2068.00000","2868.00000","","",""
"CM_01","PUBLISHED","1956","AMR","GUY","BTSX","2 394 [2 035-2 801]","2394.00000","2035.00000","2801.00000","","",""
"CM_01","PUBLISHED","1957","AMR","GUY","BTSX","2 342 [1 994-2 729]","2342.00000","1994.00000","2729.00000","","",""
"CM_01","PUBLISHED","1958","AMR","GUY","BTSX","2 286 [1 952-2 657]","2286.00000","1952.00000","2657.00000","","",""
"CM_01","PUBLISHED","1959","AMR","GUY","BTSX","2 230 [1 903-2 594]","2230.00000","1903.00000","2594.00000","","",""
"CM_01","PUBLISHED","1960","AMR","GUY","BTSX","2 171 [1 854-2 534]","2171.00000","1854.00000","2534.00000","","",""
"CM_01","PUBLISHED","1961","AMR","GUY","BTSX","2 119 [1 808-2 474]","2119.00000","1808.00000","2474.00000","","",""
"CM_01","PUBLISHED","1962","AMR","GUY","BTSX","2 070 [1 764-2 418]","2070.00000","1764.00000","2418.00000","","",""
"CM_01","PUBLISHED","1963","AMR","GUY","BTSX","2 026 [1 727-2 370]","2026.00000","1727.00000","2370.00000","","",""
"CM_01","PUBLISHED","1964","AMR","GUY","BTSX","1 990 [1 700-2 323]","1990.00000","1700.00000","2323.00000","","",""
"CM_01","PUBLISHED","1965","AMR","GUY","BTSX","1 962 [1 678-2 285]","1962.00000","1678.00000","2285.00000","","",""
"CM_01","PUBLISHED","1966","AMR","GUY","BTSX","1 940 [1 663-2 252]","1940.00000","1663.00000","2252.00000","","",""
"CM_01","PUBLISHED","1967","AMR","GUY","BTSX","1 919 [1 649-2 223]","1919.00000","1649.00000","2223.00000","","",""
"CM_01","PUBLISHED","1968","AMR","GUY","BTSX","1 901 [1 637-2 195]","1901.00000","1637.00000","2195.00000","","",""
