"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1961","AMR","HTI","BTSX","47 333 [41 851-53 398]","47333.00000","41851.00000","53398.00000","","",""
"CM_01","PUBLISHED","1962","AMR","HTI","BTSX","47 200 [42 002-52 892]","47200.00000","42002.00000","52892.00000","","",""
"CM_01","PUBLISHED","1963","AMR","HTI","BTSX","47 034 [42 121-52 348]","47034.00000","42121.00000","52348.00000","","",""
"CM_01","PUBLISHED","1964","AMR","HTI","BTSX","46 819 [42 143-51 871]","46819.00000","42143.00000","51871.00000","","",""
"CM_01","PUBLISHED","1965","AMR","HTI","BTSX","46 532 [42 050-51 286]","46532.00000","42050.00000","51286.00000","","",""
"CM_01","PUBLISHED","1966","AMR","HTI","BTSX","46 097 [41 826-50 591]","46097.00000","41826.00000","50591.00000","","",""
"CM_01","PUBLISHED","1967","AMR","HTI","BTSX","45 641 [41 586-49 916]","45641.00000","41586.00000","49916.00000","","",""
"CM_01","PUBLISHED","1968","AMR","HTI","BTSX","45 170 [41 335-49 252]","45170.00000","41335.00000","49252.00000","","",""
"CM_01","PUBLISHED","1969","AMR","HTI","BTSX","44 676 [41 019-48 580]","44676.00000","41019.00000","48580.00000","","",""
"CM_01","PUBLISHED","1970","AMR","HTI","BTSX","44 157 [40 660-47 920]","44157.00000","40660.00000","47920.00000","","",""
"CM_01","PUBLISHED","1971","AMR","HTI","BTSX","43 640 [40 246-47 231]","43640.00000","40246.00000","47231.00000","","",""
"CM_01","PUBLISHED","1972","AMR","HTI","BTSX","43 040 [39 773-46 486]","43040.00000","39773.00000","46486.00000","","",""
"CM_01","PUBLISHED","1973","AMR","HTI","BTSX","42 393 [39 259-45 724]","42393.00000","39259.00000","45724.00000","","",""
"CM_01","PUBLISHED","1974","AMR","HTI","BTSX","41 970 [38 919-45 184]","41970.00000","38919.00000","45184.00000","","",""
"CM_01","PUBLISHED","1975","AMR","HTI","BTSX","41 770 [38 783-44 970]","41770.00000","38783.00000","44970.00000","","",""
"CM_01","PUBLISHED","1976","AMR","HTI","BTSX","41 632 [38 688-44 772]","41632.00000","38688.00000","44772.00000","","",""
"CM_01","PUBLISHED","1977","AMR","HTI","BTSX","41 549 [38 636-44 644]","41549.00000","38636.00000","44644.00000","","",""
"CM_01","PUBLISHED","1978","AMR","HTI","BTSX","41 447 [38 562-44 515]","41447.00000","38562.00000","44515.00000","","",""
"CM_01","PUBLISHED","1979","AMR","HTI","BTSX","41 328 [38 472-44 357]","41328.00000","38472.00000","44357.00000","","",""
"CM_01","PUBLISHED","1980","AMR","HTI","BTSX","41 168 [38 373-44 171]","41168.00000","38373.00000","44171.00000","","",""
"CM_01","PUBLISHED","1981","AMR","HTI","BTSX","40 956 [38 251-43 997]","40956.00000","38251.00000","43997.00000","","",""
"CM_01","PUBLISHED","1982","AMR","HTI","BTSX","40 794 [38 116-43 770]","40794.00000","38116.00000","43770.00000","","",""
"CM_01","PUBLISHED","1983","AMR","HTI","BTSX","40 467 [37 835-43 378]","40467.00000","37835.00000","43378.00000","","",""
"CM_01","PUBLISHED","1984","AMR","HTI","BTSX","40 032 [37 456-42 853]","40032.00000","37456.00000","42853.00000","","",""
