"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1961","AMR","HND","BTSX","20 261 [18 287-22 355]","20261.00000","18287.00000","22355.00000","","",""
"CM_01","PUBLISHED","1962","AMR","HND","BTSX","19 999 [18 189-21 921]","19999.00000","18189.00000","21921.00000","","",""
"CM_01","PUBLISHED","1963","AMR","HND","BTSX","19 744 [18 091-21 526]","19744.00000","18091.00000","21526.00000","","",""
"CM_01","PUBLISHED","1964","AMR","HND","BTSX","19 490 [17 962-21 178]","19490.00000","17962.00000","21178.00000","","",""
"CM_01","PUBLISHED","1965","AMR","HND","BTSX","19 263 [17 798-20 894]","19263.00000","17798.00000","20894.00000","","",""
"CM_01","PUBLISHED","1966","AMR","HND","BTSX","19 002 [17 587-20 586]","19002.00000","17587.00000","20586.00000","","",""
"CM_01","PUBLISHED","1967","AMR","HND","BTSX","18 712 [17 303-20 293]","18712.00000","17303.00000","20293.00000","","",""
"CM_01","PUBLISHED","1968","AMR","HND","BTSX","18 436 [17 048-20 032]","18436.00000","17048.00000","20032.00000","","",""
"CM_01","PUBLISHED","1969","AMR","HND","BTSX","18 187 [16 810-19 795]","18187.00000","16810.00000","19795.00000","","",""
"CM_01","PUBLISHED","1970","AMR","HND","BTSX","17 936 [16 561-19 562]","17936.00000","16561.00000","19562.00000","","",""
"CM_01","PUBLISHED","1971","AMR","HND","BTSX","17 715 [16 349-19 346]","17715.00000","16349.00000","19346.00000","","",""
"CM_01","PUBLISHED","1972","AMR","HND","BTSX","17 514 [16 141-19 166]","17514.00000","16141.00000","19166.00000","","",""
"CM_01","PUBLISHED","1973","AMR","HND","BTSX","17 283 [15 922-18 927]","17283.00000","15922.00000","18927.00000","","",""
"CM_01","PUBLISHED","1974","AMR","HND","BTSX","20 424 [18 790-22 416]","20424.00000","18790.00000","22416.00000","","",""
"CM_01","PUBLISHED","1975","AMR","HND","BTSX","16 682 [15 358-18 293]","16682.00000","15358.00000","18293.00000","","",""
"CM_01","PUBLISHED","1976","AMR","HND","BTSX","16 439 [15 144-18 028]","16439.00000","15144.00000","18028.00000","","",""
"CM_01","PUBLISHED","1977","AMR","HND","BTSX","16 129 [14 858-17 662]","16129.00000","14858.00000","17662.00000","","",""
"CM_01","PUBLISHED","1978","AMR","HND","BTSX","15 782 [14 552-17 264]","15782.00000","14552.00000","17264.00000","","",""
"CM_01","PUBLISHED","1979","AMR","HND","BTSX","15 436 [14 248-16 860]","15436.00000","14248.00000","16860.00000","","",""
"CM_01","PUBLISHED","1980","AMR","HND","BTSX","15 060 [13 913-16 419]","15060.00000","13913.00000","16419.00000","","",""
"CM_01","PUBLISHED","1981","AMR","HND","BTSX","14 649 [13 543-15 943]","14649.00000","13543.00000","15943.00000","","",""
"CM_01","PUBLISHED","1982","AMR","HND","BTSX","14 213 [13 141-15 456]","14213.00000","13141.00000","15456.00000","","",""
"CM_01","PUBLISHED","1983","AMR","HND","BTSX","13 768 [12 755-14 937]","13768.00000","12755.00000","14937.00000","","",""
"CM_01","PUBLISHED","1984","AMR","HND","BTSX","13 321 [12 324-14 408]","13321.00000","12324.00000","14408.00000","","",""
"CM_01","PUBLISHED","1985","AMR","HND","BTSX","12 864 [11 904-13 891]","12864.00000","11904.00000","13891.00000","","",""
"CM_01","PUBLISHED","1986","AMR","HND","BTSX","12 435 [11 515-13 424]","12435.00000","11515.00000","13424.00000","","",""
"CM_01","PUBLISHED","1987","AMR","HND","BTSX","12 025 [11 128-12 970]","12025.00000","11128.00000","12970.00000","","",""
"CM_01","PUBLISHED","1988","AMR","HND","BTSX","11 628 [10 753-12 538]","11628.00000","10753.00000","12538.00000","","",""
"CM_01","PUBLISHED","1989","AMR","HND","BTSX","11 264 [10 426-12 137]","11264.00000","10426.00000","12137.00000","","",""
"CM_01","PUBLISHED","1990","AMR","HND","BTSX","10 939 [10 117-11 791]","10939.00000","10117.00000","11791.00000","","",""
"CM_01","PUBLISHED","1991","AMR","HND","BTSX","10 637 [9 842-11 471]","10637.00000","9842.00000","11471.00000","","",""
"CM_01","PUBLISHED","1992","AMR","HND","BTSX","10 372 [9 587-11 176]","10372.00000","9587.00000","11176.00000","","",""
"CM_01","PUBLISHED","1993","AMR","HND","BTSX","10 127 [9 358-10 917]","10127.00000","9358.00000","10917.00000","","",""
"CM_01","PUBLISHED","1994","AMR","HND","BTSX","9 878 [9 125-10 646]","9878.00000","9125.00000","10646.00000","","",""
"CM_01","PUBLISHED","1995","AMR","HND","BTSX","9 612 [8 876-10 364]","9612.00000","8876.00000","10364.00000","","",""
"CM_01","PUBLISHED","1996","AMR","HND","BTSX","9 343 [8 631-10 083]","9343.00000","8631.00000","10083.00000","","",""
"CM_01","PUBLISHED","1997","AMR","HND","BTSX","9 086 [8 400-9 813]","9086.00000","8400.00000","9813.00000","","",""
"CM_01","PUBLISHED","1998","AMR","HND","BTSX","13 880 [12 817-15 007]","13880.00000","12817.00000","15007.00000","","",""
"CM_01","PUBLISHED","1999","AMR","HND","BTSX","8 596 [7 935-9 292]","8596.00000","7935.00000","9292.00000","","",""
"CM_01","PUBLISHED","2000","AMR","HND","BTSX","8 322 [7 679-9 008]","8322.00000","7679.00000","9008.00000","","",""
"CM_01","PUBLISHED","2001","AMR","HND","BTSX","8 004 [7 381-8 674]","8004.00000","7381.00000","8674.00000","","",""
"CM_01","PUBLISHED","2002","AMR","HND","BTSX","7 668 [7 056-8 316]","7668.00000","7056.00000","8316.00000","","",""
"CM_01","PUBLISHED","2003","AMR","HND","BTSX","7 323 [6 727-7 956]","7323.00000","6727.00000","7956.00000","","",""
"CM_01","PUBLISHED","2004","AMR","HND","BTSX","6 988 [6 396-7 604]","6988.00000","6396.00000","7604.00000","","",""
"CM_01","PUBLISHED","2005","AMR","HND","BTSX","6 666 [6 087-7 275]","6666.00000","6087.00000","7275.00000","","",""
"CM_01","PUBLISHED","2006","AMR","HND","BTSX","6 362 [5 795-6 970]","6362.00000","5795.00000","6970.00000","","",""
"CM_01","PUBLISHED","2007","AMR","HND","BTSX","6 074 [5 519-6 679]","6074.00000","5519.00000","6679.00000","","",""
"CM_01","PUBLISHED","2008","AMR","HND","BTSX","5 807 [5 249-6 419]","5807.00000","5249.00000","6419.00000","","",""
"CM_01","PUBLISHED","2009","AMR","HND","BTSX","5 551 [4 996-6 163]","5551.00000","4996.00000","6163.00000","","",""
"CM_01","PUBLISHED","2010","AMR","HND","BTSX","5 308 [4 754-5 929]","5308.00000","4754.00000","5929.00000","","",""
"CM_01","PUBLISHED","2011","AMR","HND","BTSX","5 077 [4 519-5 713]","5077.00000","4519.00000","5713.00000","","",""
"CM_01","PUBLISHED","2012","AMR","HND","BTSX","4 864 [4 297-5 525]","4864.00000","4297.00000","5525.00000","","",""
"CM_01","PUBLISHED","2013","AMR","HND","BTSX","4 670 [4 084-5 361]","4670.00000","4084.00000","5361.00000","","",""
"CM_01","PUBLISHED","2014","AMR","HND","BTSX","4 490 [3 886-5 219]","4490.00000","3886.00000","5219.00000","","",""
"CM_01","PUBLISHED","2015","AMR","HND","BTSX","4 327 [3 703-5 099]","4327.00000","3703.00000","5099.00000","","",""
"CM_01","PUBLISHED","2016","AMR","HND","BTSX","4 178 [3 527-5 018]","4178.00000","3527.00000","5018.00000","","",""
"CM_01","PUBLISHED","2017","AMR","HND","BTSX","4 044 [3 368-4 949]","4044.00000","3368.00000","4949.00000","","",""
"CM_01","PUBLISHED","2018","AMR","HND","BTSX","3 921 [3 219-4 878]","3921.00000","3219.00000","4878.00000","","",""
"CM_01","PUBLISHED","2019","AMR","HND","BTSX","3 804 [3 059-4 848]","3804.00000","3059.00000","4848.00000","","",""
"CM_01","PUBLISHED","2020","AMR","HND","BTSX","3 684 [2 892-4 810]","3684.00000","2892.00000","4810.00000","","",""
