"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1957","AMR","JAM","BTSX","5 462 [4 770-6 334]","5462.00000","4770.00000","6334.00000","","",""
"CM_01","PUBLISHED","1958","AMR","JAM","BTSX","5 408 [4 751-6 245]","5408.00000","4751.00000","6245.00000","","",""
"CM_01","PUBLISHED","1959","AMR","JAM","BTSX","5 284 [4 670-6 080]","5284.00000","4670.00000","6080.00000","","",""
"CM_01","PUBLISHED","1960","AMR","JAM","BTSX","5 205 [4 620-5 971]","5205.00000","4620.00000","5971.00000","","",""
"CM_01","PUBLISHED","1961","AMR","JAM","BTSX","5 068 [4 503-5 796]","5068.00000","4503.00000","5796.00000","","",""
"CM_01","PUBLISHED","1962","AMR","JAM","BTSX","4 793 [4 263-5 481]","4793.00000","4263.00000","5481.00000","","",""
"CM_01","PUBLISHED","1963","AMR","JAM","BTSX","4 603 [4 090-5 256]","4603.00000","4090.00000","5256.00000","","",""
"CM_01","PUBLISHED","1964","AMR","JAM","BTSX","4 495 [3 992-5 124]","4495.00000","3992.00000","5124.00000","","",""
"CM_01","PUBLISHED","1965","AMR","JAM","BTSX","4 380 [3 892-4 987]","4380.00000","3892.00000","4987.00000","","",""
"CM_01","PUBLISHED","1966","AMR","JAM","BTSX","4 257 [3 776-4 834]","4257.00000","3776.00000","4834.00000","","",""
"CM_01","PUBLISHED","1967","AMR","JAM","BTSX","4 132 [3 662-4 697]","4132.00000","3662.00000","4697.00000","","",""
"CM_01","PUBLISHED","1968","AMR","JAM","BTSX","3 992 [3 531-4 531]","3992.00000","3531.00000","4531.00000","","",""
"CM_01","PUBLISHED","1969","AMR","JAM","BTSX","3 838 [3 392-4 357]","3838.00000","3392.00000","4357.00000","","",""
"CM_01","PUBLISHED","1970","AMR","JAM","BTSX","3 679 [3 246-4 178]","3679.00000","3246.00000","4178.00000","","",""
"CM_01","PUBLISHED","1971","AMR","JAM","BTSX","3 522 [3 102-4 000]","3522.00000","3102.00000","4000.00000","","",""
"CM_01","PUBLISHED","1972","AMR","JAM","BTSX","3 367 [2 955-3 822]","3367.00000","2955.00000","3822.00000","","",""
"CM_01","PUBLISHED","1973","AMR","JAM","BTSX","3 203 [2 794-3 638]","3203.00000","2794.00000","3638.00000","","",""
"CM_01","PUBLISHED","1974","AMR","JAM","BTSX","3 040 [2 640-3 462]","3040.00000","2640.00000","3462.00000","","",""
"CM_01","PUBLISHED","1975","AMR","JAM","BTSX","2 888 [2 494-3 301]","2888.00000","2494.00000","3301.00000","","",""
"CM_01","PUBLISHED","1976","AMR","JAM","BTSX","2 740 [2 359-3 140]","2740.00000","2359.00000","3140.00000","","",""
"CM_01","PUBLISHED","1977","AMR","JAM","BTSX","2 632 [2 251-3 027]","2632.00000","2251.00000","3027.00000","","",""
"CM_01","PUBLISHED","1978","AMR","JAM","BTSX","2 550 [2 175-2 942]","2550.00000","2175.00000","2942.00000","","",""
"CM_01","PUBLISHED","1979","AMR","JAM","BTSX","2 470 [2 097-2 857]","2470.00000","2097.00000","2857.00000","","",""
"CM_01","PUBLISHED","1980","AMR","JAM","BTSX","2 405 [2 035-2 790]","2405.00000","2035.00000","2790.00000","","",""
"CM_01","PUBLISHED","1981","AMR","JAM","BTSX","2 350 [1 986-2 729]","2350.00000","1986.00000","2729.00000","","",""
"CM_01","PUBLISHED","1982","AMR","JAM","BTSX","2 293 [1 934-2 668]","2293.00000","1934.00000","2668.00000","","",""
"CM_01","PUBLISHED","1983","AMR","JAM","BTSX","2 237 [1 884-2 610]","2237.00000","1884.00000","2610.00000","","",""
"CM_01","PUBLISHED","1984","AMR","JAM","BTSX","2 182 [1 835-2 547]","2182.00000","1835.00000","2547.00000","","",""
"CM_01","PUBLISHED","1985","AMR","JAM","BTSX","2 123 [1 788-2 479]","2123.00000","1788.00000","2479.00000","","",""
"CM_01","PUBLISHED","1986","AMR","JAM","BTSX","2 058 [1 731-2 409]","2058.00000","1731.00000","2409.00000","","",""
"CM_01","PUBLISHED","1987","AMR","JAM","BTSX","1 989 [1 680-2 326]","1989.00000","1680.00000","2326.00000","","",""
"CM_01","PUBLISHED","1988","AMR","JAM","BTSX","1 915 [1 624-2 240]","1915.00000","1624.00000","2240.00000","","",""
"CM_01","PUBLISHED","1989","AMR","JAM","BTSX","1 841 [1 566-2 148]","1841.00000","1566.00000","2148.00000","","",""
"CM_01","PUBLISHED","1990","AMR","JAM","BTSX","1 747 [1 491-2 040]","1747.00000","1491.00000","2040.00000","","",""
"CM_01","PUBLISHED","1991","AMR","JAM","BTSX","1 681 [1 437-1 961]","1681.00000","1437.00000","1961.00000","","",""
"CM_01","PUBLISHED","1992","AMR","JAM","BTSX","1 661 [1 424-1 931]","1661.00000","1424.00000","1931.00000","","",""
"CM_01","PUBLISHED","1993","AMR","JAM","BTSX","1 631 [1 403-1 894]","1631.00000","1403.00000","1894.00000","","",""
"CM_01","PUBLISHED","1994","AMR","JAM","BTSX","1 586 [1 367-1 838]","1586.00000","1367.00000","1838.00000","","",""
"CM_01","PUBLISHED","1995","AMR","JAM","BTSX","1 529 [1 318-1 774]","1529.00000","1318.00000","1774.00000","","",""
"CM_01","PUBLISHED","1996","AMR","JAM","BTSX","1 438 [1 239-1 668]","1438.00000","1239.00000","1668.00000","","",""
"CM_01","PUBLISHED","1997","AMR","JAM","BTSX","1 356 [1 166-1 573]","1356.00000","1166.00000","1573.00000","","",""
"CM_01","PUBLISHED","1998","AMR","JAM","BTSX","1 303 [1 117-1 516]","1303.00000","1117.00000","1516.00000","","",""
"CM_01","PUBLISHED","1999","AMR","JAM","BTSX","1 225 [1 047-1 431]","1225.00000","1047.00000","1431.00000","","",""
"CM_01","PUBLISHED","2000","AMR","JAM","BTSX","1 115 [949-1 307]","1115.00000","949.00000","1307.00000","","",""
"CM_01","PUBLISHED","2001","AMR","JAM","BTSX","1 034 [875-1 221]","1034.00000","875.00000","1221.00000","","",""
"CM_01","PUBLISHED","2002","AMR","JAM","BTSX","998 [838-1 188]","998.00000","838.00000","1188.00000","","",""
"CM_01","PUBLISHED","2003","AMR","JAM","BTSX","970 [808-1 166]","970.00000","808.00000","1166.00000","","",""
"CM_01","PUBLISHED","2004","AMR","JAM","BTSX","951 [782-1 160]","951.00000","782.00000","1160.00000","","",""
"CM_01","PUBLISHED","2005","AMR","JAM","BTSX","926 [754-1 150]","926.00000","754.00000","1150.00000","","",""
"CM_01","PUBLISHED","2006","AMR","JAM","BTSX","907 [727-1 149]","907.00000","727.00000","1149.00000","","",""
"CM_01","PUBLISHED","2007","AMR","JAM","BTSX","867 [683-1 127]","867.00000","683.00000","1127.00000","","",""
"CM_01","PUBLISHED","2008","AMR","JAM","BTSX","821 [634-1 092]","821.00000","634.00000","1092.00000","","",""
"CM_01","PUBLISHED","2009","AMR","JAM","BTSX","797 [604-1 086]","797.00000","604.00000","1086.00000","","",""
"CM_01","PUBLISHED","2010","AMR","JAM","BTSX","754 [557-1 056]","754.00000","557.00000","1056.00000","","",""
"CM_01","PUBLISHED","2011","AMR","JAM","BTSX","712 [514-1 026]","712.00000","514.00000","1026.00000","","",""
"CM_01","PUBLISHED","2012","AMR","JAM","BTSX","686 [481-1 019]","686.00000","481.00000","1019.00000","","",""
"CM_01","PUBLISHED","2013","AMR","JAM","BTSX","654 [444-1 005]","654.00000","444.00000","1005.00000","","",""
"CM_01","PUBLISHED","2014","AMR","JAM","BTSX","616 [406-979]","616.00000","406.00000","979.00000","","",""
"CM_01","PUBLISHED","2015","AMR","JAM","BTSX","592 [376-973]","592.00000","376.00000","973.00000","","",""
"CM_01","PUBLISHED","2016","AMR","JAM","BTSX","566 [346-959]","566.00000","346.00000","959.00000","","",""
"CM_01","PUBLISHED","2017","AMR","JAM","BTSX","525 [311-917]","525.00000","311.00000","917.00000","","",""
"CM_01","PUBLISHED","2018","AMR","JAM","BTSX","487 [277-875]","487.00000","277.00000","875.00000","","",""
"CM_01","PUBLISHED","2019","AMR","JAM","BTSX","457 [252-848]","457.00000","252.00000","848.00000","","",""
"CM_01","PUBLISHED","2020","AMR","JAM","BTSX","434 [230-829]","434.00000","230.00000","829.00000","","",""
"CM_01","PUBLISHED","2021","AMR","JAM","BTSX","414 [212-809]","414.00000","212.00000","809.00000","","",""
