"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1956","AMR","MEX","BTSX","274 671 [241 594-310 388]","274671.00000","241594.00000","310388.00000","","",""
"CM_01","PUBLISHED","1957","AMR","MEX","BTSX","267 984 [237 136-301 228]","267984.00000","237136.00000","301228.00000","","",""
"CM_01","PUBLISHED","1958","AMR","MEX","BTSX","261 971 [232 872-293 241]","261971.00000","232872.00000","293241.00000","","",""
"CM_01","PUBLISHED","1959","AMR","MEX","BTSX","256 492 [228 799-285 760]","256492.00000","228799.00000","285760.00000","","",""
"CM_01","PUBLISHED","1960","AMR","MEX","BTSX","252 059 [225 780-279 499]","252059.00000","225780.00000","279499.00000","","",""
"CM_01","PUBLISHED","1961","AMR","MEX","BTSX","248 388 [223 608-274 528]","248388.00000","223608.00000","274528.00000","","",""
"CM_01","PUBLISHED","1962","AMR","MEX","BTSX","245 705 [222 124-270 327]","245705.00000","222124.00000","270327.00000","","",""
"CM_01","PUBLISHED","1963","AMR","MEX","BTSX","243 577 [221 228-266 968]","243577.00000","221228.00000","266968.00000","","",""
"CM_01","PUBLISHED","1964","AMR","MEX","BTSX","242 021 [220 691-264 517]","242021.00000","220691.00000","264517.00000","","",""
"CM_01","PUBLISHED","1965","AMR","MEX","BTSX","240 175 [219 919-261 843]","240175.00000","219919.00000","261843.00000","","",""
"CM_01","PUBLISHED","1966","AMR","MEX","BTSX","238 238 [219 028-259 200]","238238.00000","219028.00000","259200.00000","","",""
"CM_01","PUBLISHED","1967","AMR","MEX","BTSX","235 993 [217 239-256 315]","235993.00000","217239.00000","256315.00000","","",""
"CM_01","PUBLISHED","1968","AMR","MEX","BTSX","233 670 [215 293-253 366]","233670.00000","215293.00000","253366.00000","","",""
"CM_01","PUBLISHED","1969","AMR","MEX","BTSX","230 947 [213 168-250 069]","230947.00000","213168.00000","250069.00000","","",""
"CM_01","PUBLISHED","1970","AMR","MEX","BTSX","227 591 [210 215-246 333]","227591.00000","210215.00000","246333.00000","","",""
"CM_01","PUBLISHED","1971","AMR","MEX","BTSX","223 574 [206 585-241 904]","223574.00000","206585.00000","241904.00000","","",""
"CM_01","PUBLISHED","1972","AMR","MEX","BTSX","219 684 [202 970-237 456]","219684.00000","202970.00000","237456.00000","","",""
"CM_01","PUBLISHED","1973","AMR","MEX","BTSX","215 517 [199 291-233 102]","215517.00000","199291.00000","233102.00000","","",""
"CM_01","PUBLISHED","1974","AMR","MEX","BTSX","210 617 [194 788-227 878]","210617.00000","194788.00000","227878.00000","","",""
"CM_01","PUBLISHED","1975","AMR","MEX","BTSX","204 808 [189 684-221 645]","204808.00000","189684.00000","221645.00000","","",""
"CM_01","PUBLISHED","1976","AMR","MEX","BTSX","198 671 [183 923-215 098]","198671.00000","183923.00000","215098.00000","","",""
"CM_01","PUBLISHED","1977","AMR","MEX","BTSX","192 280 [178 188-208 336]","192280.00000","178188.00000","208336.00000","","",""
"CM_01","PUBLISHED","1978","AMR","MEX","BTSX","186 097 [172 449-201 574]","186097.00000","172449.00000","201574.00000","","",""
"CM_01","PUBLISHED","1979","AMR","MEX","BTSX","179 044 [165 967-193 784]","179044.00000","165967.00000","193784.00000","","",""
"CM_01","PUBLISHED","1980","AMR","MEX","BTSX","170 924 [158 670-184 790]","170924.00000","158670.00000","184790.00000","","",""
"CM_01","PUBLISHED","1981","AMR","MEX","BTSX","163 477 [151 913-176 482]","163477.00000","151913.00000","176482.00000","","",""
"CM_01","PUBLISHED","1982","AMR","MEX","BTSX","156 349 [145 289-168 801]","156349.00000","145289.00000","168801.00000","","",""
"CM_01","PUBLISHED","1983","AMR","MEX","BTSX","149 221 [138 671-160 995]","149221.00000","138671.00000","160995.00000","","",""
