"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1960","AMR","NIC","BTSX","17 042 [14 909-19 500]","17042.00000","14909.00000","19500.00000","","",""
"CM_01","PUBLISHED","1961","AMR","NIC","BTSX","17 237 [15 224-19 556]","17237.00000","15224.00000","19556.00000","","",""
"CM_01","PUBLISHED","1962","AMR","NIC","BTSX","17 434 [15 472-19 674]","17434.00000","15472.00000","19674.00000","","",""
"CM_01","PUBLISHED","1963","AMR","NIC","BTSX","17 629 [15 671-19 819]","17629.00000","15671.00000","19819.00000","","",""
"CM_01","PUBLISHED","1964","AMR","NIC","BTSX","17 803 [15 827-19 975]","17803.00000","15827.00000","19975.00000","","",""
"CM_01","PUBLISHED","1965","AMR","NIC","BTSX","17 960 [16 005-20 166]","17960.00000","16005.00000","20166.00000","","",""
"CM_01","PUBLISHED","1966","AMR","NIC","BTSX","18 127 [16 200-20 352]","18127.00000","16200.00000","20352.00000","","",""
"CM_01","PUBLISHED","1967","AMR","NIC","BTSX","18 330 [16 411-20 571]","18330.00000","16411.00000","20571.00000","","",""
"CM_01","PUBLISHED","1968","AMR","NIC","BTSX","18 537 [16 614-20 806]","18537.00000","16614.00000","20806.00000","","",""
"CM_01","PUBLISHED","1969","AMR","NIC","BTSX","18 699 [16 805-21 011]","18699.00000","16805.00000","21011.00000","","",""
"CM_01","PUBLISHED","1970","AMR","NIC","BTSX","18 875 [16 987-21 145]","18875.00000","16987.00000","21145.00000","","",""
"CM_01","PUBLISHED","1971","AMR","NIC","BTSX","18 982 [17 108-21 205]","18982.00000","17108.00000","21205.00000","","",""
"CM_01","PUBLISHED","1972","AMR","NIC","BTSX","21 843 [19 674-24 370]","21843.00000","19674.00000","24370.00000","","",""
"CM_01","PUBLISHED","1973","AMR","NIC","BTSX","18 854 [17 045-20 975]","18854.00000","17045.00000","20975.00000","","",""
"CM_01","PUBLISHED","1974","AMR","NIC","BTSX","18 642 [16 872-20 679]","18642.00000","16872.00000","20679.00000","","",""
"CM_01","PUBLISHED","1975","AMR","NIC","BTSX","18 294 [16 623-20 198]","18294.00000","16623.00000","20198.00000","","",""
"CM_01","PUBLISHED","1976","AMR","NIC","BTSX","17 818 [16 261-19 631]","17818.00000","16261.00000","19631.00000","","",""
"CM_01","PUBLISHED","1977","AMR","NIC","BTSX","17 252 [15 791-18 884]","17252.00000","15791.00000","18884.00000","","",""
"CM_01","PUBLISHED","1978","AMR","NIC","BTSX","16 600 [15 251-18 081]","16600.00000","15251.00000","18081.00000","","",""
"CM_01","PUBLISHED","1979","AMR","NIC","BTSX","15 904 [14 656-17 263]","15904.00000","14656.00000","17263.00000","","",""
"CM_01","PUBLISHED","1980","AMR","NIC","BTSX","15 198 [14 015-16 450]","15198.00000","14015.00000","16450.00000","","",""
"CM_01","PUBLISHED","1981","AMR","NIC","BTSX","14 520 [13 382-15 701]","14520.00000","13382.00000","15701.00000","","",""
"CM_01","PUBLISHED","1982","AMR","NIC","BTSX","13 901 [12 792-15 035]","13901.00000","12792.00000","15035.00000","","",""
"CM_01","PUBLISHED","1983","AMR","NIC","BTSX","13 312 [12 247-14 393]","13312.00000","12247.00000","14393.00000","","",""
"CM_01","PUBLISHED","1984","AMR","NIC","BTSX","12 765 [11 757-13 797]","12765.00000","11757.00000","13797.00000","","",""
"CM_01","PUBLISHED","1985","AMR","NIC","BTSX","12 287 [11 358-13 254]","12287.00000","11358.00000","13254.00000","","",""
"CM_01","PUBLISHED","1986","AMR","NIC","BTSX","11 852 [10 964-12 785]","11852.00000","10964.00000","12785.00000","","",""
