"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1956","AMR","PAN","BTSX","4 105 [3 585-4 667]","4105.00000","3585.00000","4667.00000","","",""
"CM_01","PUBLISHED","1957","AMR","PAN","BTSX","4 104 [3 610-4 623]","4104.00000","3610.00000","4623.00000","","",""
"CM_01","PUBLISHED","1958","AMR","PAN","BTSX","4 099 [3 630-4 591]","4099.00000","3630.00000","4591.00000","","",""
"CM_01","PUBLISHED","1959","AMR","PAN","BTSX","4 102 [3 644-4 566]","4102.00000","3644.00000","4566.00000","","",""
"CM_01","PUBLISHED","1960","AMR","PAN","BTSX","4 106 [3 662-4 554]","4106.00000","3662.00000","4554.00000","","",""
"CM_01","PUBLISHED","1961","AMR","PAN","BTSX","4 110 [3 680-4 548]","4110.00000","3680.00000","4548.00000","","",""
"CM_01","PUBLISHED","1962","AMR","PAN","BTSX","4 111 [3 690-4 545]","4111.00000","3690.00000","4545.00000","","",""
"CM_01","PUBLISHED","1963","AMR","PAN","BTSX","4 107 [3 699-4 536]","4107.00000","3699.00000","4536.00000","","",""
"CM_01","PUBLISHED","1964","AMR","PAN","BTSX","4 087 [3 688-4 518]","4087.00000","3688.00000","4518.00000","","",""
"CM_01","PUBLISHED","1965","AMR","PAN","BTSX","4 050 [3 661-4 481]","4050.00000","3661.00000","4481.00000","","",""
"CM_01","PUBLISHED","1966","AMR","PAN","BTSX","4 006 [3 623-4 435]","4006.00000","3623.00000","4435.00000","","",""
"CM_01","PUBLISHED","1967","AMR","PAN","BTSX","3 952 [3 574-4 380]","3952.00000","3574.00000","4380.00000","","",""
"CM_01","PUBLISHED","1968","AMR","PAN","BTSX","3 880 [3 503-4 308]","3880.00000","3503.00000","4308.00000","","",""
"CM_01","PUBLISHED","1969","AMR","PAN","BTSX","3 787 [3 422-4 211]","3787.00000","3422.00000","4211.00000","","",""
"CM_01","PUBLISHED","1970","AMR","PAN","BTSX","3 676 [3 321-4 077]","3676.00000","3321.00000","4077.00000","","",""
"CM_01","PUBLISHED","1971","AMR","PAN","BTSX","3 553 [3 219-3 926]","3553.00000","3219.00000","3926.00000","","",""
"CM_01","PUBLISHED","1972","AMR","PAN","BTSX","3 421 [3 099-3 771]","3421.00000","3099.00000","3771.00000","","",""
"CM_01","PUBLISHED","1973","AMR","PAN","BTSX","3 276 [2 961-3 608]","3276.00000","2961.00000","3608.00000","","",""
"CM_01","PUBLISHED","1974","AMR","PAN","BTSX","3 134 [2 812-3 458]","3134.00000","2812.00000","3458.00000","","",""
"CM_01","PUBLISHED","1975","AMR","PAN","BTSX","3 009 [2 682-3 326]","3009.00000","2682.00000","3326.00000","","",""
"CM_01","PUBLISHED","1976","AMR","PAN","BTSX","2 894 [2 573-3 206]","2894.00000","2573.00000","3206.00000","","",""
"CM_01","PUBLISHED","1977","AMR","PAN","BTSX","2 796 [2 491-3 099]","2796.00000","2491.00000","3099.00000","","",""
"CM_01","PUBLISHED","1978","AMR","PAN","BTSX","2 711 [2 426-3 006]","2711.00000","2426.00000","3006.00000","","",""
"CM_01","PUBLISHED","1979","AMR","PAN","BTSX","2 642 [2 368-2 928]","2642.00000","2368.00000","2928.00000","","",""
"CM_01","PUBLISHED","1980","AMR","PAN","BTSX","2 585 [2 311-2 864]","2585.00000","2311.00000","2864.00000","","",""
"CM_01","PUBLISHED","1981","AMR","PAN","BTSX","2 534 [2 259-2 810]","2534.00000","2259.00000","2810.00000","","",""
"CM_01","PUBLISHED","1982","AMR","PAN","BTSX","2 486 [2 210-2 758]","2486.00000","2210.00000","2758.00000","","",""
"CM_01","PUBLISHED","1983","AMR","PAN","BTSX","2 438 [2 161-2 707]","2438.00000","2161.00000","2707.00000","","",""
"CM_01","PUBLISHED","1984","AMR","PAN","BTSX","2 387 [2 104-2 655]","2387.00000","2104.00000","2655.00000","","",""
"CM_01","PUBLISHED","1985","AMR","PAN","BTSX","2 323 [2 041-2 587]","2323.00000","2041.00000","2587.00000","","",""
"CM_01","PUBLISHED","1986","AMR","PAN","BTSX","2 262 [1 981-2 522]","2262.00000","1981.00000","2522.00000","","",""
"CM_01","PUBLISHED","1987","AMR","PAN","BTSX","2 205 [1 930-2 459]","2205.00000","1930.00000","2459.00000","","",""
"CM_01","PUBLISHED","1988","AMR","PAN","BTSX","2 151 [1 884-2 397]","2151.00000","1884.00000","2397.00000","","",""
"CM_01","PUBLISHED","1989","AMR","PAN","BTSX","2 104 [1 841-2 343]","2104.00000","1841.00000","2343.00000","","",""
"CM_01","PUBLISHED","1990","AMR","PAN","BTSX","2 061 [1 803-2 294]","2061.00000","1803.00000","2294.00000","","",""
"CM_01","PUBLISHED","1991","AMR","PAN","BTSX","2 007 [1 756-2 233]","2007.00000","1756.00000","2233.00000","","",""
"CM_01","PUBLISHED","1992","AMR","PAN","BTSX","1 962 [1 716-2 183]","1962.00000","1716.00000","2183.00000","","",""
"CM_01","PUBLISHED","1993","AMR","PAN","BTSX","1 934 [1 695-2 156]","1934.00000","1695.00000","2156.00000","","",""
"CM_01","PUBLISHED","1994","AMR","PAN","BTSX","1 913 [1 676-2 136]","1913.00000","1676.00000","2136.00000","","",""
"CM_01","PUBLISHED","1995","AMR","PAN","BTSX","1 896 [1 661-2 122]","1896.00000","1661.00000","2122.00000","","",""
"CM_01","PUBLISHED","1996","AMR","PAN","BTSX","1 884 [1 652-2 114]","1884.00000","1652.00000","2114.00000","","",""
"CM_01","PUBLISHED","1997","AMR","PAN","BTSX","1 874 [1 638-2 111]","1874.00000","1638.00000","2111.00000","","",""
"CM_01","PUBLISHED","1998","AMR","PAN","BTSX","1 859 [1 615-2 106]","1859.00000","1615.00000","2106.00000","","",""
"CM_01","PUBLISHED","1999","AMR","PAN","BTSX","1 844 [1 587-2 101]","1844.00000","1587.00000","2101.00000","","",""
"CM_01","PUBLISHED","2000","AMR","PAN","BTSX","1 819 [1 554-2 094]","1819.00000","1554.00000","2094.00000","","",""
"CM_01","PUBLISHED","2001","AMR","PAN","BTSX","1 790 [1 513-2 087]","1790.00000","1513.00000","2087.00000","","",""
"CM_01","PUBLISHED","2002","AMR","PAN","BTSX","1 758 [1 468-2 079]","1758.00000","1468.00000","2079.00000","","",""
"CM_01","PUBLISHED","2003","AMR","PAN","BTSX","1 726 [1 421-2 071]","1726.00000","1421.00000","2071.00000","","",""
"CM_01","PUBLISHED","2004","AMR","PAN","BTSX","1 705 [1 382-2 081]","1705.00000","1382.00000","2081.00000","","",""
"CM_01","PUBLISHED","2005","AMR","PAN","BTSX","1 679 [1 336-2 090]","1679.00000","1336.00000","2090.00000","","",""
"CM_01","PUBLISHED","2006","AMR","PAN","BTSX","1 641 [1 284-2 089]","1641.00000","1284.00000","2089.00000","","",""
"CM_01","PUBLISHED","2007","AMR","PAN","BTSX","1 605 [1 237-2 089]","1605.00000","1237.00000","2089.00000","","",""
"CM_01","PUBLISHED","2008","AMR","PAN","BTSX","1 577 [1 186-2 099]","1577.00000","1186.00000","2099.00000","","",""
"CM_01","PUBLISHED","2009","AMR","PAN","BTSX","1 544 [1 135-2 114]","1544.00000","1135.00000","2114.00000","","",""
"CM_01","PUBLISHED","2010","AMR","PAN","BTSX","1 506 [1 078-2 125]","1506.00000","1078.00000","2125.00000","","",""
"CM_01","PUBLISHED","2011","AMR","PAN","BTSX","1 480 [1 027-2 159]","1480.00000","1027.00000","2159.00000","","",""
"CM_01","PUBLISHED","2012","AMR","PAN","BTSX","1 456 [979-2 197]","1456.00000","979.00000","2197.00000","","",""
