"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1961","AMR","PRY","BTSX","6 430 [5 731-7 148]","6430.00000","5731.00000","7148.00000","","",""
"CM_01","PUBLISHED","1962","AMR","PRY","BTSX","6 520 [5 855-7 190]","6520.00000","5855.00000","7190.00000","","",""
"CM_01","PUBLISHED","1963","AMR","PRY","BTSX","6 618 [5 981-7 258]","6618.00000","5981.00000","7258.00000","","",""
"CM_01","PUBLISHED","1964","AMR","PRY","BTSX","6 714 [6 094-7 332]","6714.00000","6094.00000","7332.00000","","",""
"CM_01","PUBLISHED","1965","AMR","PRY","BTSX","6 782 [6 181-7 384]","6782.00000","6181.00000","7384.00000","","",""
"CM_01","PUBLISHED","1966","AMR","PRY","BTSX","6 822 [6 245-7 422]","6822.00000","6245.00000","7422.00000","","",""
"CM_01","PUBLISHED","1967","AMR","PRY","BTSX","6 833 [6 268-7 433]","6833.00000","6268.00000","7433.00000","","",""
"CM_01","PUBLISHED","1968","AMR","PRY","BTSX","6 829 [6 269-7 428]","6829.00000","6269.00000","7428.00000","","",""
"CM_01","PUBLISHED","1969","AMR","PRY","BTSX","6 811 [6 254-7 419]","6811.00000","6254.00000","7419.00000","","",""
"CM_01","PUBLISHED","1970","AMR","PRY","BTSX","6 792 [6 231-7 403]","6792.00000","6231.00000","7403.00000","","",""
"CM_01","PUBLISHED","1971","AMR","PRY","BTSX","6 757 [6 198-7 382]","6757.00000","6198.00000","7382.00000","","",""
"CM_01","PUBLISHED","1972","AMR","PRY","BTSX","6 722 [6 163-7 350]","6722.00000","6163.00000","7350.00000","","",""
"CM_01","PUBLISHED","1973","AMR","PRY","BTSX","6 711 [6 141-7 340]","6711.00000","6141.00000","7340.00000","","",""
"CM_01","PUBLISHED","1974","AMR","PRY","BTSX","6 713 [6 133-7 356]","6713.00000","6133.00000","7356.00000","","",""
