"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1957","AMR","PER","BTSX","104 211 [94 297-114 429]","104211.00000","94297.00000","114429.00000","","",""
"CM_01","PUBLISHED","1958","AMR","PER","BTSX","103 753 [94 447-113 354]","103753.00000","94447.00000","113354.00000","","",""
"CM_01","PUBLISHED","1959","AMR","PER","BTSX","103 420 [94 680-112 435]","103420.00000","94680.00000","112435.00000","","",""
"CM_01","PUBLISHED","1960","AMR","PER","BTSX","103 122 [94 865-111 769]","103122.00000","94865.00000","111769.00000","","",""
"CM_01","PUBLISHED","1961","AMR","PER","BTSX","102 742 [94 881-110 873]","102742.00000","94881.00000","110873.00000","","",""
"CM_01","PUBLISHED","1962","AMR","PER","BTSX","102 033 [94 731-109 674]","102033.00000","94731.00000","109674.00000","","",""
"CM_01","PUBLISHED","1963","AMR","PER","BTSX","100 853 [94 096-108 017]","100853.00000","94096.00000","108017.00000","","",""
"CM_01","PUBLISHED","1964","AMR","PER","BTSX","99 568 [93 094-106 283]","99568.00000","93094.00000","106283.00000","","",""
"CM_01","PUBLISHED","1965","AMR","PER","BTSX","98 137 [92 021-104 541]","98137.00000","92021.00000","104541.00000","","",""
"CM_01","PUBLISHED","1966","AMR","PER","BTSX","96 654 [90 782-102 851]","96654.00000","90782.00000","102851.00000","","",""
"CM_01","PUBLISHED","1967","AMR","PER","BTSX","95 302 [89 517-101 328]","95302.00000","89517.00000","101328.00000","","",""
"CM_01","PUBLISHED","1968","AMR","PER","BTSX","94 024 [88 342-99 857]","94024.00000","88342.00000","99857.00000","","",""
"CM_01","PUBLISHED","1969","AMR","PER","BTSX","92 787 [87 207-98 541]","92787.00000","87207.00000","98541.00000","","",""
"CM_01","PUBLISHED","1970","AMR","PER","BTSX","108 602 [102 090-115 260]","108602.00000","102090.00000","115260.00000","","",""
"CM_01","PUBLISHED","1971","AMR","PER","BTSX","90 047 [84 832-95 360]","90047.00000","84832.00000","95360.00000","","",""
"CM_01","PUBLISHED","1972","AMR","PER","BTSX","88 839 [83 814-93 972]","88839.00000","83814.00000","93972.00000","","",""
"CM_01","PUBLISHED","1973","AMR","PER","BTSX","87 395 [82 587-92 337]","87395.00000","82587.00000","92337.00000","","",""
"CM_01","PUBLISHED","1974","AMR","PER","BTSX","85 883 [81 157-90 682]","85883.00000","81157.00000","90682.00000","","",""
"CM_01","PUBLISHED","1975","AMR","PER","BTSX","84 362 [79 825-89 086]","84362.00000","79825.00000","89086.00000","","",""
"CM_01","PUBLISHED","1976","AMR","PER","BTSX","83 033 [78 590-87 616]","83033.00000","78590.00000","87616.00000","","",""
"CM_01","PUBLISHED","1977","AMR","PER","BTSX","81 884 [77 513-86 344]","81884.00000","77513.00000","86344.00000","","",""
"CM_01","PUBLISHED","1978","AMR","PER","BTSX","80 899 [76 683-85 222]","80899.00000","76683.00000","85222.00000","","",""
"CM_01","PUBLISHED","1979","AMR","PER","BTSX","79 960 [75 839-84 219]","79960.00000","75839.00000","84219.00000","","",""
"CM_01","PUBLISHED","1980","AMR","PER","BTSX","78 915 [74 920-83 097]","78915.00000","74920.00000","83097.00000","","",""
"CM_01","PUBLISHED","1981","AMR","PER","BTSX","77 603 [73 687-81 768]","77603.00000","73687.00000","81768.00000","","",""
"CM_01","PUBLISHED","1982","AMR","PER","BTSX","75 951 [72 159-80 058]","75951.00000","72159.00000","80058.00000","","",""
"CM_01","PUBLISHED","1983","AMR","PER","BTSX","73 982 [70 336-77 881]","73982.00000","70336.00000","77881.00000","","",""
"CM_01","PUBLISHED","1984","AMR","PER","BTSX","71 611 [68 141-75 372]","71611.00000","68141.00000","75372.00000","","",""
"CM_01","PUBLISHED","1985","AMR","PER","BTSX","68 860 [65 548-72 447]","68860.00000","65548.00000","72447.00000","","",""
"CM_01","PUBLISHED","1986","AMR","PER","BTSX","65 922 [62 666-69 325]","65922.00000","62666.00000","69325.00000","","",""
"CM_01","PUBLISHED","1987","AMR","PER","BTSX","62 916 [59 758-66 227]","62916.00000","59758.00000","66227.00000","","",""
"CM_01","PUBLISHED","1988","AMR","PER","BTSX","59 998 [57 011-63 143]","59998.00000","57011.00000","63143.00000","","",""
"CM_01","PUBLISHED","1989","AMR","PER","BTSX","57 101 [54 266-60 126]","57101.00000","54266.00000","60126.00000","","",""
"CM_01","PUBLISHED","1990","AMR","PER","BTSX","54 222 [51 551-57 099]","54222.00000","51551.00000","57099.00000","","",""
"CM_01","PUBLISHED","1991","AMR","PER","BTSX","51 324 [48 778-54 098]","51324.00000","48778.00000","54098.00000","","",""
"CM_01","PUBLISHED","1992","AMR","PER","BTSX","48 182 [45 781-50 859]","48182.00000","45781.00000","50859.00000","","",""
"CM_01","PUBLISHED","1993","AMR","PER","BTSX","44 869 [42 631-47 411]","44869.00000","42631.00000","47411.00000","","",""
"CM_01","PUBLISHED","1994","AMR","PER","BTSX","41 527 [39 416-43 857]","41527.00000","39416.00000","43857.00000","","",""
"CM_01","PUBLISHED","1995","AMR","PER","BTSX","38 177 [36 236-40 295]","38177.00000","36236.00000","40295.00000","","",""
"CM_01","PUBLISHED","1996","AMR","PER","BTSX","34 928 [33 145-36 849]","34928.00000","33145.00000","36849.00000","","",""
"CM_01","PUBLISHED","1997","AMR","PER","BTSX","31 854 [30 177-33 613]","31854.00000","30177.00000","33613.00000","","",""
"CM_01","PUBLISHED","1998","AMR","PER","BTSX","29 002 [27 442-30 617]","29002.00000","27442.00000","30617.00000","","",""
