"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1977","AMR","KNA","BTSX","73 [68-78]","73.00000","68.00000","78.00000","","",""
"CM_01","PUBLISHED","1978","AMR","KNA","BTSX","69 [64-74]","69.00000","64.00000","74.00000","","",""
"CM_01","PUBLISHED","1979","AMR","KNA","BTSX","64 [60-69]","64.00000","60.00000","69.00000","","",""
"CM_01","PUBLISHED","1980","AMR","KNA","BTSX","61 [57-66]","61.00000","57.00000","66.00000","","",""
"CM_01","PUBLISHED","1981","AMR","KNA","BTSX","59 [54-63]","59.00000","54.00000","63.00000","","",""
"CM_01","PUBLISHED","1982","AMR","KNA","BTSX","57 [52-61]","57.00000","52.00000","61.00000","","",""
"CM_01","PUBLISHED","1983","AMR","KNA","BTSX","53 [49-57]","53.00000","49.00000","57.00000","","",""
"CM_01","PUBLISHED","1984","AMR","KNA","BTSX","48 [44-52]","48.00000","44.00000","52.00000","","",""
"CM_01","PUBLISHED","1985","AMR","KNA","BTSX","44 [40-48]","44.00000","40.00000","48.00000","","",""
"CM_01","PUBLISHED","1986","AMR","KNA","BTSX","40 [37-44]","40.00000","37.00000","44.00000","","",""
"CM_01","PUBLISHED","1987","AMR","KNA","BTSX","36 [33-40]","36.00000","33.00000","40.00000","","",""
"CM_01","PUBLISHED","1988","AMR","KNA","BTSX","34 [31-37]","34.00000","31.00000","37.00000","","",""
"CM_01","PUBLISHED","1989","AMR","KNA","BTSX","32 [29-35]","32.00000","29.00000","35.00000","","",""
"CM_01","PUBLISHED","1990","AMR","KNA","BTSX","30 [28-33]","30.00000","28.00000","33.00000","","",""
"CM_01","PUBLISHED","1991","AMR","KNA","BTSX","28 [26-31]","28.00000","26.00000","31.00000","","",""
"CM_01","PUBLISHED","1992","AMR","KNA","BTSX","26 [24-29]","26.00000","24.00000","29.00000","","",""
"CM_01","PUBLISHED","1993","AMR","KNA","BTSX","25 [22-27]","25.00000","22.00000","27.00000","","",""
"CM_01","PUBLISHED","1994","AMR","KNA","BTSX","24 [22-27]","24.00000","22.00000","27.00000","","",""
"CM_01","PUBLISHED","1995","AMR","KNA","BTSX","24 [21-26]","24.00000","21.00000","26.00000","","",""
"CM_01","PUBLISHED","1996","AMR","KNA","BTSX","23 [21-26]","23.00000","21.00000","26.00000","","",""
"CM_01","PUBLISHED","1997","AMR","KNA","BTSX","23 [21-26]","23.00000","21.00000","26.00000","","",""
"CM_01","PUBLISHED","1998","AMR","KNA","BTSX","23 [20-25]","23.00000","20.00000","25.00000","","",""
"CM_01","PUBLISHED","1999","AMR","KNA","BTSX","22 [20-24]","22.00000","20.00000","24.00000","","",""
"CM_01","PUBLISHED","2000","AMR","KNA","BTSX","20 [18-23]","20.00000","18.00000","23.00000","","",""
"CM_01","PUBLISHED","2001","AMR","KNA","BTSX","19 [17-21]","19.00000","17.00000","21.00000","","",""
"CM_01","PUBLISHED","2002","AMR","KNA","BTSX","17 [15-20]","17.00000","15.00000","20.00000","","",""
"CM_01","PUBLISHED","2003","AMR","KNA","BTSX","16 [14-18]","16.00000","14.00000","18.00000","","",""
"CM_01","PUBLISHED","2004","AMR","KNA","BTSX","15 [14-17]","15.00000","14.00000","17.00000","","",""
"CM_01","PUBLISHED","2005","AMR","KNA","BTSX","15 [13-17]","15.00000","13.00000","17.00000","","",""
"CM_01","PUBLISHED","2006","AMR","KNA","BTSX","14 [12-16]","14.00000","12.00000","16.00000","","",""
"CM_01","PUBLISHED","2007","AMR","KNA","BTSX","14 [12-16]","14.00000","12.00000","16.00000","","",""
"CM_01","PUBLISHED","2008","AMR","KNA","BTSX","13 [12-15]","13.00000","12.00000","15.00000","","",""
"CM_01","PUBLISHED","2009","AMR","KNA","BTSX","13 [11-15]","13.00000","11.00000","15.00000","","",""
"CM_01","PUBLISHED","2010","AMR","KNA","BTSX","13 [11-14]","13.00000","11.00000","14.00000","","",""
"CM_01","PUBLISHED","2011","AMR","KNA","BTSX","12 [11-14]","12.00000","11.00000","14.00000","","",""
"CM_01","PUBLISHED","2012","AMR","KNA","BTSX","12 [10-14]","12.00000","10.00000","14.00000","","",""
"CM_01","PUBLISHED","2013","AMR","KNA","BTSX","12 [10-14]","12.00000","10.00000","14.00000","","",""
"CM_01","PUBLISHED","2014","AMR","KNA","BTSX","11 [10-14]","11.00000","10.00000","14.00000","","",""
"CM_01","PUBLISHED","2015","AMR","KNA","BTSX","11 [9-14]","11.00000","9.00000","14.00000","","",""
"CM_01","PUBLISHED","2016","AMR","KNA","BTSX","11 [9-14]","11.00000","9.00000","14.00000","","",""
"CM_01","PUBLISHED","2017","AMR","KNA","BTSX","10 [8-14]","10.00000","8.00000","14.00000","","",""
"CM_01","PUBLISHED","2018","AMR","KNA","BTSX","10 [7-14]","10.00000","7.00000","14.00000","","",""
"CM_01","PUBLISHED","2019","AMR","KNA","BTSX","10 [7-14]","10.00000","7.00000","14.00000","","",""
"CM_01","PUBLISHED","2020","AMR","KNA","BTSX","9 [6-13]","9.00000","6.00000","13.00000","","",""
"CM_01","PUBLISHED","2021","AMR","KNA","BTSX","9 [6-13]","9.00000","6.00000","13.00000","","",""
