"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1955","AMR","LCA","BTSX","769 [753-785]","769.00000","753.00000","785.00000","","",""
"CM_01","PUBLISHED","1956","AMR","LCA","BTSX","774 [758-790]","774.00000","758.00000","790.00000","","",""
"CM_01","PUBLISHED","1957","AMR","LCA","BTSX","773 [758-789]","773.00000","758.00000","789.00000","","",""
"CM_01","PUBLISHED","1958","AMR","LCA","BTSX","765 [750-782]","765.00000","750.00000","782.00000","","",""
"CM_01","PUBLISHED","1959","AMR","LCA","BTSX","747 [731-764]","747.00000","731.00000","764.00000","","",""
"CM_01","PUBLISHED","1960","AMR","LCA","BTSX","719 [702-736]","719.00000","702.00000","736.00000","","",""
"CM_01","PUBLISHED","1961","AMR","LCA","BTSX","681 [664-698]","681.00000","664.00000","698.00000","","",""
"CM_01","PUBLISHED","1962","AMR","LCA","BTSX","636 [619-654]","636.00000","619.00000","654.00000","","",""
"CM_01","PUBLISHED","1963","AMR","LCA","BTSX","589 [571-607]","589.00000","571.00000","607.00000","","",""
"CM_01","PUBLISHED","1964","AMR","LCA","BTSX","540 [523-558]","540.00000","523.00000","558.00000","","",""
"CM_01","PUBLISHED","1965","AMR","LCA","BTSX","493 [476-510]","493.00000","476.00000","510.00000","","",""
"CM_01","PUBLISHED","1966","AMR","LCA","BTSX","447 [431-464]","447.00000","431.00000","464.00000","","",""
"CM_01","PUBLISHED","1967","AMR","LCA","BTSX","404 [390-419]","404.00000","390.00000","419.00000","","",""
"CM_01","PUBLISHED","1968","AMR","LCA","BTSX","364 [351-378]","364.00000","351.00000","378.00000","","",""
"CM_01","PUBLISHED","1969","AMR","LCA","BTSX","328 [316-340]","328.00000","316.00000","340.00000","","",""
"CM_01","PUBLISHED","1970","AMR","LCA","BTSX","295 [284-306]","295.00000","284.00000","306.00000","","",""
"CM_01","PUBLISHED","1971","AMR","LCA","BTSX","267 [258-277]","267.00000","258.00000","277.00000","","",""
"CM_01","PUBLISHED","1972","AMR","LCA","BTSX","245 [236-253]","245.00000","236.00000","253.00000","","",""
"CM_01","PUBLISHED","1973","AMR","LCA","BTSX","225 [217-233]","225.00000","217.00000","233.00000","","",""
"CM_01","PUBLISHED","1974","AMR","LCA","BTSX","208 [201-216]","208.00000","201.00000","216.00000","","",""
"CM_01","PUBLISHED","1975","AMR","LCA","BTSX","194 [187-201]","194.00000","187.00000","201.00000","","",""
