"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1956","AMR","VCT","BTSX","664 [640-689]","664.00000","640.00000","689.00000","","",""
"CM_01","PUBLISHED","1957","AMR","VCT","BTSX","682 [656-710]","682.00000","656.00000","710.00000","","",""
"CM_01","PUBLISHED","1958","AMR","VCT","BTSX","698 [671-726]","698.00000","671.00000","726.00000","","",""
"CM_01","PUBLISHED","1959","AMR","VCT","BTSX","703 [677-731]","703.00000","677.00000","731.00000","","",""
"CM_01","PUBLISHED","1960","AMR","VCT","BTSX","693 [669-718]","693.00000","669.00000","718.00000","","",""
"CM_01","PUBLISHED","1961","AMR","VCT","BTSX","656 [635-677]","656.00000","635.00000","677.00000","","",""
"CM_01","PUBLISHED","1962","AMR","VCT","BTSX","597 [578-616]","597.00000","578.00000","616.00000","","",""
"CM_01","PUBLISHED","1963","AMR","VCT","BTSX","531 [512-550]","531.00000","512.00000","550.00000","","",""
"CM_01","PUBLISHED","1964","AMR","VCT","BTSX","468 [448-488]","468.00000","448.00000","488.00000","","",""
"CM_01","PUBLISHED","1965","AMR","VCT","BTSX","413 [392-434]","413.00000","392.00000","434.00000","","",""
"CM_01","PUBLISHED","1966","AMR","VCT","BTSX","367 [346-389]","367.00000","346.00000","389.00000","","",""
"CM_01","PUBLISHED","1967","AMR","VCT","BTSX","331 [311-351]","331.00000","311.00000","351.00000","","",""
"CM_01","PUBLISHED","1968","AMR","VCT","BTSX","303 [285-322]","303.00000","285.00000","322.00000","","",""
"CM_01","PUBLISHED","1969","AMR","VCT","BTSX","284 [268-301]","284.00000","268.00000","301.00000","","",""
"CM_01","PUBLISHED","1970","AMR","VCT","BTSX","271 [257-286]","271.00000","257.00000","286.00000","","",""
"CM_01","PUBLISHED","1971","AMR","VCT","BTSX","265 [252-278]","265.00000","252.00000","278.00000","","",""
"CM_01","PUBLISHED","1972","AMR","VCT","BTSX","262 [251-274]","262.00000","251.00000","274.00000","","",""
"CM_01","PUBLISHED","1973","AMR","VCT","BTSX","262 [251-273]","262.00000","251.00000","273.00000","","",""
"CM_01","PUBLISHED","1974","AMR","VCT","BTSX","260 [250-271]","260.00000","250.00000","271.00000","","",""
"CM_01","PUBLISHED","1975","AMR","VCT","BTSX","254 [244-264]","254.00000","244.00000","264.00000","","",""
"CM_01","PUBLISHED","1976","AMR","VCT","BTSX","242 [233-252]","242.00000","233.00000","252.00000","","",""
"CM_01","PUBLISHED","1977","AMR","VCT","BTSX","226 [217-236]","226.00000","217.00000","236.00000","","",""
"CM_01","PUBLISHED","1978","AMR","VCT","BTSX","209 [200-218]","209.00000","200.00000","218.00000","","",""
"CM_01","PUBLISHED","1979","AMR","VCT","BTSX","191 [183-200]","191.00000","183.00000","200.00000","","",""
"CM_01","PUBLISHED","1980","AMR","VCT","BTSX","172 [164-181]","172.00000","164.00000","181.00000","","",""
"CM_01","PUBLISHED","1981","AMR","VCT","BTSX","155 [147-163]","155.00000","147.00000","163.00000","","",""
"CM_01","PUBLISHED","1982","AMR","VCT","BTSX","142 [134-149]","142.00000","134.00000","149.00000","","",""
"CM_01","PUBLISHED","1983","AMR","VCT","BTSX","128 [121-135]","128.00000","121.00000","135.00000","","",""
"CM_01","PUBLISHED","1984","AMR","VCT","BTSX","113 [107-119]","113.00000","107.00000","119.00000","","",""
"CM_01","PUBLISHED","1985","AMR","VCT","BTSX","100 [94-106]","100.00000","94.00000","106.00000","","",""
"CM_01","PUBLISHED","1986","AMR","VCT","BTSX","89 [83-94]","89.00000","83.00000","94.00000","","",""
"CM_01","PUBLISHED","1987","AMR","VCT","BTSX","80 [75-85]","80.00000","75.00000","85.00000","","",""
"CM_01","PUBLISHED","1988","AMR","VCT","BTSX","73 [69-78]","73.00000","69.00000","78.00000","","",""
"CM_01","PUBLISHED","1989","AMR","VCT","BTSX","69 [64-73]","69.00000","64.00000","73.00000","","",""
"CM_01","PUBLISHED","1990","AMR","VCT","BTSX","65 [61-70]","65.00000","61.00000","70.00000","","",""
"CM_01","PUBLISHED","1991","AMR","VCT","BTSX","63 [59-67]","63.00000","59.00000","67.00000","","",""
"CM_01","PUBLISHED","1992","AMR","VCT","BTSX","61 [57-66]","61.00000","57.00000","66.00000","","",""
"CM_01","PUBLISHED","1993","AMR","VCT","BTSX","60 [56-65]","60.00000","56.00000","65.00000","","",""
"CM_01","PUBLISHED","1994","AMR","VCT","BTSX","59 [55-64]","59.00000","55.00000","64.00000","","",""
"CM_01","PUBLISHED","1995","AMR","VCT","BTSX","58 [54-63]","58.00000","54.00000","63.00000","","",""
"CM_01","PUBLISHED","1996","AMR","VCT","BTSX","57 [53-61]","57.00000","53.00000","61.00000","","",""
"CM_01","PUBLISHED","1997","AMR","VCT","BTSX","55 [51-59]","55.00000","51.00000","59.00000","","",""
"CM_01","PUBLISHED","1998","AMR","VCT","BTSX","53 [50-58]","53.00000","50.00000","58.00000","","",""
"CM_01","PUBLISHED","1999","AMR","VCT","BTSX","52 [48-56]","52.00000","48.00000","56.00000","","",""
"CM_01","PUBLISHED","2000","AMR","VCT","BTSX","51 [47-55]","51.00000","47.00000","55.00000","","",""
"CM_01","PUBLISHED","2001","AMR","VCT","BTSX","49 [46-53]","49.00000","46.00000","53.00000","","",""
"CM_01","PUBLISHED","2002","AMR","VCT","BTSX","47 [44-51]","47.00000","44.00000","51.00000","","",""
"CM_01","PUBLISHED","2003","AMR","VCT","BTSX","45 [42-49]","45.00000","42.00000","49.00000","","",""
"CM_01","PUBLISHED","2004","AMR","VCT","BTSX","43 [40-47]","43.00000","40.00000","47.00000","","",""
"CM_01","PUBLISHED","2005","AMR","VCT","BTSX","42 [38-45]","42.00000","38.00000","45.00000","","",""
"CM_01","PUBLISHED","2006","AMR","VCT","BTSX","40 [37-44]","40.00000","37.00000","44.00000","","",""
"CM_01","PUBLISHED","2007","AMR","VCT","BTSX","40 [36-43]","40.00000","36.00000","43.00000","","",""
"CM_01","PUBLISHED","2008","AMR","VCT","BTSX","39 [36-43]","39.00000","36.00000","43.00000","","",""
"CM_01","PUBLISHED","2009","AMR","VCT","BTSX","38 [35-42]","38.00000","35.00000","42.00000","","",""
"CM_01","PUBLISHED","2010","AMR","VCT","BTSX","37 [34-41]","37.00000","34.00000","41.00000","","",""
"CM_01","PUBLISHED","2011","AMR","VCT","BTSX","35 [32-39]","35.00000","32.00000","39.00000","","",""
"CM_01","PUBLISHED","2012","AMR","VCT","BTSX","34 [31-37]","34.00000","31.00000","37.00000","","",""
"CM_01","PUBLISHED","2013","AMR","VCT","BTSX","32 [29-35]","32.00000","29.00000","35.00000","","",""
"CM_01","PUBLISHED","2014","AMR","VCT","BTSX","31 [27-34]","31.00000","27.00000","34.00000","","",""
"CM_01","PUBLISHED","2015","AMR","VCT","BTSX","29 [26-33]","29.00000","26.00000","33.00000","","",""
"CM_01","PUBLISHED","2016","AMR","VCT","BTSX","27 [23-31]","27.00000","23.00000","31.00000","","",""
"CM_01","PUBLISHED","2017","AMR","VCT","BTSX","25 [21-29]","25.00000","21.00000","29.00000","","",""
"CM_01","PUBLISHED","2018","AMR","VCT","BTSX","23 [18-28]","23.00000","18.00000","28.00000","","",""
"CM_01","PUBLISHED","2019","AMR","VCT","BTSX","21 [17-27]","21.00000","17.00000","27.00000","","",""
"CM_01","PUBLISHED","2020","AMR","VCT","BTSX","20 [15-26]","20.00000","15.00000","26.00000","","",""
"CM_01","PUBLISHED","2021","AMR","VCT","BTSX","19 [14-25]","19.00000","14.00000","25.00000","","",""
