"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1988","AMR","SUR","BTSX","599 [507-711]","599.00000","507.00000","711.00000","","",""
"CM_01","PUBLISHED","1989","AMR","SUR","BTSX","584 [497-687]","584.00000","497.00000","687.00000","","",""
"CM_01","PUBLISHED","1990","AMR","SUR","BTSX","568 [487-665]","568.00000","487.00000","665.00000","","",""
"CM_01","PUBLISHED","1991","AMR","SUR","BTSX","548 [473-637]","548.00000","473.00000","637.00000","","",""
"CM_01","PUBLISHED","1992","AMR","SUR","BTSX","526 [455-608]","526.00000","455.00000","608.00000","","",""
"CM_01","PUBLISHED","1993","AMR","SUR","BTSX","502 [435-579]","502.00000","435.00000","579.00000","","",""
"CM_01","PUBLISHED","1994","AMR","SUR","BTSX","476 [414-550]","476.00000","414.00000","550.00000","","",""
"CM_01","PUBLISHED","1995","AMR","SUR","BTSX","452 [392-522]","452.00000","392.00000","522.00000","","",""
"CM_01","PUBLISHED","1996","AMR","SUR","BTSX","431 [372-498]","431.00000","372.00000","498.00000","","",""
"CM_01","PUBLISHED","1997","AMR","SUR","BTSX","411 [354-477]","411.00000","354.00000","477.00000","","",""
"CM_01","PUBLISHED","1998","AMR","SUR","BTSX","392 [337-457]","392.00000","337.00000","457.00000","","",""
"CM_01","PUBLISHED","1999","AMR","SUR","BTSX","376 [321-438]","376.00000","321.00000","438.00000","","",""
"CM_01","PUBLISHED","2000","AMR","SUR","BTSX","361 [307-423]","361.00000","307.00000","423.00000","","",""
"CM_01","PUBLISHED","2001","AMR","SUR","BTSX","350 [296-411]","350.00000","296.00000","411.00000","","",""
"CM_01","PUBLISHED","2002","AMR","SUR","BTSX","339 [285-399]","339.00000","285.00000","399.00000","","",""
"CM_01","PUBLISHED","2003","AMR","SUR","BTSX","328 [274-388]","328.00000","274.00000","388.00000","","",""
"CM_01","PUBLISHED","2004","AMR","SUR","BTSX","318 [264-377]","318.00000","264.00000","377.00000","","",""
"CM_01","PUBLISHED","2005","AMR","SUR","BTSX","307 [255-367]","307.00000","255.00000","367.00000","","",""
"CM_01","PUBLISHED","2006","AMR","SUR","BTSX","297 [245-356]","297.00000","245.00000","356.00000","","",""
"CM_01","PUBLISHED","2007","AMR","SUR","BTSX","287 [236-347]","287.00000","236.00000","347.00000","","",""
"CM_01","PUBLISHED","2008","AMR","SUR","BTSX","277 [227-338]","277.00000","227.00000","338.00000","","",""
"CM_01","PUBLISHED","2009","AMR","SUR","BTSX","268 [217-329]","268.00000","217.00000","329.00000","","",""
"CM_01","PUBLISHED","2010","AMR","SUR","BTSX","260 [208-322]","260.00000","208.00000","322.00000","","",""
"CM_01","PUBLISHED","2011","AMR","SUR","BTSX","252 [199-317]","252.00000","199.00000","317.00000","","",""
"CM_01","PUBLISHED","2012","AMR","SUR","BTSX","245 [190-313]","245.00000","190.00000","313.00000","","",""
"CM_01","PUBLISHED","2013","AMR","SUR","BTSX","238 [182-310]","238.00000","182.00000","310.00000","","",""
"CM_01","PUBLISHED","2014","AMR","SUR","BTSX","231 [174-308]","231.00000","174.00000","308.00000","","",""
"CM_01","PUBLISHED","2015","AMR","SUR","BTSX","225 [166-309]","225.00000","166.00000","309.00000","","",""
"CM_01","PUBLISHED","2016","AMR","SUR","BTSX","219 [157-308]","219.00000","157.00000","308.00000","","",""
"CM_01","PUBLISHED","2017","AMR","SUR","BTSX","213 [149-308]","213.00000","149.00000","308.00000","","",""
"CM_01","PUBLISHED","2018","AMR","SUR","BTSX","207 [141-308]","207.00000","141.00000","308.00000","","",""
"CM_01","PUBLISHED","2019","AMR","SUR","BTSX","201 [134-308]","201.00000","134.00000","308.00000","","",""
"CM_01","PUBLISHED","2020","AMR","SUR","BTSX","196 [127-306]","196.00000","127.00000","306.00000","","",""
"CM_01","PUBLISHED","2021","AMR","SUR","BTSX","190 [121-307]","190.00000","121.00000","307.00000","","",""
