"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1958","AMR","TTO","BTSX","2 133 [1 814-2 510]","2133.00000","1814.00000","2510.00000","","",""
"CM_01","PUBLISHED","1959","AMR","TTO","BTSX","2 105 [1 798-2 454]","2105.00000","1798.00000","2454.00000","","",""
"CM_01","PUBLISHED","1960","AMR","TTO","BTSX","2 081 [1 790-2 413]","2081.00000","1790.00000","2413.00000","","",""
"CM_01","PUBLISHED","1961","AMR","TTO","BTSX","2 049 [1 771-2 368]","2049.00000","1771.00000","2368.00000","","",""
"CM_01","PUBLISHED","1962","AMR","TTO","BTSX","2 002 [1 727-2 300]","2002.00000","1727.00000","2300.00000","","",""
"CM_01","PUBLISHED","1963","AMR","TTO","BTSX","1 933 [1 668-2 215]","1933.00000","1668.00000","2215.00000","","",""
"CM_01","PUBLISHED","1964","AMR","TTO","BTSX","1 849 [1 600-2 116]","1849.00000","1600.00000","2116.00000","","",""
"CM_01","PUBLISHED","1965","AMR","TTO","BTSX","1 755 [1 523-2 004]","1755.00000","1523.00000","2004.00000","","",""
"CM_01","PUBLISHED","1966","AMR","TTO","BTSX","1 655 [1 441-1 886]","1655.00000","1441.00000","1886.00000","","",""
"CM_01","PUBLISHED","1967","AMR","TTO","BTSX","1 560 [1 365-1 775]","1560.00000","1365.00000","1775.00000","","",""
"CM_01","PUBLISHED","1968","AMR","TTO","BTSX","1 490 [1 311-1 692]","1490.00000","1311.00000","1692.00000","","",""
"CM_01","PUBLISHED","1969","AMR","TTO","BTSX","1 418 [1 251-1 608]","1418.00000","1251.00000","1608.00000","","",""
"CM_01","PUBLISHED","1970","AMR","TTO","BTSX","1 363 [1 205-1 545]","1363.00000","1205.00000","1545.00000","","",""
"CM_01","PUBLISHED","1971","AMR","TTO","BTSX","1 359 [1 204-1 544]","1359.00000","1204.00000","1544.00000","","",""
"CM_01","PUBLISHED","1972","AMR","TTO","BTSX","1 375 [1 219-1 564]","1375.00000","1219.00000","1564.00000","","",""
"CM_01","PUBLISHED","1973","AMR","TTO","BTSX","1 371 [1 217-1 566]","1371.00000","1217.00000","1566.00000","","",""
"CM_01","PUBLISHED","1974","AMR","TTO","BTSX","1 341 [1 189-1 535]","1341.00000","1189.00000","1535.00000","","",""
"CM_01","PUBLISHED","1975","AMR","TTO","BTSX","1 307 [1 156-1 501]","1307.00000","1156.00000","1501.00000","","",""
"CM_01","PUBLISHED","1976","AMR","TTO","BTSX","1 286 [1 136-1 478]","1286.00000","1136.00000","1478.00000","","",""
"CM_01","PUBLISHED","1977","AMR","TTO","BTSX","1 276 [1 126-1 464]","1276.00000","1126.00000","1464.00000","","",""
