"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1955","AMR","USA","BTSX","124 057 [121 941-126 117]","124057.00000","121941.00000","126117.00000","","",""
"CM_01","PUBLISHED","1956","AMR","USA","BTSX","123 657 [121 564-125 694]","123657.00000","121564.00000","125694.00000","","",""
"CM_01","PUBLISHED","1957","AMR","USA","BTSX","124 097 [122 044-126 083]","124097.00000","122044.00000","126083.00000","","",""
"CM_01","PUBLISHED","1958","AMR","USA","BTSX","122 641 [120 656-124 616]","122641.00000","120656.00000","124616.00000","","",""
"CM_01","PUBLISHED","1959","AMR","USA","BTSX","120 735 [118 750-122 725]","120735.00000","118750.00000","122725.00000","","",""
"CM_01","PUBLISHED","1960","AMR","USA","BTSX","119 302 [117 354-121 231]","119302.00000","117354.00000","121231.00000","","",""
"CM_01","PUBLISHED","1961","AMR","USA","BTSX","117 467 [115 509-119 379]","117467.00000","115509.00000","119379.00000","","",""
"CM_01","PUBLISHED","1962","AMR","USA","BTSX","114 520 [112 636-116 341]","114520.00000","112636.00000","116341.00000","","",""
"CM_01","PUBLISHED","1963","AMR","USA","BTSX","110 585 [108 789-112 388]","110585.00000","108789.00000","112388.00000","","",""
"CM_01","PUBLISHED","1964","AMR","USA","BTSX","106 740 [104 987-108 514]","106740.00000","104987.00000","108514.00000","","",""
"CM_01","PUBLISHED","1965","AMR","USA","BTSX","100 609 [99 011-102 285]","100609.00000","99011.00000","102285.00000","","",""
"CM_01","PUBLISHED","1966","AMR","USA","BTSX","93 670 [92 184-95 234]","93670.00000","92184.00000","95234.00000","","",""
"CM_01","PUBLISHED","1967","AMR","USA","BTSX","88 448 [87 039-89 908]","88448.00000","87039.00000","89908.00000","","",""
"CM_01","PUBLISHED","1968","AMR","USA","BTSX","84 567 [83 205-85 963]","84567.00000","83205.00000","85963.00000","","",""
"CM_01","PUBLISHED","1969","AMR","USA","BTSX","82 347 [81 007-83 701]","82347.00000","81007.00000","83701.00000","","",""
"CM_01","PUBLISHED","1970","AMR","USA","BTSX","81 848 [80 500-83 185]","81848.00000","80500.00000","83185.00000","","",""
"CM_01","PUBLISHED","1971","AMR","USA","BTSX","78 493 [77 175-79 787]","78493.00000","77175.00000","79787.00000","","",""
"CM_01","PUBLISHED","1972","AMR","USA","BTSX","71 162 [69 979-72 322]","71162.00000","69979.00000","72322.00000","","",""
"CM_01","PUBLISHED","1973","AMR","USA","BTSX","64 753 [63 702-65 838]","64753.00000","63702.00000","65838.00000","","",""
"CM_01","PUBLISHED","1974","AMR","USA","BTSX","60 932 [59 938-61 959]","60932.00000","59938.00000","61959.00000","","",""
"CM_01","PUBLISHED","1975","AMR","USA","BTSX","57 824 [56 901-58 799]","57824.00000","56901.00000","58799.00000","","",""
"CM_01","PUBLISHED","1976","AMR","USA","BTSX","54 886 [54 001-55 820]","54886.00000","54001.00000","55820.00000","","",""
"CM_01","PUBLISHED","1977","AMR","USA","BTSX","53 469 [52 618-54 355]","53469.00000","52618.00000","54355.00000","","",""
"CM_01","PUBLISHED","1978","AMR","USA","BTSX","52 359 [51 513-53 209]","52359.00000","51513.00000","53209.00000","","",""
"CM_01","PUBLISHED","1979","AMR","USA","BTSX","51 467 [50 612-52 316]","51467.00000","50612.00000","52316.00000","","",""
"CM_01","PUBLISHED","1980","AMR","USA","BTSX","51 251 [50 399-52 096]","51251.00000","50399.00000","52096.00000","","",""
"CM_01","PUBLISHED","1981","AMR","USA","BTSX","50 322 [49 462-51 168]","50322.00000","49462.00000","51168.00000","","",""
"CM_01","PUBLISHED","1982","AMR","USA","BTSX","49 197 [48 338-50 037]","49197.00000","48338.00000","50037.00000","","",""
"CM_01","PUBLISHED","1983","AMR","USA","BTSX","48 008 [47 163-48 835]","48008.00000","47163.00000","48835.00000","","",""
"CM_01","PUBLISHED","1984","AMR","USA","BTSX","46 878 [46 057-47 672]","46878.00000","46057.00000","47672.00000","","",""
"CM_01","PUBLISHED","1985","AMR","USA","BTSX","46 402 [45 642-47 169]","46402.00000","45642.00000","47169.00000","","",""
"CM_01","PUBLISHED","1986","AMR","USA","BTSX","45 825 [45 093-46 595]","45825.00000","45093.00000","46595.00000","","",""
"CM_01","PUBLISHED","1987","AMR","USA","BTSX","45 219 [44 495-45 993]","45219.00000","44495.00000","45993.00000","","",""
"CM_01","PUBLISHED","1988","AMR","USA","BTSX","45 149 [44 398-45 954]","45149.00000","44398.00000","45954.00000","","",""
"CM_01","PUBLISHED","1989","AMR","USA","BTSX","45 325 [44 537-46 169]","45325.00000","44537.00000","46169.00000","","",""
"CM_01","PUBLISHED","1990","AMR","USA","BTSX","45 306 [44 510-46 139]","45306.00000","44510.00000","46139.00000","","",""
"CM_01","PUBLISHED","1991","AMR","USA","BTSX","44 317 [43 545-45 108]","44317.00000","43545.00000","45108.00000","","",""
"CM_01","PUBLISHED","1992","AMR","USA","BTSX","42 584 [41 874-43 302]","42584.00000","41874.00000","43302.00000","","",""
"CM_01","PUBLISHED","1993","AMR","USA","BTSX","40 742 [40 080-41 409]","40742.00000","40080.00000","41409.00000","","",""
"CM_01","PUBLISHED","1994","AMR","USA","BTSX","38 933 [38 287-39 562]","38933.00000","38287.00000","39562.00000","","",""
"CM_01","PUBLISHED","1995","AMR","USA","BTSX","37 245 [36 621-37 854]","37245.00000","36621.00000","37854.00000","","",""
"CM_01","PUBLISHED","1996","AMR","USA","BTSX","35 866 [35 255-36 482]","35866.00000","35255.00000","36482.00000","","",""
"CM_01","PUBLISHED","1997","AMR","USA","BTSX","34 854 [34 255-35 451]","34854.00000","34255.00000","35451.00000","","",""
"CM_01","PUBLISHED","1998","AMR","USA","BTSX","34 251 [33 659-34 814]","34251.00000","33659.00000","34814.00000","","",""
"CM_01","PUBLISHED","1999","AMR","USA","BTSX","33 922 [33 337-34 497]","33922.00000","33337.00000","34497.00000","","",""
"CM_01","PUBLISHED","2000","AMR","USA","BTSX","33 851 [33 287-34 415]","33851.00000","33287.00000","34415.00000","","",""
"CM_01","PUBLISHED","2001","AMR","USA","BTSX","33 645 [33 088-34 210]","33645.00000","33088.00000","34210.00000","","",""
"CM_01","PUBLISHED","2002","AMR","USA","BTSX","33 192 [32 652-33 745]","33192.00000","32652.00000","33745.00000","","",""
"CM_01","PUBLISHED","2003","AMR","USA","BTSX","33 070 [32 539-33 620]","33070.00000","32539.00000","33620.00000","","",""
"CM_01","PUBLISHED","2004","AMR","USA","BTSX","33 036 [32 489-33 587]","33036.00000","32489.00000","33587.00000","","",""
"CM_01","PUBLISHED","2005","AMR","USA","BTSX","32 898 [32 361-33 452]","32898.00000","32361.00000","33452.00000","","",""
"CM_01","PUBLISHED","2006","AMR","USA","BTSX","33 009 [32 461-33 564]","33009.00000","32461.00000","33564.00000","","",""
"CM_01","PUBLISHED","2007","AMR","USA","BTSX","33 084 [32 545-33 645]","33084.00000","32545.00000","33645.00000","","",""
"CM_01","PUBLISHED","2008","AMR","USA","BTSX","32 548 [32 020-33 089]","32548.00000","32020.00000","33089.00000","","",""
"CM_01","PUBLISHED","2009","AMR","USA","BTSX","31 455 [30 945-31 975]","31455.00000","30945.00000","31975.00000","","",""
"CM_01","PUBLISHED","2010","AMR","USA","BTSX","30 175 [29 688-30 669]","30175.00000","29688.00000","30669.00000","","",""
"CM_01","PUBLISHED","2011","AMR","USA","BTSX","29 092 [28 616-29 577]","29092.00000","28616.00000","29577.00000","","",""
"CM_01","PUBLISHED","2012","AMR","USA","BTSX","28 365 [27 895-28 836]","28365.00000","27895.00000","28836.00000","","",""
"CM_01","PUBLISHED","2013","AMR","USA","BTSX","27 797 [27 337-28 262]","27797.00000","27337.00000","28262.00000","","",""
"CM_01","PUBLISHED","2014","AMR","USA","BTSX","27 425 [26 962-27 879]","27425.00000","26962.00000","27879.00000","","",""
"CM_01","PUBLISHED","2015","AMR","USA","BTSX","27 133 [26 684-27 586]","27133.00000","26684.00000","27586.00000","","",""
"CM_01","PUBLISHED","2016","AMR","USA","BTSX","26 656 [26 209-27 115]","26656.00000","26209.00000","27115.00000","","",""
"CM_01","PUBLISHED","2017","AMR","USA","BTSX","25 951 [25 492-26 415]","25951.00000","25492.00000","26415.00000","","",""
"CM_01","PUBLISHED","2018","AMR","USA","BTSX","25 151 [24 631-25 686]","25151.00000","24631.00000","25686.00000","","",""
"CM_01","PUBLISHED","2019","AMR","USA","BTSX","24 454 [23 791-25 159]","24454.00000","23791.00000","25159.00000","","",""
"CM_01","PUBLISHED","2020","AMR","USA","BTSX","23 688 [22 780-24 633]","23688.00000","22780.00000","24633.00000","","",""
"CM_01","PUBLISHED","2021","AMR","USA","BTSX","23 162 [21 925-24 451]","23162.00000","21925.00000","24451.00000","","",""
