"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1955","AMR","URY","BTSX","3 027 [2 970-3 083]","3027.00000","2970.00000","3083.00000","","",""
"CM_01","PUBLISHED","1956","AMR","URY","BTSX","3 140 [3 079-3 200]","3140.00000","3079.00000","3200.00000","","",""
"CM_01","PUBLISHED","1957","AMR","URY","BTSX","3 269 [3 207-3 331]","3269.00000","3207.00000","3331.00000","","",""
"CM_01","PUBLISHED","1958","AMR","URY","BTSX","3 375 [3 309-3 441]","3375.00000","3309.00000","3441.00000","","",""
"CM_01","PUBLISHED","1959","AMR","URY","BTSX","3 434 [3 362-3 505]","3434.00000","3362.00000","3505.00000","","",""
"CM_01","PUBLISHED","1960","AMR","URY","BTSX","3 435 [3 359-3 512]","3435.00000","3359.00000","3512.00000","","",""
"CM_01","PUBLISHED","1961","AMR","URY","BTSX","3 408 [3 326-3 491]","3408.00000","3326.00000","3491.00000","","",""
"CM_01","PUBLISHED","1962","AMR","URY","BTSX","3 370 [3 289-3 450]","3370.00000","3289.00000","3450.00000","","",""
"CM_01","PUBLISHED","1963","AMR","URY","BTSX","3 334 [3 257-3 408]","3334.00000","3257.00000","3408.00000","","",""
"CM_01","PUBLISHED","1964","AMR","URY","BTSX","3 291 [3 223-3 360]","3291.00000","3223.00000","3360.00000","","",""
"CM_01","PUBLISHED","1965","AMR","URY","BTSX","3 250 [3 189-3 314]","3250.00000","3189.00000","3314.00000","","",""
"CM_01","PUBLISHED","1966","AMR","URY","BTSX","3 218 [3 158-3 282]","3218.00000","3158.00000","3282.00000","","",""
"CM_01","PUBLISHED","1967","AMR","URY","BTSX","3 174 [3 115-3 235]","3174.00000","3115.00000","3235.00000","","",""
"CM_01","PUBLISHED","1968","AMR","URY","BTSX","3 119 [3 060-3 178]","3119.00000","3060.00000","3178.00000","","",""
"CM_01","PUBLISHED","1969","AMR","URY","BTSX","3 050 [2 991-3 108]","3050.00000","2991.00000","3108.00000","","",""
"CM_01","PUBLISHED","1970","AMR","URY","BTSX","2 949 [2 895-3 003]","2949.00000","2895.00000","3003.00000","","",""
"CM_01","PUBLISHED","1971","AMR","URY","BTSX","2 917 [2 861-2 971]","2917.00000","2861.00000","2971.00000","","",""
"CM_01","PUBLISHED","1972","AMR","URY","BTSX","2 983 [2 927-3 039]","2983.00000","2927.00000","3039.00000","","",""
"CM_01","PUBLISHED","1973","AMR","URY","BTSX","3 076 [3 019-3 135]","3076.00000","3019.00000","3135.00000","","",""
"CM_01","PUBLISHED","1974","AMR","URY","BTSX","3 208 [3 149-3 273]","3208.00000","3149.00000","3273.00000","","",""
"CM_01","PUBLISHED","1975","AMR","URY","BTSX","3 324 [3 266-3 388]","3324.00000","3266.00000","3388.00000","","",""
"CM_01","PUBLISHED","1976","AMR","URY","BTSX","3 318 [3 255-3 383]","3318.00000","3255.00000","3383.00000","","",""
"CM_01","PUBLISHED","1977","AMR","URY","BTSX","3 138 [3 076-3 201]","3138.00000","3076.00000","3201.00000","","",""
"CM_01","PUBLISHED","1978","AMR","URY","BTSX","2 859 [2 798-2 920]","2859.00000","2798.00000","2920.00000","","",""
"CM_01","PUBLISHED","1979","AMR","URY","BTSX","2 542 [2 485-2 598]","2542.00000","2485.00000","2598.00000","","",""
"CM_01","PUBLISHED","1980","AMR","URY","BTSX","2 209 [2 163-2 256]","2209.00000","2163.00000","2256.00000","","",""
"CM_01","PUBLISHED","1981","AMR","URY","BTSX","1 953 [1 914-1 992]","1953.00000","1914.00000","1992.00000","","",""
"CM_01","PUBLISHED","1982","AMR","URY","BTSX","1 786 [1 752-1 820]","1786.00000","1752.00000","1820.00000","","",""
"CM_01","PUBLISHED","1983","AMR","URY","BTSX","1 664 [1 633-1 695]","1664.00000","1633.00000","1695.00000","","",""
"CM_01","PUBLISHED","1984","AMR","URY","BTSX","1 579 [1 549-1 610]","1579.00000","1549.00000","1610.00000","","",""
"CM_01","PUBLISHED","1985","AMR","URY","BTSX","1 525 [1 496-1 554]","1525.00000","1496.00000","1554.00000","","",""
"CM_01","PUBLISHED","1986","AMR","URY","BTSX","1 476 [1 447-1 505]","1476.00000","1447.00000","1505.00000","","",""
"CM_01","PUBLISHED","1987","AMR","URY","BTSX","1 404 [1 378-1 433]","1404.00000","1378.00000","1433.00000","","",""
"CM_01","PUBLISHED","1988","AMR","URY","BTSX","1 356 [1 330-1 384]","1356.00000","1330.00000","1384.00000","","",""
"CM_01","PUBLISHED","1989","AMR","URY","BTSX","1 327 [1 300-1 355]","1327.00000","1300.00000","1355.00000","","",""
"CM_01","PUBLISHED","1990","AMR","URY","BTSX","1 270 [1 245-1 296]","1270.00000","1245.00000","1296.00000","","",""
"CM_01","PUBLISHED","1991","AMR","URY","BTSX","1 228 [1 202-1 254]","1228.00000","1202.00000","1254.00000","","",""
"CM_01","PUBLISHED","1992","AMR","URY","BTSX","1 209 [1 184-1 236]","1209.00000","1184.00000","1236.00000","","",""
"CM_01","PUBLISHED","1993","AMR","URY","BTSX","1 189 [1 163-1 215]","1189.00000","1163.00000","1215.00000","","",""
"CM_01","PUBLISHED","1994","AMR","URY","BTSX","1 175 [1 149-1 201]","1175.00000","1149.00000","1201.00000","","",""
"CM_01","PUBLISHED","1995","AMR","URY","BTSX","1 157 [1 133-1 183]","1157.00000","1133.00000","1183.00000","","",""
"CM_01","PUBLISHED","1996","AMR","URY","BTSX","1 120 [1 095-1 146]","1120.00000","1095.00000","1146.00000","","",""
