"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"CM_01","PUBLISHED","1956","AMR","VEN","BTSX","29 315 [24 435-35 546]","29315.00000","24435.00000","35546.00000","","",""
"CM_01","PUBLISHED","1957","AMR","VEN","BTSX","29 231 [24 882-34 586]","29231.00000","24882.00000","34586.00000","","",""
"CM_01","PUBLISHED","1958","AMR","VEN","BTSX","29 098 [25 197-33 790]","29098.00000","25197.00000","33790.00000","","",""
"CM_01","PUBLISHED","1959","AMR","VEN","BTSX","28 754 [25 223-32 879]","28754.00000","25223.00000","32879.00000","","",""
"CM_01","PUBLISHED","1960","AMR","VEN","BTSX","28 246 [25 056-31 966]","28246.00000","25056.00000","31966.00000","","",""
"CM_01","PUBLISHED","1961","AMR","VEN","BTSX","27 860 [24 821-31 333]","27860.00000","24821.00000","31333.00000","","",""
"CM_01","PUBLISHED","1962","AMR","VEN","BTSX","27 614 [24 667-30 912]","27614.00000","24667.00000","30912.00000","","",""
"CM_01","PUBLISHED","1963","AMR","VEN","BTSX","27 421 [24 496-30 677]","27421.00000","24496.00000","30677.00000","","",""
"CM_01","PUBLISHED","1964","AMR","VEN","BTSX","27 278 [24 357-30 470]","27278.00000","24357.00000","30470.00000","","",""
"CM_01","PUBLISHED","1965","AMR","VEN","BTSX","27 176 [24 222-30 358]","27176.00000","24222.00000","30358.00000","","",""
"CM_01","PUBLISHED","1966","AMR","VEN","BTSX","27 072 [24 107-30 231]","27072.00000","24107.00000","30231.00000","","",""
"CM_01","PUBLISHED","1967","AMR","VEN","BTSX","26 969 [24 028-30 010]","26969.00000","24028.00000","30010.00000","","",""
"CM_01","PUBLISHED","1968","AMR","VEN","BTSX","26 819 [23 898-29 788]","26819.00000","23898.00000","29788.00000","","",""
"CM_01","PUBLISHED","1969","AMR","VEN","BTSX","26 544 [23 741-29 434]","26544.00000","23741.00000","29434.00000","","",""
"CM_01","PUBLISHED","1970","AMR","VEN","BTSX","26 168 [23 472-28 998]","26168.00000","23472.00000","28998.00000","","",""
"CM_01","PUBLISHED","1971","AMR","VEN","BTSX","25 714 [23 128-28 459]","25714.00000","23128.00000","28459.00000","","",""
"CM_01","PUBLISHED","1972","AMR","VEN","BTSX","25 243 [22 719-27 929]","25243.00000","22719.00000","27929.00000","","",""
"CM_01","PUBLISHED","1973","AMR","VEN","BTSX","24 829 [22 341-27 467]","24829.00000","22341.00000","27467.00000","","",""
"CM_01","PUBLISHED","1974","AMR","VEN","BTSX","24 454 [22 004-27 063]","24454.00000","22004.00000","27063.00000","","",""
"CM_01","PUBLISHED","1975","AMR","VEN","BTSX","24 118 [21 683-26 690]","24118.00000","21683.00000","26690.00000","","",""
"CM_01","PUBLISHED","1976","AMR","VEN","BTSX","23 766 [21 382-26 333]","23766.00000","21382.00000","26333.00000","","",""
"CM_01","PUBLISHED","1977","AMR","VEN","BTSX","23 385 [21 091-25 889]","23385.00000","21091.00000","25889.00000","","",""
"CM_01","PUBLISHED","1978","AMR","VEN","BTSX","22 935 [20 734-25 374]","22935.00000","20734.00000","25374.00000","","",""
"CM_01","PUBLISHED","1979","AMR","VEN","BTSX","22 427 [20 385-24 710]","22427.00000","20385.00000","24710.00000","","",""
"CM_01","PUBLISHED","1980","AMR","VEN","BTSX","21 843 [19 927-24 032]","21843.00000","19927.00000","24032.00000","","",""
"CM_01","PUBLISHED","1981","AMR","VEN","BTSX","21 228 [19 402-23 339]","21228.00000","19402.00000","23339.00000","","",""
"CM_01","PUBLISHED","1982","AMR","VEN","BTSX","20 633 [18 883-22 636]","20633.00000","18883.00000","22636.00000","","",""
"CM_01","PUBLISHED","1983","AMR","VEN","BTSX","20 068 [18 385-21 950]","20068.00000","18385.00000","21950.00000","","",""
"CM_01","PUBLISHED","1984","AMR","VEN","BTSX","19 577 [17 990-21 370]","19577.00000","17990.00000","21370.00000","","",""
"CM_01","PUBLISHED","1985","AMR","VEN","BTSX","19 122 [17 660-20 781]","19122.00000","17660.00000","20781.00000","","",""
"CM_01","PUBLISHED","1986","AMR","VEN","BTSX","18 778 [17 505-20 211]","18778.00000","17505.00000","20211.00000","","",""
"CM_01","PUBLISHED","1987","AMR","VEN","BTSX","18 419 [17 317-19 605]","18419.00000","17317.00000","19605.00000","","",""
"CM_01","PUBLISHED","1988","AMR","VEN","BTSX","17 902 [17 007-18 840]","17902.00000","17007.00000","18840.00000","","",""
