"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","ARG","290","290.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","ARG","148","148.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","ARG","191","191.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","ARG","266","266.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","ARG","267","267.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","ARG","139","139.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","ARG","86","86.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","ARG","79","79.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","ARG","36","36.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","ARG","22","22.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","ARG","13","13.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","ARG","10","10.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","ARG","14","14.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","ARG","10","10.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","ARG","8","8.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","ARG","20","20.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","ARG","31","31.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","ARG","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","ARG","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","ARG","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","ARG","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","ARG","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","ARG","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","ARG","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","ARG","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2022","AMR","ARG","0","0.00000","","","","",""
