"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","BRB","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","BRB","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","BRB","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","BRB","28","28.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","BRB","20","20.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","BRB","9","9.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","BRB","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","BRB","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2022","AMR","BRB","0","0.00000","","","","",""
