"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","BOL","125","125.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","BOL","229","229.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","BOL","140","140.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","BOL","136","136.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","BOL","45","45.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","BOL","45","45.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","BOL","31","31.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","BOL","22","22.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","BOL","24","24.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","BOL","49","49.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","BOL","25","25.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","BOL","31","31.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","BOL","15","15.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","BOL","16","16.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","BOL","9","9.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","BOL","11","11.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","BOL","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","BOL","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","BOL","20","20.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","BOL","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","BOL","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","BOL","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","BOL","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","BOL","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","BOL","8","8.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","BOL","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","BOL","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","BOL","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","BOL","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","BOL","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","BOL","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","BOL","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","BOL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2022","AMR","BOL","0","0.00000","","","","",""
