"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","BRA","3636","3636.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","BRA","4004","4004.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","BRA","5009","5009.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","BRA","5685","5685.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","BRA","5021","5021.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","BRA","4546","4546.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","BRA","4646","4646.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","BRA","3846","3846.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","BRA","3297","3297.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","BRA","3369","3369.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","BRA","2860","2860.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","BRA","2304","2304.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","BRA","1804","1804.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","BRA","1284","1284.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","BRA","987","987.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","BRA","801","801.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","BRA","640","640.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","BRA","495","495.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","BRA","276","276.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","BRA","252","252.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","BRA","245","245.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","BRA","171","171.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","BRA","181","181.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","BRA","32","32.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","BRA","217","217.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","BRA","53","53.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","BRA","46","46.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","BRA","10","10.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","BRA","19","19.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","BRA","49","49.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","BRA","15","15.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","BRA","27","27.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","BRA","9","9.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","BRA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","BRA","85","85.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","BRA","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","BRA","32","32.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","BRA","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","BRA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","BRA","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","BRA","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","BRA","12","12.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","BRA","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","BRA","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","BRA","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","BRA","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","BRA","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","BRA","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2022","AMR","BRA","2","2.00000","","","","",""
