"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","CAN","173","173.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","CAN","103","103.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","CAN","109","109.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","CAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","CAN","119","119.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","CAN","54","54.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","CAN","55","55.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","CAN","7","7.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","CAN","12","12.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","CAN","11","11.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","CAN","8","8.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","CAN","9","9.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","CAN","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","CAN","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","CAN","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","CAN","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","CAN","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","CAN","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","CAN","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","CAN","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","CAN","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","CAN","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","CAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","CAN","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","CAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","CAN","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","CAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","CAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","CAN","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","CAN","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","CAN","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","CAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","CAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","CAN","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","CAN","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","CAN","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","CAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","CAN","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","CAN","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","CAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","CAN","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","CAN","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","CAN","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","CAN","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","CAN","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","CAN","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","CAN","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","CAN","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","2022","AMR","CAN","6","6.00000","","","","",""
