"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","CHL","412","412.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","CHL","428","428.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","CHL","491","491.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","CHL","554","554.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","CHL","536","536.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","CHL","344","344.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","CHL","253","253.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","CHL","203","203.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","CHL","122","122.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","CHL","76","76.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","CHL","154","154.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","CHL","223","223.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","CHL","290","290.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","CHL","183","183.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","CHL","132","132.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","CHL","47","47.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","CHL","36","36.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","CHL","25","25.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","CHL","12","12.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","CHL","8","8.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","CHL","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","CHL","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","CHL","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","CHL","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","CHL","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","CHL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2022","AMR","CHL","0","0.00000","","","","",""
