"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","COL","303","303.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","COL","260","260.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","COL","280","280.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","COL","244","244.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","COL","175","175.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","COL","171","171.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","COL","145","145.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","COL","117","117.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","COL","127","127.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","COL","54","54.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","COL","252","252.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","COL","23","23.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","COL","45","45.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","COL","23","23.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","COL","42","42.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","COL","16","16.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","COL","10","10.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","COL","76","76.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","COL","45","45.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","COL","14","14.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","COL","12","12.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","COL","7","7.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","COL","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","COL","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","COL","11","11.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","COL","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","COL","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","COL","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","COL","8","8.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","COL","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","COL","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","COL","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","2022","AMR","COL","0","0.00000","","","","",""
