"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","CRI","9","9.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","CRI","6","6.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","CRI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2022","AMR","CRI","0","0.00000","","","","",""
