"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","DOM","359","359.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","DOM","299","299.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","DOM","433","433.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","DOM","389","389.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","DOM","334","334.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","DOM","267","267.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","DOM","187","187.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","DOM","125","125.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","DOM","120","120.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","DOM","124","124.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","DOM","142","142.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","DOM","100","100.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","DOM","52","52.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","DOM","77","77.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","DOM","105","105.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","DOM","29","29.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","DOM","27","27.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","DOM","11","11.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","DOM","31","31.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","DOM","6","6.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","DOM","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","DOM","13","13.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","DOM","6","6.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","DOM","25","25.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","DOM","25","25.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","DOM","44","44.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","DOM","52","52.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","DOM","47","47.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","DOM","35","35.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","DOM","38","38.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","DOM","122","122.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","DOM","39","39.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","DOM","16","16.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","DOM","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","DOM","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","DOM","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","DOM","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","DOM","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","DOM","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","DOM","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","DOM","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","DOM","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","DOM","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","DOM","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","DOM","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","DOM","7","7.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","DOM","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","DOM","27","27.00000","","","","",""
"WHS3_41","PUBLISHED","2022","AMR","DOM","8","8.00000","","","","",""
