"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","HTI","15","15.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","HTI","31","31.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","HTI","25","25.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","HTI","12","12.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","HTI","8","8.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","HTI","7","7.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","HTI","23","23.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","HTI","24","24.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","HTI","26","26.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","HTI","21","21.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","HTI","25","25.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","HTI","55","55.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","HTI","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","HTI","7","7.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","HTI","29","29.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","HTI","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","HTI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","HTI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","HTI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","HTI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","HTI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","HTI","8","8.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","HTI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","HTI","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","HTI","6","6.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","HTI","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","HTI","37","37.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","HTI","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","HTI","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","HTI","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","HTI","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","HTI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","HTI","46","46.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","HTI","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","HTI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","HTI","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","HTI","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","HTI","32","32.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","HTI","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","HTI","76","76.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","HTI","105","105.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","HTI","55","55.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","HTI","66","66.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","HTI","28","28.00000","","","","",""
"WHS3_41","PUBLISHED","2022","AMR","HTI","38","38.00000","","","","",""
