"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","PAN","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","PAN","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","PAN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","PAN","0","0.00000","","","","",""
