"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","PRY","29","29.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","PRY","13","13.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","PRY","11","11.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","PRY","19","19.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","PRY","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","PRY","7","7.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","PRY","14","14.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","PRY","6","6.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","PRY","14","14.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","PRY","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","PRY","10","10.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","PRY","27","27.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","PRY","19","19.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","PRY","19","19.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","PRY","12","12.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","PRY","8","8.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","PRY","10","10.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","PRY","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","PRY","6","6.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","PRY","6","6.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","PRY","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","PRY","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","PRY","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","PRY","50","50.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","PRY","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","PRY","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","PRY","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","PRY","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2022","AMR","PRY","0","0.00000","","","","",""
