"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","PER","121","121.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","PER","161","161.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","PER","113","113.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","PER","180","180.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","PER","134","134.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","PER","119","119.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","PER","185","185.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","PER","160","160.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","PER","189","189.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","PER","121","121.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","PER","127","127.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","PER","140","140.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","PER","117","117.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","PER","54","54.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","PER","36","36.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","PER","68","68.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","PER","44","44.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","PER","35","35.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","PER","6","6.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","PER","10","10.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","PER","31","31.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","PER","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","PER","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","PER","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","PER","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","PER","8","8.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","PER","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","PER","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","PER","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2022","AMR","PER","0","0.00000","","","","",""
