"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","USA","272","272.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","USA","307","307.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","USA","128","128.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","USA","84","84.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","USA","76","76.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","USA","59","59.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","USA","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","USA","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","USA","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","USA","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","USA","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","USA","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","USA","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","USA","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","USA","3","3.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","USA","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","USA","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","USA","4","4.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","USA","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","USA","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","USA","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","USA","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","USA","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","USA","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","USA","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","USA","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","USA","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","USA","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","USA","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","USA","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","USA","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2022","AMR","USA","0","0.00000","","","","",""
