"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","VEN","92","92.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","VEN","205","205.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","VEN","269","269.00000","","","","",""
"WHS3_41","PUBLISHED","1977","AMR","VEN","80","80.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","VEN","39","39.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","VEN","16","16.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","VEN","31","31.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","VEN","50","50.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","VEN","23","23.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","VEN","21","21.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","VEN","24","24.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","VEN","31","31.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","VEN","12","12.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","VEN","22","22.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","VEN","30","30.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","VEN","22","22.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","VEN","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","VEN","1","1.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","VEN","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","VEN","31","31.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","VEN","786","786.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","VEN","775","775.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","VEN","164","164.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","VEN","5","5.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","VEN","0","0.00000","","","","",""
