"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","BRA","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","BRA","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","BRA","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","BRA","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","BRA","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","BRA","98","98.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","BRA","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","BRA","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","BRA","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","BRA","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","BRA","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","BRA","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","BRA","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","BRA","98","98.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","BRA","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","BRA","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","BRA","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","BRA","87","87.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","BRA","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","BRA","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","BRA","79","79.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","BRA","73","73.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","BRA","81","81.00000","","","","",""
