"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","CAN","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","CAN","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","CAN","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","CAN","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","CAN","94","94.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","CAN","94","94.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","CAN","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","CAN","94","94.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","CAN","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","CAN","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","CAN","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","CAN","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","CAN","89","89.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","CAN","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","CAN","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","CAN","89","89.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","CAN","89","89.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","CAN","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","CAN","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","CAN","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","CAN","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","CAN","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","CAN","92","92.00000","","","","",""
