"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","COL","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","COL","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","COL","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","COL","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","COL","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","COL","94","94.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","COL","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","COL","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","COL","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","COL","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","COL","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","COL","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","COL","94","94.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","COL","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","COL","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","COL","94","94.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","COL","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","COL","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","COL","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","COL","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","COL","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","COL","86","86.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","COL","88","88.00000","","","","",""
