"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","DOM","85","85.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","DOM","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","DOM","86","86.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","DOM","83","83.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","DOM","81","81.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","DOM","79","79.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","DOM","81","81.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","DOM","82","82.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","DOM","83","83.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","DOM","84","84.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","DOM","85","85.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","DOM","87","87.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","DOM","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","DOM","83","83.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","DOM","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","DOM","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","DOM","85","85.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","DOM","86","86.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","DOM","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","DOM","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","DOM","82","82.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","DOM","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","DOM","91","91.00000","","","","",""
