"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","ECU","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","ECU","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","ECU","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","ECU","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","ECU","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","ECU","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","ECU","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","ECU","98","98.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","ECU","98","98.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","ECU","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","ECU","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","ECU","94","94.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","ECU","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","ECU","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","ECU","85","85.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","ECU","84","84.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","ECU","86","86.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","ECU","81","81.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","ECU","83","83.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","ECU","83","83.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","ECU","81","81.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","ECU","65","65.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","ECU","74","74.00000","","","","",""
