"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","HTI","55","55.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","HTI","55","55.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","HTI","56","56.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","HTI","57","57.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","HTI","57","57.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","HTI","58","58.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","HTI","59","59.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","HTI","60","60.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","HTI","62","62.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","HTI","63","63.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","HTI","64","64.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","HTI","65","65.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","HTI","66","66.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","HTI","68","68.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","HTI","69","69.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","HTI","69","69.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","HTI","69","69.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","HTI","69","69.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","HTI","69","69.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","HTI","65","65.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","HTI","65","65.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","HTI","65","65.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","HTI","65","65.00000","","","","",""
