"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","HND","98","98.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","HND","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","HND","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","HND","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","HND","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","HND","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","HND","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","HND","94","94.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","HND","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","HND","98","98.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","HND","98","98.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","HND","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","HND","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","HND","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","HND","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","HND","98","98.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","HND","98","98.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","HND","98","98.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","HND","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","HND","89","89.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","HND","82","82.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","HND","81","81.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","HND","77","77.00000","","","","",""
