"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","JAM","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","JAM","85","85.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","JAM","86","86.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","JAM","78","78.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","JAM","86","86.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","JAM","84","84.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","JAM","87","87.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","JAM","76","76.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","JAM","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","JAM","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","JAM","89","89.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","JAM","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","JAM","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","JAM","94","94.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","JAM","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","JAM","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","JAM","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","JAM","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","JAM","89","89.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","JAM","94","94.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","JAM","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","JAM","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","JAM","91","91.00000","","","","",""
