"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","MEX","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","MEX","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","MEX","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","MEX","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","MEX","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","MEX","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","MEX","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","MEX","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","MEX","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","MEX","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","MEX","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","MEX","98","98.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","MEX","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","MEX","89","89.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","MEX","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","MEX","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","MEX","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","MEX","76","76.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","MEX","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","MEX","73","73.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","MEX","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","MEX","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","MEX","86","86.00000","","","","",""
