"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","PRY","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","PRY","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","PRY","86","86.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","PRY","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","PRY","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","PRY","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","PRY","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","PRY","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","PRY","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","PRY","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","PRY","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","PRY","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","PRY","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","PRY","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","PRY","84","84.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","PRY","78","78.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","PRY","85","85.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","PRY","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","PRY","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","PRY","87","87.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","PRY","80","80.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","PRY","68","68.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","PRY","54","54.00000","","","","",""
