"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","VCT","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","VCT","98","98.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","VCT","94","94.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","VCT","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","VCT","97","97.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","VCT","94","94.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","VCT","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","VCT","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","VCT","96","96.00000","","","","",""
