"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","SUR","84","84.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","SUR","82","82.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","SUR","73","73.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","SUR","69","69.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","SUR","86","86.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","SUR","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","SUR","83","83.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","SUR","85","85.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","SUR","86","86.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","SUR","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","SUR","87","87.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","SUR","79","79.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","SUR","64","64.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","SUR","81","81.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","SUR","70","70.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","SUR","76","76.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","SUR","76","76.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","SUR","76","76.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","SUR","77","77.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","SUR","64","64.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","SUR","45","45.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","SUR","58","58.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","SUR","74","74.00000","","","","",""
