"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","TTO","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","TTO","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","TTO","87","87.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","TTO","88","88.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","TTO","95","95.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","TTO","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","TTO","89","89.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","TTO","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","TTO","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","TTO","94","94.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","TTO","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","TTO","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","TTO","85","85.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","TTO","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","TTO","96","96.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","TTO","89","89.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","TTO","86","86.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","TTO","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","TTO","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","TTO","99","99.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","TTO","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","TTO","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","TTO","92","92.00000","","","","",""
