"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS8_110","PUBLISHED","2000","AMR","USA","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2001","AMR","USA","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2002","AMR","USA","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2003","AMR","USA","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2004","AMR","USA","93","93.00000","","","","",""
"WHS8_110","PUBLISHED","2005","AMR","USA","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2006","AMR","USA","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2007","AMR","USA","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2008","AMR","USA","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2009","AMR","USA","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2010","AMR","USA","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2011","AMR","USA","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2012","AMR","USA","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2013","AMR","USA","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2014","AMR","USA","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2015","AMR","USA","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2016","AMR","USA","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2017","AMR","USA","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2018","AMR","USA","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2019","AMR","USA","90","90.00000","","","","",""
"WHS8_110","PUBLISHED","2020","AMR","USA","91","91.00000","","","","",""
"WHS8_110","PUBLISHED","2021","AMR","USA","92","92.00000","","","","",""
"WHS8_110","PUBLISHED","2022","AMR","USA","92","92.00000","","","","",""
